geometry_hash,selection_key,selection_step,initial_priority,selection_stratum,topology_family,boundary_class,metadata_distance_to_base136,min_pairwise_distance
1fb197282fa266a9bcd1a5a57df0fccc9b57b1f5fe190db47e04aa888ceae7f5,5dea2cb30cba9f4eefb2614a543ba39adb5a244fc9959777c3ecdd1cbb23fd4d,1,largest_metadata_distance_to_base136,ZL1_priority_interior_N4_5,ZL1,interior,0.02631578947368418,
46c3011af784c0606a32b1ffb3fea5414488cc7d8d5d4db613f351d4442c5f9f,537e42dd42b8032d49066b2a2533ca1a658acab1c183e034d3d36cdea9c16628,2,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.0053981106612685514,232.03448019637082
d49e066cf701d2ddb200c8626fd037ae1d6988649757616f3ee853f714f40a45,b6fb3aa65a8438aa3cafb96b397c4631a1aea747684e2c7b024ab19b7369c913,3,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.004723346828609976,82.0
cf914dee9a4f380d8d7568302b730ee3c44ea1a1d3083b5416f3bcf80baeb6e7,05c3ec271fad377626a051a1cebf091e7a9dd5be0954f13a4b9d9649edcc9144,4,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.010796221322537103,60.0
f356452e0dd6e8deb11ff28d506c5dd154960a2e5c5851bae3e058b4b902322b,34f174114954013d7e607219a0f17d408ce1a02de99ad016c3724b43d1a0580e,5,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.002024291497975672,36.0
ebf5ffde1489b6db32dad5ec1f0099f6f58a96f997fe7a1b09b7976382f81b5d,cf775d4db5e93e5a4f20e6efd24a847b499926a5da440b51066075b7b6fc1988,6,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.0026990553306343035,30.0
2ddfe5b92dcd8f0539201cb2ec7d03833414f251317fe3e004ed02b939a29417,09881214b65840ca9295e94527802083c0a3fcfa608308201e0513c9b9aa386e,7,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.010796221322537103,23.0
5ea84cc3ab9e400e6e21bd50531696f72eba5a86bcb21be921dae08e3ddbae6f,2d19beb24ce79d849198bc0d6a99dec2f40418c33e11c493b4674cdfe082e6d1,8,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.002024291497975672,14.0
947cba6ab8dedbb752fb61dacc7890c6a59f816038ee9fc027c86021a967577a,137620e0c063b3c7a2f5de6bd9c7f0cc9d8edffddba61bf060de690ecb5da48e,9,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.004048582995951455,13.0
cf2005008ac6a9050a6b941d054cce0169508e71955269151fcf138b82d13f7c,0f7857408f515e8922a0554107440982fa0a7bdf28bde0585cd7b2529563f0b1,10,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.003373819163292824,11.0
7bb37503f5cd4f90a0cd10615459008cb189bc7d835919d7cf8555eae59d68de,0c4bc4a89d87a52360e8e09b174df3ab2aa5f333202e91f5664d45490ad036b5,11,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.019568151147098534,10.0
adfa0b29ee7663dc5d9f63a766fd374be52054e86e6b451c6a53111914e7b301,25961bf3e3d7f17ca29b51203b9c8889e97d28a77db48cbd98eb4c36a919fbd7,12,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.004048582995951344,10.0
1efaf957cb0d14f2a70be16141c57d184b62c4a3907f29bd9c34613357e4060c,f45758ce461a71a9557661e75347d3f4f8c8d5822a1d26fee4db3f390da7d779,13,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.004048582995951455,10.0
854f8790fcd9ec11628ce766a1a6a310e1402d6b183a0a639f4ec46d5fe11d14,668053fb8db801d043ca1f0e4ef2446838e9427e3b61a633e18093319f1369a7,14,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.002024291497975783,8.0
590a1fbe5727bc050c114aa8dd4df5195c7fc35c23f63a589b919ba8d1e1e3d8,29a34aa71bbb4b8b8ac305270d0c32fa6ae0fc62ee68011b316584c8072c5d5c,15,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.002024291497975672,5.0
bd2cf5986b071f773d766dc433bca6f4c165ce689b7b9bd8d3095ef05e7830cf,363e8bc077f00bc76e2f4455e3bb8492a7bcf4e9070a842efe62694275197072,16,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.0013495276653171517,5.0
b15d6f598156927bbab0ade4c9495703ffa6c7569aece4c787a5aae64747015d,80d47a767b7e6d885e62ec7e6fcbb5cbd1ae7b45a4e717aa03b4611082f34cf4,17,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.002024291497975783,5.0
9ad8f255ee2e001cc304cb51e0c8cc61a817ca0c309bee05117fa4f549ffe261,83ced1af28b2127a9feaca9640c540a71cdb868fd78e8dd73cea57d855513d41,18,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.006072874493927127,4.0
60936e0ccb2d7b9200ae6c04dfac49fb80fd3c4e2e2d6d5475e1a9fdd4f5bcc7,04479788116ac36cbc4878630eb2c3b2565ac6aed5649a46ac7a853abc9bcde3,19,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.0006747638326585204,3.0
9e9b04857fa510a7eb1d66ef7b03340801a0ba41859f60baea3ab4952824047c,53b4fc9ac1342e4a36e00f6a39eeafdbaf418507ea9d5086f799def62657ae69,20,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.004048582995951344,3.0
589fdb933ec2c1bb97d3169884660025d0d830fb6d5b51ce267cab50f83af9b2,5b07ffe12dc8d4a999cd92bb144bff1b80772db2d282f322e34b5e5e35a8142e,21,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.002024291497975672,3.0
a3ba6d8d3bf57a8200216688d38ac7a905a0900c03f1e5db8f05fa3aad8a83ec,710e2a1a5db4544b30928afe90fd31a8b8603c0b3c6d2af84cc468aee03fa468,22,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.00877192982456143,3.0
2c9210d4ed7a9845f5fb31421de76cefa8233f999023af394b6793279a813983,7ff9384d16ae81f8f5a396ea36aed19f71810c6bf3f5d4879b6877e013eda57e,23,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.006072874493927127,3.0
a24ed9ae9036b3a5edc08ac00564ee95ae612624de4ef425b7f64541efee5d14,87cd935db90ab9f9b6207ec0e68f9fc4ca1ff2e4b569f43030c0b93012826c5b,24,maximin,ZL1_priority_interior_N4_5,ZL1,interior,0.003373819163292824,3.0
c2996f5a72e27d94559d433a43f9f894764eb3b5544a9d0f03e48f1d54c74093,0085335122c2279494aa95292443f92593b91da41878a3bcea697a34ea824d9a,1,deterministic_hash,ZL1_boundary,ZL1,boundary,0.03441295546558709,
551442a450073bd34a3552225767d822f09b59042e8eb1dc62b40b844ac93174,d73a5c7c0eb917e2b4f96dac740bff8e135ea21bd649f84a04f5c3a4742c8696,2,maximin,ZL1_boundary,ZL1,boundary,0.12078272604588391,938.0767559213905
907713968ab9099d94325dcc142ca1b2713ecc48d4d4cfe9aa67834f8681a5ee,dc467169026579570c264976a0388b28db9235f2aa1e3291dad61869e8357cd2,3,maximin,ZL1_boundary,ZL1,boundary,0.09488719363749794,472.01694884823786
200f5f95f059ad9beab7223ffff91d0e06df1317430a6c1a52581dc9c3a9128d,4a63d90f9bf65a5b9a1b48b4d5ff4e8a1e997718caf0e242db4e29a8bcd0a66a,4,maximin,ZL1_boundary,ZL1,boundary,0.004723346828609976,466.06866446908873
911ca50c97bcf4ed77f81ecd50d59898dae383f9cec71628f8f57e7d0f25bfb6,0bf5d0280d1141cdbb6446814dd6a7ee735691b57c30ba1a3bc5e029209b0193,1,deterministic_hash,ZL1_interior_other,ZL1,interior,0.02429149797570851,
acbb734ce9bba9d8ad4b4b529cef42f33b83799d39d1a8bb9e665a1b214ccb46,8bd0c09daff989b910ad82ae5da3589fc6e992cb624e0d759b8ec3f217e19710,2,maximin,ZL1_interior_other,ZL1,interior,0.002024291497975672,54.0
502c12775cfea32f611b430a47550d77c505df50c43e73e91cae7499fb19a97a,6b4c91f70607535e905a134ce5850fa93f583ed2d58350f9743ba24c2a89b142,3,maximin,ZL1_interior_other,ZL1,interior,0.006072874493927127,27.0
a42fa2874b36de59b095598196aee922e50b12c2f0bee8ca4e98d4b0eb1192ea,5079a7a8d0919ef60f252ab0f7cfba2e5a920c8a66355c114456e32fe99a7a3d,4,maximin,ZL1_interior_other,ZL1,interior,0.002024291497975672,12.0
