candidate_id,branch_stage,material_reference_id,Tx_mean,Tx_min,ratio_median,ratio_min,matrix_error_mean,phase_center_deg,nearest_bin,phase_error_center_deg,bin_jump_count,projector_class,failure_mode
A00,LP-ML2A,,0.222603109,0.222603109,1.51069627,1.51069627,0.813600903,279.745067,300,20.2549334,0,ok,legacy_constant_index
A02,LP-ML2A,,0.585551684,0.585551684,0.709145914,0.709145914,1.18749612,330.940067,0,29.0599326,0,ok,legacy_constant_index
A04,LP-ML2A,,0.881073941,0.881073941,1.15225834,1.15225834,0.931590542,5.22887272,0,5.22887272,0,ok,legacy_constant_index
A05,LP-ML2A,,0.916479635,0.916479635,0.918730647,0.918730647,1.04329205,37.9084458,60,22.0915542,0,ok,legacy_constant_index
B02,LP-ML2A,,0.0941857605,0.0941857605,1.03492217,1.03492217,0.982983332,317.499812,300,17.4998117,0,ok,legacy_constant_index
C02,LP-ML2A,,0.395063543,0.395063543,0.640669946,0.640669946,1.24934627,285.973342,300,14.0266576,0,ok,legacy_constant_index
LPML1B2D_B2D_0283_A01,LP-ML1B2E,,0.934846,,43.64248,,0.152362,,120,11.709756,1,strong_B120_refined_seed,legacy_constant_index_2p6
LPML1B2D_B2D_0283_A02,LP-ML1B2E,,0.888478,,39.440819,,0.164258,,120,12.893512,1,strong_B120_refined_seed,legacy_constant_index_2p6
LPML1B2D_B2D_0283_A03,LP-ML1B2E,,0.911735,,48.884536,,0.148975,,120,14.377977,1,strong_B120_refined_seed,legacy_constant_index_2p6
LPML1B2D_B2D_0283_A04,LP-ML1B2E,,0.919513,,36.222012,,0.169585,,120,12.99734,1,strong_B120_refined_seed,legacy_constant_index_2p6
LPML1B2D_B2D_0283_A05,LP-ML1B2E,,0.908652,,33.740962,,0.177334,,120,12.938249,1,strong_B120_refined_seed,legacy_constant_index_2p6
LPML1B2D_B2D_0283_B01,LP-ML1B2E,,0.962714,,51.763038,,0.160828,,120,5.587859,1,strong_B120_refined_seed,legacy_constant_index_2p6
LPML1B2D_B2D_0283_C02,LP-ML1B2E,,0.741935,,1.846774,,0.824186,,60,33.959032,1,failed_or_negative,legacy_constant_index_2p6
LPML1B2D_B2D_0283_C05,LP-ML1B2E,,0.268998,,0.274381,,1.934412,,0,119.539197,1,failed_or_negative,legacy_constant_index_2p6
