candidate_id,branch_stage,family,H_nm,period_x_nm,period_y_nm,L1_nm,W1_nm,theta1_deg,L2_nm,W2_nm,theta2_deg,PSI_deg,delta_theta_deg,center_dx_nm,gap_nm,edge_margin_nm,aspect_ratio,geometry_valid,source_manifest,source_commit
A00,LP-ML2A,seed_audit,500.0,431.907786,431.907786,150.0,110.0,45.0,130.0,110.0,135.0,90.0,-90.0,230.0,53.223305,9.030011,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
A01,LP-ML2A,index_sweep,500.0,431.907786,431.907786,150.0,110.0,45.0,130.0,110.0,135.0,90.0,-90.0,230.0,53.223305,9.030011,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
A02,LP-ML2A,index_sweep,500.0,431.907786,431.907786,150.0,110.0,45.0,130.0,110.0,135.0,90.0,-90.0,230.0,53.223305,9.030011,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
A03,LP-ML2A,index_sweep,500.0,431.907786,431.907786,150.0,110.0,45.0,130.0,110.0,135.0,90.0,-90.0,230.0,53.223305,9.030011,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
A04,LP-ML2A,index_sweep,500.0,431.907786,431.907786,150.0,110.0,45.0,130.0,110.0,135.0,90.0,-90.0,230.0,53.223305,9.030011,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
A05,LP-ML2A,index_sweep,500.0,431.907786,431.907786,150.0,110.0,45.0,130.0,110.0,135.0,90.0,-90.0,230.0,53.223305,9.030011,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
B01,LP-ML2A,D_sweep,500.0,431.907786,431.907786,150.0,110.0,45.0,130.0,110.0,135.0,90.0,-90.0,232.5,55.723305,7.780011,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
B02,LP-ML2A,D_sweep,500.0,431.907786,431.907786,150.0,110.0,45.0,130.0,110.0,135.0,90.0,-90.0,235.0,58.223305,6.530011,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
B03,LP-ML2A,D_sweep,500.0,431.907786,431.907786,150.0,110.0,45.0,130.0,110.0,135.0,90.0,-90.0,237.5,60.723305,5.280011,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
B04,LP-ML2A,D_sweep,500.0,431.907786,431.907786,150.0,110.0,45.0,130.0,110.0,135.0,90.0,-90.0,240.0,63.223305,4.030011,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
C01,LP-ML2A,PSI_sweep,500.0,431.907786,431.907786,150.0,110.0,125.0,130.0,110.0,35.0,80.0,-90.0,230.0,57.136818,12.882298,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
C02,LP-ML2A,PSI_sweep,500.0,431.907786,431.907786,150.0,110.0,130.0,130.0,110.0,40.0,85.0,-90.0,230.0,54.512278,10.612378,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
C03,LP-ML2A,PSI_sweep,500.0,431.907786,431.907786,150.0,110.0,140.0,130.0,110.0,50.0,95.0,-90.0,230.0,53.279709,8.147241,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
C04,LP-ML2A,PSI_sweep,500.0,431.907786,431.907786,150.0,110.0,145.0,130.0,110.0,55.0,100.0,-90.0,230.0,54.681062,7.970786,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
D01,LP-ML2A,delta_LW_rescue,500.0,431.907786,431.907786,140.0,110.0,132.5,140.0,110.0,47.5,90.0,-85.0,230.0,54.316864,13.112325,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
D02,LP-ML2A,delta_LW_rescue,500.0,431.907786,431.907786,160.0,110.0,137.5,130.0,110.0,42.5,90.0,85.0,235.0,53.779863,2.314245,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
D03,LP-ML2A,delta_LW_rescue,500.0,431.907786,431.907786,150.0,110.0,130.0,130.0,110.0,50.0,90.0,-80.0,230.0,55.744846,10.612378,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
D04,LP-ML2A,delta_LW_rescue,500.0,431.907786,431.907786,145.0,110.0,130.0,135.0,110.0,50.0,90.0,-80.0,235.0,60.744846,9.719347,4.545455,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml2a_h500_tio2_scout\lp_ml2a_h500_tio2_scout_manifest_v3.csv,uncommitted_local
LPML1B2D_B2D_0283_A01,LP-ML1B2E,reassigned_B120_cleanup,650.0,431.907786,431.907786,210.0,150.0,77.5,120.0,100.0,160.0,,,210.0,,15.005533,,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2d_0283_refinement\lp_ml1b2d_0283_local_refinement_plan.csv,d9617c5
LPML1B2D_B2D_0283_A02,LP-ML1B2E,reassigned_B120_cleanup,650.0,431.907786,431.907786,210.0,150.0,82.5,120.0,100.0,160.0,,,210.0,,22.890278,,1,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2d_0283_refinement\lp_ml1b2d_0283_local_refinement_plan.csv,d9617c5
