case_id,candidate_id,wavelength_nm,t_xx_real,t_xx_imag,t_yx_real,t_yx_imag,t_xy_real,t_xy_imag,t_yy_real,t_yy_imag,selected_Tx,leakage_xin_to_yout,leakage_yin_to_xout,y_direct_leakage,leakage_sum,ratio,matrix_error,phase_deg,reassigned_bin,phase_err_to_bin_deg
B2E:LPML1B2D_B2D_0283_A01:450.5:JonesXY,LPML1B2D_B2D_0283_A01,450.5,-0.686952,0.657042,0.022737,0.030727,0.022151,-0.12588,0.107993,-0.113999,0.903606,0.001461,0.016336,0.024658,0.042455,22.042087,0.21676,136.274885,120,16.274885
B2E:LPML1B2D_B2D_0283_A01:450:JonesXY,LPML1B2D_B2D_0283_A01,450.0,-0.693243,0.637657,0.010962,0.02704,0.03243,-0.127325,0.082075,-0.122447,0.887192,0.000851,0.017263,0.02173,0.039844000000000004,22.752642,0.211921,137.391636,120,17.391636
B2E:LPML1B2D_B2D_0283_A01:451.5:JonesXY,LPML1B2D_B2D_0283_A01,451.5,-0.675449,0.696908,0.007488,0.003635,0.007356,-0.107772,0.030986,-0.112662,0.941913,6.9e-05,0.011669,0.013653,0.025391,37.197641,0.164186,134.104169,120,14.104169
B2E:LPML1B2D_B2D_0283_A01:451:JonesXY,LPML1B2D_B2D_0283_A01,451.0,-0.685555,0.676694,0.009643,0.024502,0.020454,-0.135384,0.08381,-0.102016,0.927901,0.000693,0.018747,0.017431,0.036871,25.64766,0.199342,135.372702,120,15.372702
B2E:LPML1B2D_B2D_0283_A01:452.5:JonesXY,LPML1B2D_B2D_0283_A01,452.5,-0.617295,0.752411,-0.001905,0.019269,-0.014805,-0.090563,0.02764,-0.106593,0.947176,0.000375,0.008421,0.012126,0.020922,46.098283,0.148622,129.366249,120,9.366249
B2E:LPML1B2D_B2D_0283_A01:452:JonesXY,LPML1B2D_B2D_0283_A01,452.0,-0.64464,0.72328,0.016166,0.004576,-0.006571,-0.087003,0.026377,-0.114892,0.938696,0.000282,0.007613,0.013896,0.021790999999999998,43.64248,0.152362,131.709756,120,11.709756
B2E:LPML1B2D_B2D_0283_A01:453.5:JonesXY,LPML1B2D_B2D_0283_A01,453.5,-0.566155,0.798913,-0.024524,0.000886,-0.021793,-0.050067,-0.016373,-0.072561,0.958793,0.000602,0.002982,0.005533,0.009117,112.603238,0.097513,125.32354,120,5.32354
B2E:LPML1B2D_B2D_0283_A01:453:JonesXY,LPML1B2D_B2D_0283_A01,453.0,-0.601903,0.776697,-0.029093,0.008658,-0.018535,-0.077977,-0.000415,-0.087868,0.965546,0.000921,0.006424,0.007721,0.015066,68.260737,0.124916,127.773939,120,7.773939
B2E:LPML1B2D_B2D_0283_A01:454:JonesXY,LPML1B2D_B2D_0283_A01,454.0,-0.509792,0.826377,-0.02876,0.038732,-0.033273,-0.046683,-0.018438,-0.077528,0.942787,0.002327,0.003286,0.006351,0.011963999999999999,97.829856,0.112652,121.670451,120,1.670451
B2E:LPML1B2D_B2D_0283_A02:450.5:JonesXY,LPML1B2D_B2D_0283_A02,450.5,-0.667072,0.623205,0.018124,0.043734,0.043734,-0.095349,0.107321,-0.119902,0.833368,0.002241,0.011004,0.025894,0.039139,22.585552,0.216715,136.947201,120,16.947201
B2E:LPML1B2D_B2D_0283_A02:450:JonesXY,LPML1B2D_B2D_0283_A02,450.0,-0.654777,0.600114,0.006572,0.063841,0.055059,-0.092757,0.115724,-0.110307,0.78887,0.004119,0.011635,0.02556,0.041314000000000003,21.209027,0.228847,137.494236,120,17.494236
B2E:LPML1B2D_B2D_0283_A02:451.5:JonesXY,LPML1B2D_B2D_0283_A02,451.5,-0.672211,0.660697,0.025925,0.040548,0.028914,-0.074184,0.057696,-0.1261,0.888389,0.002316,0.006339,0.01923,0.027885,34.744373,0.177169,135.494926,120,15.494926
B2E:LPML1B2D_B2D_0283_A02:451:JonesXY,LPML1B2D_B2D_0283_A02,451.0,-0.680577,0.640389,0.028949,0.037669,0.038645,-0.090949,0.082582,-0.126173,0.873283,0.002257,0.009765,0.022739,0.034761,26.866433,0.199513,136.742576,120,16.742576
B2E:LPML1B2D_B2D_0283_A02:452.5:JonesXY,LPML1B2D_B2D_0283_A02,452.5,-0.629771,0.724882,0.00379,0.025559,0.003703,-0.065141,0.026348,-0.123836,0.922065,0.000668,0.004257,0.01603,0.020955,45.451743,0.15075,130.983834,120,10.983834
B2E:LPML1B2D_B2D_0283_A02:452:JonesXY,LPML1B2D_B2D_0283_A02,452.0,-0.644256,0.693459,0.011536,0.036387,0.013542,-0.066327,0.040748,-0.128348,0.895951,0.001457,0.004583,0.018134,0.024174,39.440819,0.164258,132.893512,120,12.893512
B2E:LPML1B2D_B2D_0283_A02:453.5:JonesXY,LPML1B2D_B2D_0283_A02,453.5,-0.57492,0.770955,-0.007606,0.045302,-0.008041,-0.038122,-0.008398,-0.092531,0.924906,0.00211,0.001518,0.008632,0.01226,91.119673,0.115135,126.712791,120,6.712791
B2E:LPML1B2D_B2D_0283_A02:453:JonesXY,LPML1B2D_B2D_0283_A02,453.0,-0.617657,0.745804,0.00486,0.027824,0.000418,-0.053196,0.008816,-0.105386,0.937723,0.000798,0.00283,0.011184,0.014811999999999999,66.913611,0.12568,129.630752,120,9.630752
B2E:LPML1B2D_B2D_0283_A02:454:JonesXY,LPML1B2D_B2D_0283_A02,454.0,-0.529725,0.806933,-0.034668,0.050615,-0.020061,-0.034702,-0.017897,-0.094654,0.931749,0.003764,0.001607,0.00928,0.014651,85.588153,0.125393,123.283598,120,3.283598
B2E:LPML1B2D_B2D_0283_A03:450.5:JonesXY,LPML1B2D_B2D_0283_A03,450.5,-0.698898,0.615811,0.010195,0.057813,0.036901,-0.093408,0.024785,-0.09719,0.867683,0.003446,0.010087,0.01006,0.023593,43.067524,0.164897,138.616165,120,18.616165
B2E:LPML1B2D_B2D_0283_A03:450:JonesXY,LPML1B2D_B2D_0283_A03,450.0,-0.686988,0.601465,0.017037,0.063406,0.052888,-0.107585,0.079275,-0.061293,0.833712,0.004311,0.014372,0.010041,0.028724,34.150172,0.185615,138.797542,120,18.797542
B2E:LPML1B2D_B2D_0283_A03:451.5:JonesXY,LPML1B2D_B2D_0283_A03,451.5,-0.690853,0.659913,0.032224,0.01653,0.021536,-0.089784,0.071343,-0.106127,0.912762,0.001312,0.008525,0.016353,0.026189999999999998,36.69028,0.169388,136.312167,120,16.312167
B2E:LPML1B2D_B2D_0283_A03:451:JonesXY,LPML1B2D_B2D_0283_A03,451.0,-0.701795,0.636337,0.011494,0.025707,0.021449,-0.078569,0.046094,-0.115344,0.897441,0.000793,0.006633,0.015429,0.022855,40.677852,0.159584,137.800534,120,17.800534
B2E:LPML1B2D_B2D_0283_A03:452.5:JonesXY,LPML1B2D_B2D_0283_A03,452.5,-0.653162,0.713196,-0.005061,0.021153,-0.001797,-0.064901,-0.000169,-0.101075,0.935269,0.000473,0.004215,0.010216,0.014904,64.807728,0.126238,132.484188,120,12.484188
B2E:LPML1B2D_B2D_0283_A03:452:JonesXY,LPML1B2D_B2D_0283_A03,452.0,-0.670862,0.685589,0.024194,0.031827,0.013685,-0.089348,0.029518,-0.098894,0.920087,0.001598,0.00817,0.010651,0.020419,48.884536,0.148975,134.377977,120,14.377977
B2E:LPML1B2D_B2D_0283_A03:453.5:JonesXY,LPML1B2D_B2D_0283_A03,453.5,-0.598622,0.766572,0.006764,0.017726,-0.010802,-0.057362,0.003737,-0.082196,0.94598,0.00036,0.003407,0.00677,0.010537,92.951157,0.105541,127.986578,120,7.986578
B2E:LPML1B2D_B2D_0283_A03:453:JonesXY,LPML1B2D_B2D_0283_A03,453.0,-0.633416,0.740484,-0.003251,-0.001242,-0.006494,-0.061686,0.012628,-0.100932,0.949533,1.2e-05,0.003847,0.010347,0.014206,66.896719,0.122316,130.543952,120,10.543952
B2E:LPML1B2D_B2D_0283_A03:454:JonesXY,LPML1B2D_B2D_0283_A03,454.0,-0.558386,0.794576,-0.02834,0.044025,-0.019003,-0.038337,-0.023385,-0.065345,0.943147,0.002741,0.001831,0.004817,0.009389,141.877317,0.099775,125.097514,120,5.097514
B2E:LPML1B2D_B2D_0283_A04:450.5:JonesXY,LPML1B2D_B2D_0283_A04,450.5,-0.691452,0.633388,0.011436,0.039528,0.038176,-0.128013,0.108575,-0.121992,0.879286,0.001693,0.017845,0.026671,0.046209,19.752393,0.229243,137.509531,120,17.509531
B2E:LPML1B2D_B2D_0283_A04:450:JonesXY,LPML1B2D_B2D_0283_A04,450.0,-0.682088,0.616218,0.019131,0.048435,0.047996,-0.135208,0.144689,-0.087088,0.844969,0.002712,0.020585,0.028519,0.051816,17.207745,0.247635,137.904406,120,17.904406
B2E:LPML1B2D_B2D_0283_A04:451.5:JonesXY,LPML1B2D_B2D_0283_A04,451.5,-0.679812,0.676093,0.030363,0.016454,0.016714,-0.097308,0.074322,-0.120457,0.919246,0.001193,0.009748,0.020034,0.030975,30.866022,0.183563,135.157155,120,15.157155
B2E:LPML1B2D_B2D_0283_A04:451:JonesXY,LPML1B2D_B2D_0283_A04,451.0,-0.695327,0.653486,0.016448,0.01665,0.026387,-0.107364,0.090627,-0.129812,0.910523,0.000548,0.012223,0.025065,0.037836,24.418776,0.203847,136.776762,120,16.776762
B2E:LPML1B2D_B2D_0283_A04:452.5:JonesXY,LPML1B2D_B2D_0283_A04,452.5,-0.640773,0.731533,-0.007636,0.014163,-0.003528,-0.079975,0.020903,-0.120882,0.94573,0.000259,0.006408,0.015049,0.021716,44.073747,0.151535,131.216172,120,11.216172
B2E:LPML1B2D_B2D_0283_A04:452:JonesXY,LPML1B2D_B2D_0283_A04,452.0,-0.655552,0.703059,0.016065,0.028391,0.005454,-0.092912,0.042215,-0.122743,0.924041,0.001064,0.008662,0.016848,0.026574,36.222012,0.169585,132.99734,120,12.99734
B2E:LPML1B2D_B2D_0283_A04:453.5:JonesXY,LPML1B2D_B2D_0283_A04,453.5,-0.579427,0.780678,0.001462,0.024728,-0.016098,-0.05397,-0.00514,-0.086322,0.945193,0.000614,0.003172,0.007478,0.011264,88.752192,0.109163,126.583158,120,6.583158
B2E:LPML1B2D_B2D_0283_A04:453:JonesXY,LPML1B2D_B2D_0283_A04,453.0,-0.620851,0.75624,-0.000975,-0.000517,-0.008331,-0.065492,0.01339,-0.102448,0.957354,1e-06,0.004359,0.010675,0.015035,63.681308,0.125317,129.384992,120,9.384992
B2E:LPML1B2D_B2D_0283_A04:454:JonesXY,LPML1B2D_B2D_0283_A04,454.0,-0.540301,0.810769,-0.039113,0.044204,-0.02534,-0.046265,-0.021906,-0.084826,0.949271,0.003484,0.002783,0.007675,0.013942,90.771658,0.121188,123.67973,120,3.67973
