case_id,candidate_id,branch_stage,wavelength_nm,polarization,material_reference_id,material_model_type,constant_index_value,runner_name,runner_version,simulation_status,runtime_seconds,source_output,source_commit,is_historical,notes
B2E:LPML1B2D_B2D_0283_A01:450.5:JonesXY,LPML1B2D_B2D_0283_A01,LP-ML1B2E,450.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A01:450:JonesXY,LPML1B2D_B2D_0283_A01,LP-ML1B2E,450.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A01:451.5:JonesXY,LPML1B2D_B2D_0283_A01,LP-ML1B2E,451.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A01:451:JonesXY,LPML1B2D_B2D_0283_A01,LP-ML1B2E,451.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A01:452.5:JonesXY,LPML1B2D_B2D_0283_A01,LP-ML1B2E,452.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A01:452:JonesXY,LPML1B2D_B2D_0283_A01,LP-ML1B2E,452.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A01:453.5:JonesXY,LPML1B2D_B2D_0283_A01,LP-ML1B2E,453.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A01:453:JonesXY,LPML1B2D_B2D_0283_A01,LP-ML1B2E,453.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A01:454:JonesXY,LPML1B2D_B2D_0283_A01,LP-ML1B2E,454.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A02:450.5:JonesXY,LPML1B2D_B2D_0283_A02,LP-ML1B2E,450.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
