record_id,geometry_id,source_id,source_relative_path,source_row_identifier,source_candidate_id,source_commit,extraction_rule,dedup_action,conflict_status,notes
MAN_EX_N2_L76_H42_C152,GEO_5e7c68405ae07293,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H42_C152,EX_N2_L76_H42_C152,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H42_C153,GEO_ea3e60d50ddf8bf1,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H42_C153,EX_N2_L76_H42_C153,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H42_C154,GEO_c68f5b6b1a701797,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H42_C154,EX_N2_L76_H42_C154,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H42_C155,GEO_ae086a390272efd8,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H42_C155,EX_N2_L76_H42_C155,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H42_C156,GEO_6f9ca4849ca5473b,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H42_C156,EX_N2_L76_H42_C156,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H42_C157,GEO_279d2f7f71bd6fda,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H42_C157,EX_N2_L76_H42_C157,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H42_C158,GEO_efbc2583590606d5,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H42_C158,EX_N2_L76_H42_C158,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H42_C159,GEO_32dbb865d87d0223,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H42_C159,EX_N2_L76_H42_C159,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H42_C160,GEO_1564d9758e39d76b,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H42_C160,EX_N2_L76_H42_C160,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H42_C161,GEO_e0db41ede2ec9be8,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H42_C161,EX_N2_L76_H42_C161,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H42_C162,GEO_9bf4ca129558038e,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H42_C162,EX_N2_L76_H42_C162,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H42_C152,GEO_3475ccd85d210ae2,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H42_C152,EX_N2_L77_H42_C152,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H42_C153,GEO_a7caf466f0eab788,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H42_C153,EX_N2_L77_H42_C153,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H42_C154,GEO_d0faef5c8174d5f5,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H42_C154,EX_N2_L77_H42_C154,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H42_C155,GEO_e02cbb40700422b8,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H42_C155,EX_N2_L77_H42_C155,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H42_C156,GEO_430c534fa8681d81,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H42_C156,EX_N2_L77_H42_C156,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H42_C157,GEO_2e03c0387ae40d32,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H42_C157,EX_N2_L77_H42_C157,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H42_C158,GEO_185f15de7d576106,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H42_C158,EX_N2_L77_H42_C158,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H42_C159,GEO_e5789e750ea00380,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H42_C159,EX_N2_L77_H42_C159,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H42_C160,GEO_13bdbb03b4a0c15a,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H42_C160,EX_N2_L77_H42_C160,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H42_C161,GEO_9a24e3dcbc50e7c0,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H42_C161,EX_N2_L77_H42_C161,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H42_C162,GEO_06d1ac1f287d979b,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H42_C162,EX_N2_L77_H42_C162,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C152,GEO_468599a0b34d8513,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C152,EX_N2_L78_H42_C152,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C153,GEO_f5e00009a83e0a1f,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C153,EX_N2_L78_H42_C153,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C154,GEO_d8fe1978e53021bb,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C154,EX_N2_L78_H42_C154,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C155,GEO_f8632f167708ebfb,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C155,EX_N2_L78_H42_C155,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
