sample_role,future_training_role,geometry_id,geometry_hash,candidate_id_primary,candidate_aliases,topology_family,N,M,H_nm,L_nm,C_nm,effective_central_L_thickness_nm,physical_layer_count,total_thickness_nm,compiled_sequence,material_model,propagation_direction,record_id,source_id,fidelity_level,simulation_method,tmm_angular_FWHM_450_deg,tmm_max_transmission_angle_450_deg,strict_normal_450,near_normal_450,normal_to_40_60_ratio,angular_FWHM_valid,quality_status,has_angular_fwhm_label,has_max_angle_label,angular_label_status,angular_missing_reason
canonical_tmm_sweep,sparse_angular_analysis,GEO_5e7c68405ae07293,5e7c68405ae07293973e3eefcb01c30473d969b82ae6280db820da971fe813c0,EX_N2_L76_H42_C152,EX_N2_L76_H42_C152,Explicit,2,,42,76,152,,9,624,L76 H42 L76 H42 L152 H42 L76 H42 L76,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_5e7c68405ae07293,tmm_coarse,coarse,TMM,,,,,3.6201443423571806,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_ea3e60d50ddf8bf1,ea3e60d50ddf8bf1f62e34e92a123821778933b73b3a4789bfd0fc510612dc4d,EX_N2_L76_H42_C153,EX_N2_L76_H42_C153,Explicit,2,,42,76,153,,9,625,L76 H42 L76 H42 L153 H42 L76 H42 L76,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_ea3e60d50ddf8bf1,tmm_coarse,coarse,TMM,,,,,3.892374733730477,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_c68f5b6b1a701797,c68f5b6b1a7017975266bcaa858dfea370938ccdde10e8818b736f62c030200b,EX_N2_L76_H42_C154,EX_N2_L76_H42_C154,Explicit,2,,42,76,154,,9,626,L76 H42 L76 H42 L154 H42 L76 H42 L76,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_c68f5b6b1a701797,tmm_coarse,coarse,TMM,,,,,4.188544235199249,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_ae086a390272efd8,ae086a390272efd82968f9ade477f2b587c2902e0f9749b9157599b620c7f3d7,EX_N2_L76_H42_C155,EX_N2_L76_H42_C155,Explicit,2,,42,76,155,,9,627,L76 H42 L76 H42 L155 H42 L76 H42 L76,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_ae086a390272efd8,tmm_coarse,coarse,TMM,,,,,4.508373066947066,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_6f9ca4849ca5473b,6f9ca4849ca5473bf6056cd3767b8265c170883ec07ac37a66b5778907bcaaf0,EX_N2_L76_H42_C156,EX_N2_L76_H42_C156,Explicit,2,,42,76,156,,9,628,L76 H42 L76 H42 L156 H42 L76 H42 L76,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_6f9ca4849ca5473b,tmm_coarse,coarse,TMM,,,,,4.850003704283534,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_279d2f7f71bd6fda,279d2f7f71bd6fdabbaac3bcfefd8815a054edb92dd56cb118c7b8dabaa33f2d,EX_N2_L76_H42_C157,EX_N2_L76_H42_C157,Explicit,2,,42,76,157,,9,629,L76 H42 L76 H42 L157 H42 L76 H42 L76,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_279d2f7f71bd6fda,tmm_coarse,coarse,TMM,,,,,5.209248017516527,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_efbc2583590606d5,efbc2583590606d5d381d871206e6f05b2935ac5e935ceb6a88b22b279f0e213,EX_N2_L76_H42_C158,EX_N2_L76_H42_C158,Explicit,2,,42,76,158,,9,630,L76 H42 L76 H42 L158 H42 L76 H42 L76,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_efbc2583590606d5,tmm_coarse,coarse,TMM,,,,,5.578690398612289,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_32dbb865d87d0223,32dbb865d87d022381a15c920a8720f054fbd76d651c5ba243fcbd88f75d674a,EX_N2_L76_H42_C159,EX_N2_L76_H42_C159,Explicit,2,,42,76,159,,9,631,L76 H42 L76 H42 L159 H42 L76 H42 L76,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_32dbb865d87d0223,tmm_coarse,coarse,TMM,,,,,5.946767057488996,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_1564d9758e39d76b,1564d9758e39d76bad5e0c3f9aa480f717674e1024b0c79a825ecc8a9eaf7c58,EX_N2_L76_H42_C160,EX_N2_L76_H42_C160,Explicit,2,,42,76,160,,9,632,L76 H42 L76 H42 L160 H42 L76 H42 L76,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_1564d9758e39d76b,tmm_coarse,coarse,TMM,,,,,6.297080925692902,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_e0db41ede2ec9be8,e0db41ede2ec9be82e3b92e1fe9653ed31e069885c392c1ec85d18a24f6350ca,EX_N2_L76_H42_C161,EX_N2_L76_H42_C161,Explicit,2,,42,76,161,,9,633,L76 H42 L76 H42 L161 H42 L76 H42 L76,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_e0db41ede2ec9be8,tmm_coarse,coarse,TMM,,,,,6.608376032154365,false,accepted,false,false,missing,not_computed
