queue_id,candidate_id,target_bin_deg,sampling_group,sampling_family,H_nm,geometry_complete,missing_geometry_fields,planned_wavelength_count,planned_polarization_count,planned_subruns,estimated_runtime_sec,estimated_runtime_min,resume_key_policy,failure_log_policy,ready_for_b2b
LPML1B0_001,LPML1A4_0028_B300_exploration_B300_H600,300,B300_exploration,B300_theta_contrast,600,true,,9,2,18,318.64,5.31,skip_existing_candidate_wavelength_polarization_rows,append_case_level_error_to_failure_log_and_continue,true
LPML1B0_002,LPML1A4_0049_B300_exploration_B300_H500,300,B300_exploration,B300_dx_sweep,500,true,,9,2,18,318.64,5.31,skip_existing_candidate_wavelength_polarization_rows,append_case_level_error_to_failure_log_and_continue,true
LPML1B0_003,LPML1A4_0093_B300_exploration_B300_H500,300,B300_exploration,B300_dx_sweep,500,true,,9,2,18,318.64,5.31,skip_existing_candidate_wavelength_polarization_rows,append_case_level_error_to_failure_log_and_continue,true
LPML1B0_004,LPML1A4_0157_B300_exploration_B300_H500,300,B300_exploration,B300_asymmetric_length,500,true,,9,2,18,318.64,5.31,skip_existing_candidate_wavelength_polarization_rows,append_case_level_error_to_failure_log_and_continue,true
LPML1B0_005,LPML1A4_0178_B300_exploration_B300_H650,300,B300_exploration,B300_dx_sweep,650,true,,9,2,18,318.64,5.31,skip_existing_candidate_wavelength_polarization_rows,append_case_level_error_to_failure_log_and_continue,true
LPML1B0_006,LPML1A4_0196_B300_exploration_B300_H500,300,B300_exploration,B300_asymmetric_length,500,true,,9,2,18,318.64,5.31,skip_existing_candidate_wavelength_polarization_rows,append_case_level_error_to_failure_log_and_continue,true
LPML1B0_007,LPML1A4_0217_B300_exploration_B300_H650,300,B300_exploration,B300_global_mixed,650,true,,9,2,18,318.64,5.31,skip_existing_candidate_wavelength_polarization_rows,append_case_level_error_to_failure_log_and_continue,true
LPML1B0_008,LPML1A4_0098_B300_exploration_B300_H650,300,B300_exploration,B300_global_mixed,650,true,,9,2,18,318.64,5.31,skip_existing_candidate_wavelength_polarization_rows,append_case_level_error_to_failure_log_and_continue,true
LPML1B0_009,LPML1A4_0163_B300_exploration_B300_H500,300,B300_exploration,B300_asymmetric_length,500,true,,9,2,18,318.64,5.31,skip_existing_candidate_wavelength_polarization_rows,append_case_level_error_to_failure_log_and_continue,true
LPML1B0_010,LPML1A4_0188_B300_exploration_B300_H500,300,B300_exploration,B300_global_mixed,500,true,,9,2,18,318.64,5.31,skip_existing_candidate_wavelength_polarization_rows,append_case_level_error_to_failure_log_and_continue,true
