batch_id,candidate_id,target_bin_deg,wavelength_nm,txx_re,txx_im,txy_re,txy_im,tyx_re,tyx_im,tyy_re,tyy_im,selected_Tx,leakage_xin_to_yout,leakage_yin_to_xout,y_direct_leakage,conversion_to_leakage_ratio,selected_phase_deg,nearest_bin_deg,phase_error_deg,matrix_error,spectral_pass,result_status,error_message,preliminary_status
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,300,450,0.031647,-0.334855,-0.536420,0.171800,-0.290253,-0.160126,-0.594382,-0.224453,0.113130,0.109887,0.317261,0.403669,0.156922,275.398886,300,24.601114,2.709969,fail,ok,,weak
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,300,450.5,0.052389,-0.404595,-0.457022,0.235370,-0.291150,-0.061778,-0.654276,-0.138942,0.166441,0.088585,0.264268,0.447382,0.233881,277.377921,300,22.622079,2.192694,fail,ok,,weak
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,300,451,0.048675,-0.456490,-0.395769,0.278599,-0.273772,0.005295,-0.683160,-0.053398,0.210752,0.074979,0.234250,0.469559,0.299445,276.086368,300,23.913632,1.922310,fail,ok,,weak
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,300,451.5,0.032047,-0.495556,-0.348188,0.308742,-0.252487,0.054348,-0.687157,0.019965,0.246603,0.066704,0.216557,0.472584,0.357842,273.700116,300,26.299884,1.750720,fail,ok,,weak
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,300,452,0.006885,-0.525992,-0.309393,0.329337,-0.230516,0.091355,-0.677229,0.087178,0.276715,0.061483,0.204187,0.466239,0.412745,270.749932,300,29.250068,1.626343,fail,ok,,weak
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,300,452.5,-0.021410,-0.548944,-0.270945,0.349426,-0.206847,0.119250,-0.664112,0.154970,0.301798,0.057006,0.195510,0.465061,0.456874,267.766455,240,32.233545,1.541971,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,300,453,-0.050077,-0.566090,-0.234155,0.369443,-0.182931,0.141441,-0.642345,0.214361,0.322966,0.053469,0.191317,0.458557,0.496966,264.944734,240,35.055266,1.475726,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,300,453.5,-0.081874,-0.581153,-0.203777,0.383204,-0.159830,0.159683,-0.608148,0.263883,0.344442,0.051044,0.188371,0.439479,0.548606,261.980797,240,38.019203,1.403922,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,300,454,-0.115895,-0.594234,-0.172781,0.393981,-0.134861,0.173136,-0.570184,0.315565,0.366546,0.048164,0.185074,0.424692,0.601125,258.963978,240,41.036022,1.339756,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0049_B300_exploration_B300_H500,300,450,-0.489463,0.285502,-0.413481,0.221263,-0.069930,0.164082,-0.175592,-0.045663,0.321085,0.031813,0.219924,0.032918,1.269907,149.745160,120,150.254840,0.941562,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0049_B300_exploration_B300_H500,300,450.5,-0.448624,0.354855,-0.390765,0.257880,-0.170778,0.142129,-0.215798,0.049388,0.327185,0.049366,0.219199,0.049008,1.219898,141.656519,120,158.343481,0.985201,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0049_B300_exploration_B300_H500,300,451,-0.443422,0.432734,-0.341485,0.266858,-0.186615,0.078044,-0.279320,0.090472,0.383882,0.040916,0.187825,0.086205,1.400876,135.698911,120,164.301089,0.905772,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0049_B300_exploration_B300_H500,300,451.5,-0.411489,0.504711,-0.322949,0.273929,-0.146331,0.087301,-0.313009,0.088988,0.424057,0.029034,0.179333,0.105893,1.486739,129.190234,120,170.809766,0.860860,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0049_B300_exploration_B300_H500,300,452,-0.342996,0.550860,-0.317311,0.281508,-0.164432,0.127904,-0.323909,0.126892,0.421093,0.043397,0.179933,0.121019,1.399207,121.908637,120,178.091363,0.904295,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0049_B300_exploration_B300_H500,300,452.5,-0.283190,0.593035,-0.291382,0.273954,-0.210908,0.102172,-0.346221,0.188495,0.431887,0.054921,0.159954,0.155399,1.369535,115.525666,120,175.525666,0.925927,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0049_B300_exploration_B300_H500,300,453,-0.223712,0.642151,-0.270849,0.260799,-0.204831,0.062348,-0.376748,0.211705,0.462405,0.045843,0.141376,0.186758,1.409196,109.207290,120,169.207290,0.899314,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0049_B300_exploration_B300_H500,300,453.5,-0.143332,0.674657,-0.274080,0.252660,-0.189524,0.081371,-0.390577,0.231894,0.475706,0.042540,0.138957,0.206325,1.377731,101.994222,120,161.994222,0.902916,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0049_B300_exploration_B300_H500,300,454,-0.061809,0.681349,-0.274663,0.240804,-0.228487,0.096528,-0.390347,0.286787,0.468057,0.061524,0.133426,0.234617,1.271743,95.183468,120,155.183468,0.958002,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,450,-0.800930,-0.450188,-0.273869,-0.044346,-0.063107,0.006270,-0.913216,-0.030021,0.844158,0.004022,0.076971,0.834865,0.925780,209.339548,180,90.660452,1.041602,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,450.5,-0.834995,-0.366586,-0.216172,-0.028790,-0.031237,0.025172,-0.930671,0.102722,0.831602,0.001609,0.047559,0.876701,0.899749,203.702805,180,96.297195,1.055157,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,451,-0.855667,-0.280517,-0.167352,0.008179,-0.040496,0.037451,-0.945496,0.132377,0.810856,0.003043,0.028074,0.911485,0.863018,198.150926,180,101.849074,1.078182,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,451.5,-0.850061,-0.245780,-0.286253,-0.141647,-0.025286,0.075467,-0.768638,0.418845,0.783012,0.006335,0.102005,0.766236,0.901837,196.126283,180,103.873717,1.056853,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,452,-0.871158,-0.134842,-0.213950,0.059692,0.013517,-0.033066,-0.902662,0.191497,0.777099,0.001276,0.049338,0.851469,0.862670,188.798705,180,111.201295,1.077420,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,452.5,-0.869210,-0.079141,-0.206755,-0.000890,0.035445,-0.004855,-0.830714,0.368048,0.761789,0.001280,0.042748,0.825546,0.877339,185.202368,180,114.797632,1.068405,fail,ok,,phase_wrong
