candidate_id,parent_id,refinement_family,intended_reassigned_bin,H_nm,period_x_nm,period_y_nm,L1_nm,W1_nm,theta1_deg,L2_nm,W2_nm,theta2_deg,center_dx_nm,center_dy_nm,gap_or_dx_nm,geometry_valid,validity_flags,edge_margin_nm,aabb_gap_x_nm,aspect_ratio_H_over_minW,rationale
LPML1B2D_B2D_0283_A01,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,431.907786,431.907786,210.000000,150.000000,77.500000,120.000000,100.000000,160.000000,210.000000,0.000000,210.000000,true,,15.005533,40.569076,6.500000,small theta1 pull for B120 phase cleanup
LPML1B2D_B2D_0283_A02,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,431.907786,431.907786,210.000000,150.000000,82.500000,120.000000,100.000000,160.000000,210.000000,0.000000,210.000000,true,,22.890278,48.453821,6.500000,small theta1 push for B120 phase cleanup
LPML1B2D_B2D_0283_A03,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,431.907786,431.907786,210.000000,150.000000,80.000000,120.000000,100.000000,157.500000,210.000000,0.000000,210.000000,true,,18.860253,43.339416,6.500000,small theta2 pull for B120 phase cleanup
LPML1B2D_B2D_0283_A04,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,431.907786,431.907786,210.000000,150.000000,80.000000,120.000000,100.000000,162.500000,210.000000,0.000000,210.000000,true,,18.860253,45.648053,6.500000,small theta2 push for B120 phase cleanup
LPML1B2D_B2D_0283_A05,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,431.907786,431.907786,210.000000,150.000000,80.000000,120.000000,100.000000,160.000000,205.000000,0.000000,205.000000,true,,21.360253,39.423795,6.500000,slightly stronger coupling while preserving projector backbone
LPML1B2D_B2D_0283_A06,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,431.907786,431.907786,210.000000,150.000000,80.000000,120.000000,100.000000,160.000000,215.000000,0.000000,215.000000,true,,16.360253,49.423795,6.500000,slightly weaker coupling while preserving projector backbone
LPML1B2D_B2D_0283_B01,LPML1A4_0283_B240_exploration_B240_H650,phase_tuning_scout,120,650.000000,431.907786,431.907786,205.000000,150.000000,80.000000,120.000000,100.000000,160.000000,210.000000,0.000000,210.000000,true,,19.294373,44.857916,6.500000,local L1 phase perturbation
LPML1B2D_B2D_0283_B02,LPML1A4_0283_B240_exploration_B240_H650,phase_tuning_scout,120,650.000000,431.907786,431.907786,215.000000,150.000000,80.000000,120.000000,100.000000,160.000000,210.000000,0.000000,210.000000,true,,18.426132,43.989675,6.500000,local L1 phase perturbation
LPML1B2D_B2D_0283_B04,LPML1A4_0283_B240_exploration_B240_H650,phase_tuning_scout,120,650.000000,431.907786,431.907786,210.000000,150.000000,80.000000,125.000000,100.000000,160.000000,210.000000,0.000000,210.000000,true,,18.860253,42.074564,6.500000,local L2 phase perturbation
LPML1B2D_B2D_0283_B05,LPML1A4_0283_B240_exploration_B240_H650,phase_tuning_scout,120,650.000000,431.907786,431.907786,210.000000,145.000000,80.000000,120.000000,100.000000,160.000000,210.000000,0.000000,210.000000,true,,21.322272,46.885815,6.500000,local W1 projector/leakage perturbation
LPML1B2D_B2D_0283_B06,LPML1A4_0283_B240_exploration_B240_H650,phase_tuning_scout,120,650.000000,431.907786,431.907786,210.000000,150.000000,80.000000,120.000000,95.000000,160.000000,210.000000,0.000000,210.000000,true,,18.860253,45.278846,6.842105,local W2 projector/leakage perturbation
LPML1B2D_B2D_0283_C01,LPML1A4_0283_B240_exploration_B240_H650,fabrication_friendly_H_check,120,625.000000,431.907786,431.907786,210.000000,150.000000,80.000000,120.000000,100.000000,160.000000,210.000000,0.000000,210.000000,true,,18.860253,44.423795,6.250000,height-only H625 check from strong H650 projector seed
LPML1B2D_B2D_0283_C02,LPML1A4_0283_B240_exploration_B240_H650,fabrication_friendly_H_check,120,600.000000,431.907786,431.907786,210.000000,150.000000,80.000000,120.000000,100.000000,160.000000,210.000000,0.000000,210.000000,true,,18.860253,44.423795,6.000000,height-only H600 check from strong H650 projector seed
LPML1B2D_B2D_0283_C03,LPML1A4_0283_B240_exploration_B240_H650,fabrication_friendly_H_check,120,575.000000,431.907786,431.907786,210.000000,150.000000,80.000000,120.000000,100.000000,160.000000,210.000000,0.000000,210.000000,true,,18.860253,44.423795,5.750000,height-only H575 check from strong H650 projector seed
LPML1B2D_B2D_0283_C04,LPML1A4_0283_B240_exploration_B240_H650,fabrication_friendly_H_check,120,550.000000,431.907786,431.907786,210.000000,150.000000,80.000000,120.000000,100.000000,160.000000,210.000000,0.000000,210.000000,true,,18.860253,44.423795,5.500000,height-only H550 check from strong H650 projector seed
LPML1B2D_B2D_0283_C05,LPML1A4_0283_B240_exploration_B240_H650,fabrication_friendly_H_check,120,500.000000,431.907786,431.907786,210.000000,150.000000,80.000000,120.000000,100.000000,160.000000,210.000000,0.000000,210.000000,true,,18.860253,44.423795,5.000000,height-only H500 experimental convenience check
