group_id,candidate_id,wavelength_nm,polarization,runtime_sec,result_status,fsp_path
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,450,x,24.85621428489685,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_450_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,450,y,23.49567723274231,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_450_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,450.5,x,23.510964393615723,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_450p5_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,450.5,y,21.53208565711975,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_450p5_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,451,x,23.581298828125,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_451_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,451,y,23.54392957687378,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_451_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,451.5,x,23.449963331222534,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_451p5_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,451.5,y,23.5209002494812,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_451p5_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,452,x,21.556246995925903,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_452_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,452,y,21.589468240737915,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_452_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,452.5,x,23.561070680618286,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_452p5_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,452.5,y,23.542397022247314,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_452p5_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,453,x,21.542445421218872,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_453_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,453,y,23.51079297065735,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_453_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,453.5,x,23.573625087738037,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_453p5_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,453.5,y,21.526862382888794,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_453p5_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,454,x,23.457547664642334,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_454_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A01,454,y,23.51763367652893,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A01\LPML1B2D_B2D_0283_A01_454_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,450,x,23.522407293319702,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A02\LPML1B2D_B2D_0283_A02_450_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,450,y,23.517882585525513,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A02\LPML1B2D_B2D_0283_A02_450_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,450.5,x,23.51682424545288,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A02\LPML1B2D_B2D_0283_A02_450p5_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,450.5,y,21.54961061477661,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A02\LPML1B2D_B2D_0283_A02_450p5_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,451,x,23.60023593902588,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A02\LPML1B2D_B2D_0283_A02_451_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,451,y,23.56002712249756,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A02\LPML1B2D_B2D_0283_A02_451_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,451.5,x,23.617048025131226,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A02\LPML1B2D_B2D_0283_A02_451p5_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,451.5,y,23.50581407546997,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A02\LPML1B2D_B2D_0283_A02_451p5_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,452,x,23.54836654663086,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A02\LPML1B2D_B2D_0283_A02_452_x.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,452,y,23.542054891586304,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A02\LPML1B2D_B2D_0283_A02_452_y.fsp
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A02,452.5,x,23.53924560546875,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\fdtd_tmp\LPML1B2D_B2D_0283_A02\LPML1B2D_B2D_0283_A02_452p5_x.fsp
