candidate_id,normalized_coordinate,geometry_hash,physics_origin,model_training_role,x_y_lineage_complete,formal_observable,wavelength_nm,complete_jones
POSTD8_QMAP_WM_DM_P0,"[-1, -1, 0]",091e51ccf02d8c1e80328a0fa1732d64602610efd653998ce8d582deffed604a,HISTORICAL_FORMAL_PHYSICS_RECOVERED,ORIGINAL22_PREBOUND_COORDINATE_SPEC,True,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,450.0,True
POSTD8_QMAP_WM_DP_P0,"[-1, 1, 0]",6f1ac436eb354b91469d96fa494c2d54fe50954d1c4fd7aa348d9adcbda5eca0,HISTORICAL_FORMAL_PHYSICS_RECOVERED,ORIGINAL22_PREBOUND_COORDINATE_SPEC,True,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,450.0,True
POSTD8_QMAP_W0_DM_PM,"[0, -1, -1]",53511746be660503ca6b292b32b7882f81221cd911751a6cbc21b338b579c5a4,HISTORICAL_FORMAL_PHYSICS_RECOVERED,ORIGINAL22_PREBOUND_COORDINATE_SPEC,True,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,450.0,True
POSTD8_QMAP_W0_DM_P0,"[0, -1, 0]",2ed6f566ff5d2febe94438beae64a61054933e54de12284184c3b20879a9f61f,HISTORICAL_FORMAL_PHYSICS_RECOVERED,ORIGINAL22_PREBOUND_COORDINATE_SPEC,True,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,450.0,True
POSTD8_QMAP_W0_DM_PP,"[0, -1, 1]",a809c6aad18c8709c947d36a82a866634d4c213fa9022e15f14cbe8f1fe258ae,HISTORICAL_FORMAL_PHYSICS_RECOVERED,ORIGINAL22_PREBOUND_COORDINATE_SPEC,True,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,450.0,True
POSTD8_QMAP_W0_D0_PP,"[0, 0, 1]",3df71e0da11a74af6291dd34d82767d4749fd24bee96dc010c9ea8cf6b38c5ad,HISTORICAL_FORMAL_PHYSICS_RECOVERED,ORIGINAL22_PREBOUND_COORDINATE_SPEC,True,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,450.0,True
POSTD8_QMAP_W0_DP_PM,"[0, 1, -1]",8e4e78ec73b5f5925c3a335157d15c99a70848295ecb980d22183223709f9afd,HISTORICAL_FORMAL_PHYSICS_RECOVERED,ORIGINAL22_PREBOUND_COORDINATE_SPEC,True,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,450.0,True
POSTD8_QMAP_W0_DP_P0,"[0, 1, 0]",99625727152d9ac10cf538e87a711faf8bf163d133a753ad02c34dbdbaf4debd,HISTORICAL_FORMAL_PHYSICS_RECOVERED,ORIGINAL22_PREBOUND_COORDINATE_SPEC,True,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,450.0,True
POSTD8_QMAP_W0_DP_PP,"[0, 1, 1]",dcdfb8522c217f2423c170d2d10c62149e8bed8ab6f30cfe0644a1a679917776,HISTORICAL_FORMAL_PHYSICS_RECOVERED,ORIGINAL22_PREBOUND_COORDINATE_SPEC,True,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,450.0,True
POSTD8_QMAP_WP_DM_P0,"[1, -1, 0]",cf881276c799f8009f545e3be4c4754d1da32b61ac2fb91d39f751d5ece09118,HISTORICAL_FORMAL_PHYSICS_RECOVERED,ORIGINAL22_PREBOUND_COORDINATE_SPEC,True,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,450.0,True
