candidate_id,source_class,uW,uD,uPsi,phase_deg,Txx,Tyy,cross_power,sigma2_over_sigma1,projection_error,projector_status,geometry_hash
POSTD8_QMAP_WM_DM_PM,ORIGINAL_22_TRAINING_PHYSICS,-1,-1,-1,82.1381247690397,0.980168262891763,0.11122215013661048,5.711550161210668e-17,0.3368568049865566,,,
POSTD8_QMAP_WM_DM_P0,ORIGINAL_22_TRAINING_PHYSICS,-1,-1,0,81.68069726973788,0.9680586766799347,0.11223238707592252,2.332970523858403e-06,0.3404933383076384,,,
POSTD8_QMAP_WM_DM_PP,ORIGINAL_22_TRAINING_PHYSICS,-1,-1,1,82.76966965495666,0.9843915877000079,0.1063902194576574,9.165638887851601e-07,0.3287503015261721,,,
POSTD8_QMAP_WM_DP_PM,ORIGINAL_22_TRAINING_PHYSICS,-1,1,-1,83.38424777551585,0.9744614016205254,0.10191974031923341,5.602175915407904e-17,0.32340507707073896,,,
POSTD8_QMAP_WM_DP_P0,ORIGINAL_22_TRAINING_PHYSICS,-1,1,0,81.2159024857041,0.9791860940494634,0.10841826528934041,3.879730054601884e-06,0.33275140861625313,,,
POSTD8_QMAP_WM_DP_PP,ORIGINAL_22_TRAINING_PHYSICS,-1,1,1,83.0138914553287,0.9793095686569105,0.10637734613370028,3.51647841680727e-07,0.3295826064872004,,,
POSTD8_QMAP_W0_DM_PM,ORIGINAL_22_TRAINING_PHYSICS,0,-1,-1,81.91925226954814,0.973404406000589,0.10556898880494946,2.4598778914130506e-09,0.32932259405195335,,,
POSTD8_QMAP_W0_DM_P0,ORIGINAL_22_TRAINING_PHYSICS,0,-1,0,81.92359873103878,0.9738392124090568,0.10524610768785692,5.995204319760812e-07,0.32874527606735715,,,
POSTD8_QMAP_W0_DM_PP,ORIGINAL_22_TRAINING_PHYSICS,0,-1,1,81.94985732491838,0.9748871613198569,0.10422367509030338,2.7359794798800777e-06,0.32696928045790113,,,
POSTD8_QMAP_W0_D0_P0,ORIGINAL_22_TRAINING_PHYSICS,0,0,0,81.83209368524963,0.9803282054097863,0.10382120479854762,1.537912125331463e-06,0.32542967839033604,,,
POSTD8_QMAP_W0_D0_PP,ORIGINAL_22_TRAINING_PHYSICS,0,0,1,81.90092005051851,0.9801855991271612,0.1027592884842615,3.2382385029119486e-06,0.3237846115666695,,,
POSTD8_QMAP_W0_DP_PM,ORIGINAL_22_TRAINING_PHYSICS,0,1,-1,81.88204070395594,0.981261458577655,0.10277475387726132,1.8206479584845546e-09,0.32363154807574357,,,
POSTD8_QMAP_W0_DP_P0,ORIGINAL_22_TRAINING_PHYSICS,0,1,0,81.90355421820131,0.9806944525960892,0.10245004981623161,4.787948375080402e-07,0.3232131381347062,,,
POSTD8_QMAP_W0_DP_PP,ORIGINAL_22_TRAINING_PHYSICS,0,1,1,81.96163746767638,0.9787300257745143,0.1014411066280385,2.112776473322342e-06,0.3219397542969756,,,
POSTD8_QMAP_WP_DM_PM,ORIGINAL_22_TRAINING_PHYSICS,1,-1,-1,83.3909028383655,0.9768751966102096,0.10157449401387007,4.313892969769509e-07,0.32245731402229666,,,
POSTD8_QMAP_WP_DM_P0,ORIGINAL_22_TRAINING_PHYSICS,1,-1,0,82.55591756316593,0.9833881872071002,0.10001449235477256,1.600147133636765e-06,0.3189098608038132,,,
POSTD8_QMAP_WP_DM_PP,ORIGINAL_22_TRAINING_PHYSICS,1,-1,1,82.9016431841621,0.9823666132265115,0.10669756307081033,3.810005084920579e-17,0.3295645219460173,,,
