candidate_id,exact_hash,canonical_hash,symmetry_hash,manufacturing_pass,no_overlap,primitive_valid,center_grid_pass,wavelength_pass,fixed_geometry_pass,duplicate_pass
PDCB_PHASE_LOCAL_01,cb54b6f48738a946b96aab5a2ea01e5cfae0aff9ae52682cc1c6c9c1f670392f,51effa9c56efeebed6e2d8d38c917fc507a768f8a2a908071080084c9ce72b92,51effa9c56efeebed6e2d8d38c917fc507a768f8a2a908071080084c9ce72b92,True,True,True,True,True,True,True
PDCB_PHASE_LOCAL_02,597724b4ccd1ce918bfb6359381d94d9349cfed9290c3d26e0292efde81ff6e5,d95a212e3c7d822b022ae953184b7787924eafbedad38847ff999506b6ea392c,d95a212e3c7d822b022ae953184b7787924eafbedad38847ff999506b6ea392c,True,True,True,True,True,True,True
PDCB_PHASE_LOCAL_03,a9d757a84feda0d579e0c9bf66d21deeb67739bbe74e712729320c924caa745e,eed990b41066cce7b3129a00515187cb08aecaade6f8153c4ac0254e47b348d4,eed990b41066cce7b3129a00515187cb08aecaade6f8153c4ac0254e47b348d4,True,True,True,True,True,True,True
PDCB_PHASE_LOCAL_04,68accd04aedfe5fa41f53b531de5e11d6e47d1413d590915f031704b024e3042,8e3685f46afac6ead3965e5b50c63a2d5d6f17ff188588bec05fd101aa097ee1,8e3685f46afac6ead3965e5b50c63a2d5d6f17ff188588bec05fd101aa097ee1,True,True,True,True,True,True,True
PDCB_PHASE_LOCAL_05,0041b553b56833df59e9304c2dc984eb5ce0a0a303f3a62e3cd5835081689339,458b548c81f26a78a2971b2bc378739dfcb61da77fa146747efd7e0aa97c1801,458b548c81f26a78a2971b2bc378739dfcb61da77fa146747efd7e0aa97c1801,True,True,True,True,True,True,True
PDCB_PHASE_LOCAL_06,085e6a7b12d7ba9fade9600bf7a6d8f9a4c4362c2a18f7f459ce9af5c40b1ba8,cfd89c1eedf5bfe092da29718f1ea1ae747ae514c39ea0cbf9df8ffedc34e3d7,cfd89c1eedf5bfe092da29718f1ea1ae747ae514c39ea0cbf9df8ffedc34e3d7,True,True,True,True,True,True,True
PDCB_PROJECTOR_LOCAL_07,ae17d1965723022181fc38f83db51304266cfef0f866051a81dd0310327f4cc1,e507daee7302cc297dfbb86687d2a3832715fcf1147143f97c3ad50c660d0b8e,e507daee7302cc297dfbb86687d2a3832715fcf1147143f97c3ad50c660d0b8e,True,True,True,True,True,True,True
PDCB_PROJECTOR_LOCAL_08,074278e998e770abd51f9dc787ca88e5fabc03e5efe33652836e27c8610377d5,e6b05a0d82b35bcedd9950cafb1c53fb642bdfb7ef01332047b4ebf1582a0aa6,e6b05a0d82b35bcedd9950cafb1c53fb642bdfb7ef01332047b4ebf1582a0aa6,True,True,True,True,True,True,True
PDCB_PROJECTOR_LOCAL_09,c8c77432ffd0c14edb11cc9e3bcd6e7748aa5896b4f3eea02e43a90897ac0098,9366d1d5f1673fb5be786799d92f9c973621adef66bc49cf5c969980ea5f8110,9366d1d5f1673fb5be786799d92f9c973621adef66bc49cf5c969980ea5f8110,True,True,True,True,True,True,True
PDCB_PROJECTOR_LOCAL_10,4bbdd7adf5219df8b491befc845544ccbbafeeaaf3b80c2a88cc32d7894c378a,f558c669c6e628086fcc2d06c8c16f0e642dad8616a973f9e715ee5f52056733,f558c669c6e628086fcc2d06c8c16f0e642dad8616a973f9e715ee5f52056733,True,True,True,True,True,True,True
