T,candidate_id,checkpoint_path,checkpoint_sha256,formal_subrun_key,input_polarization,normalization_scale,provenance,source_stage,status,weighted_G0_Ex,weighted_G0_Ey
0.9986302800063328,LP_H500_D5_J2LM06_J1_side_nmM01,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J1_side_nmM01\LP_H500_D5_J2LM06_J1_side_nmM01_x_6a9df770\checkpoint.json,e1d9981d4e45988d324ebf0bb7fb0aa386d6c5d1a2ab55c4756da758ea80a97c,LP_H500_D5_J2LM06_J1_side_nmM01/x,x,1.0457786381898448,ATTEMPT1_ACCEPTED_CHECKPOINT,J2LM06_LOCAL_FULL_DIMER_PLANAR_SIZE_JACOBIAN_V1,ACCEPTED,"{""real"": 0.12004153624870054, ""imag"": 0.9920787819429385}","{""real"": -4.767568857698864e-09, ""imag"": 1.2716478433139053e-09}"
0.22345925104110836,LP_H500_D5_J2LM06_J1_side_nmM01,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J1_side_nmM01\LP_H500_D5_J2LM06_J1_side_nmM01_y_7d5726aa\checkpoint.json,51ec21fbb439390dc2ed926a76edd5694315524c66a4489ee99635035b32c693,LP_H500_D5_J2LM06_J1_side_nmM01/y,y,1.0396142611554753,ATTEMPT1_ACCEPTED_CHECKPOINT,J2LM06_LOCAL_FULL_DIMER_PLANAR_SIZE_JACOBIAN_V1,ACCEPTED,"{""real"": 5.744307442291534e-09, ""imag"": -5.720064328159191e-10}","{""real"": -0.34001303392262366, ""imag"": 0.32840582790785106}"
0.9669215786778919,LP_H500_D5_J2LM06_J1_side_nmP01,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J1_side_nmP01\LP_H500_D5_J2LM06_J1_side_nmP01_x_c75d5578\checkpoint.json,37e7dd5496ff9a1b3c4ddf7907b0eafc41b18292520607576b0bd9069f758ced,LP_H500_D5_J2LM06_J1_side_nmP01/x,x,1.0458634681426524,ATTEMPT1_ACCEPTED_CHECKPOINT,J2LM06_LOCAL_FULL_DIMER_PLANAR_SIZE_JACOBIAN_V1,ACCEPTED,"{""real"": -0.025164174801171214, ""imag"": 0.9829996658109645}","{""real"": -7.667176832373039e-09, ""imag"": -7.762958328334817e-10}"
0.03160786199761789,LP_H500_D5_J2LM06_J1_side_nmP01,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J1_side_nmP01\LP_H500_D5_J2LM06_J1_side_nmP01_y_4462da68\checkpoint.json,f051578d2336c9aeeaee0181615b43b533c09825da9d7d558b0bd3a2852afafe,LP_H500_D5_J2LM06_J1_side_nmP01/y,y,1.0242331220063372,ATTEMPT1_ACCEPTED_CHECKPOINT,J2LM06_LOCAL_FULL_DIMER_PLANAR_SIZE_JACOBIAN_V1,ACCEPTED,"{""real"": -2.5716368002552318e-09, ""imag"": -3.801679282259431e-09}","{""real"": -0.1693844702949837, ""imag"": 0.054007066394182554}"
0.9762952364746945,LP_H500_D5_J2LM06_J2_length_nmM01,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J2_length_nmM01\LP_H500_D5_J2LM06_J2_length_nmM01_x_33c40177\checkpoint.json,73d8eed912e9f38509485bb256f86e280f489e198b65f86cd7b3d1e3f1251d22,LP_H500_D5_J2LM06_J2_length_nmM01/x,x,1.0458650247268653,ATTEMPT1_ACCEPTED_CHECKPOINT,J2LM06_LOCAL_FULL_DIMER_PLANAR_SIZE_JACOBIAN_V1,ACCEPTED,"{""real"": 0.07577141608278322, ""imag"": 0.9851669548759258}","{""real"": 1.086391897402258e-08, ""imag"": 5.048295485298625e-09}"
0.10561233744116527,LP_H500_D5_J2LM06_J2_length_nmM01,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J2_length_nmM01\LP_H500_D5_J2LM06_J2_length_nmM01_y_3555ea71\checkpoint.json,31ebecd9546fab0f435c52afc61d24b591644f52f1313d5d9fa8432e5b02e10a,LP_H500_D5_J2LM06_J2_length_nmM01/y,y,1.0380221776267213,ATTEMPT1_ACCEPTED_CHECKPOINT,J2LM06_LOCAL_FULL_DIMER_PLANAR_SIZE_JACOBIAN_V1,ACCEPTED,"{""real"": 4.487108323378439e-10, ""imag"": -1.5316448026034819e-09}","{""real"": -0.2756207206081654, ""imag"": 0.17217884833103303}"
0.9879500256276927,LP_H500_D5_J2LM06_J2_length_nmP01,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J2_length_nmP01\LP_H500_D5_J2LM06_J2_length_nmP01_x_af52d3c2\checkpoint.json,ed9e2fec53a30291fe1ebdaa4e4cfb1f2f0f7d1db28a369c2996a3971948af57,LP_H500_D5_J2LM06_J2_length_nmP01/x,x,1.0458411286202014,ATTEMPT1_ACCEPTED_CHECKPOINT,J2LM06_LOCAL_FULL_DIMER_PLANAR_SIZE_JACOBIAN_V1,ACCEPTED,"{""real"": 0.030002894369650968, ""imag"": 0.9935038258392045}","{""real"": -1.8281848774146375e-09, ""imag"": -4.668937101310227e-10}"
0.10577375460472545,LP_H500_D5_J2LM06_J2_length_nmP01,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J2_length_nmP01\LP_H500_D5_J2LM06_J2_length_nmP01_y_cc75e418\checkpoint.json,81ffa1f0983446599fab5edde3a0589c681b28bf6b5cb9710798d4ba58c27b3a,LP_H500_D5_J2LM06_J2_length_nmP01/y,y,1.036078112700503,ATTEMPT1_ACCEPTED_CHECKPOINT,J2LM06_LOCAL_FULL_DIMER_PLANAR_SIZE_JACOBIAN_V1,ACCEPTED,"{""real"": 4.59060925430102e-09, ""imag"": -1.9075180076459706e-09}","{""real"": -0.2785666616293647, ""imag"": 0.1678522255836856}"
0.977344426140847,LP_H500_D5_J2LM06_J2_width_nmM01,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J2_width_nmM01\LP_H500_D5_J2LM06_J2_width_nmM01_x_51fc2204\checkpoint.json,8d40a109e4042ba5e1b08f2f3b8264bb2fffd267ace0bc18e01222871ad37eca,LP_H500_D5_J2LM06_J2_width_nmM01/x,x,1.0459137681928594,ATTEMPT1_ACCEPTED_CHECKPOINT,J2LM06_LOCAL_FULL_DIMER_PLANAR_SIZE_JACOBIAN_V1,ACCEPTED,"{""real"": 0.0642384633204839, ""imag"": 0.9865180413814385}","{""real"": -9.882451832688507e-10, ""imag"": -2.1632985689653056e-09}"
0.11211156457823387,LP_H500_D5_J2LM06_J2_width_nmM01,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J2_width_nmM01\LP_H500_D5_J2LM06_J2_width_nmM01_y_8f6f5831\checkpoint.json,79ff01685b715022f50d015aa799b1e00c12f3c8ab3e695a91a462fbc0045b78,LP_H500_D5_J2LM06_J2_width_nmM01/y,y,1.0377295303449892,ATTEMPT1_ACCEPTED_CHECKPOINT,J2LM06_LOCAL_FULL_DIMER_PLANAR_SIZE_JACOBIAN_V1,ACCEPTED,"{""real"": -1.127770481479097e-09, ""imag"": -3.071287718536219e-09}","{""real"": -0.2791584076033856, ""imag"": 0.18488414762379132}"
