candidate_id,category,split,geometry_hash_sha256
LPML_R1_BOUNDARY_FAILURE_225,BOUNDARY_FAILURE,validation,6576c3943bc2e4f4d2cc6a2066a4137dc5d0df6c33d7c13ebc2ca4338b4f5713
LPML_R1_BOUNDARY_FAILURE_226,BOUNDARY_FAILURE,train,b5b20f15f6a74b38854e2d73a42cd4061159d215cc1d90b460d814d45c6bd65c
LPML_R1_BOUNDARY_FAILURE_227,BOUNDARY_FAILURE,train,b44e2e0ff81a21c3bedf75e31989430a2c54b084a6df4e0c4b6c058ac638efec
LPML_R1_BOUNDARY_FAILURE_228,BOUNDARY_FAILURE,train,3ab23bc3ce14330341c21356d86bd124aed34faf0de012e6639dbaa17febfa06
LPML_R1_BOUNDARY_FAILURE_229,BOUNDARY_FAILURE,train,daaa21cb0e16fce064dfe85997269e30a715612bb14a556ae0bc3b633f1648f2
LPML_R1_BOUNDARY_FAILURE_230,BOUNDARY_FAILURE,train,b0bf5fa6a2c1ad3346a7f41506acaae8277abfcbc56ae5d6c74402af116b7afc
LPML_R1_BOUNDARY_FAILURE_231,BOUNDARY_FAILURE,train,d263ebedbe52165267db3dd64cac3a4818d7f11dfd42932175eb056037083849
LPML_R1_BOUNDARY_FAILURE_232,BOUNDARY_FAILURE,train,ef8d1b709b73e3bed6c8be5e3c73e720db80164b2a830819e7222c994ff18868
LPML_R1_BOUNDARY_FAILURE_233,BOUNDARY_FAILURE,test,01dfa5b2f84df17d0b0e78ec729d03e58a73016f2e96ab1e77ddaabcf8e18694
LPML_R1_BOUNDARY_FAILURE_234,BOUNDARY_FAILURE,train,0951915e2a8a5bcd2014cd2461166ac6128f8d6a143719b628cf3b20d3eb7c1b
LPML_R1_BOUNDARY_FAILURE_235,BOUNDARY_FAILURE,validation,b54569a65efabdab1b75766e1fcc86c53b56301fd0817232509195276121dd33
LPML_R1_BOUNDARY_FAILURE_236,BOUNDARY_FAILURE,test,f0d39119f08f51014f495d303b9b34de8fdb2c74f0bfcf00bcf51b86574c2b4d
