candidate_id,target_phase_deg,predicted_phase_deg,beyond_support_distance_deg,classification,txx_prediction_fields,c0_c1_c5_disagreement,physics_claim,source_row
LPML_INV_B1_GRA_8024c3d4f4a9,62.0,,0.053626948833056076,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_8024c3d4f4a9
LPML_INV_B1_GRA_67c8ac15f947,63.0,,0,TARGET_PHASE_NEAR_SUPPORT_EDGE_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_67c8ac15f947
LPML_INV_B0_GRA_25833c0adf80,55.0,,7.053626948833056,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B0_GRA_25833c0adf80
LPML_INV_B1_GRA_7e4aba91db0d,62.0,,0.053626948833056076,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_7e4aba91db0d
LPML_INV_B1_GRA_7f68cfa20169,63.0,,0,TARGET_PHASE_NEAR_SUPPORT_EDGE_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_7f68cfa20169
LPML_INV_B1_GRA_a9f137714054,62.0,,0.053626948833056076,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_a9f137714054
LPML_INV_B1_GRA_0953f205f538,63.0,,0,TARGET_PHASE_NEAR_SUPPORT_EDGE_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_0953f205f538
LPML_INV_B1_GRA_31c73c461d0b,62.0,,0.053626948833056076,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_31c73c461d0b
LPML_INV_B1_GRA_38dc2b66e01b,60.0,,2.053626948833056,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_38dc2b66e01b
LPML_INV_B1_GRA_fed9329d9633,63.0,,0,TARGET_PHASE_NEAR_SUPPORT_EDGE_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_fed9329d9633
