planned_candidate_id,role,nearest_physics_candidate_id,normalized_distance_to_nearest_physics,boundary_coordinate_count,expected_phase_direction,information_gain_basis,surrogate_status
LP_5D_PHASE_REACHABILITY_V2_01,LOW_PHASE_EXTREME,LPML_R1_PHASE_REGION_154,0.2499970710897654,3,LOWER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_02,LOW_PHASE_EXTREME,LPML_R1_PHASE_REGION_191,0.0,2,LOWER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_03,LOW_PHASE_EXTREME,LPML_R3_001,0.018917534248371032,2,LOWER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_04,LOW_PHASE_EXTREME,LPML_R1_GLOBAL_SOBOL_081,0.12499870108798924,2,LOWER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_05,LOW_PHASE_EXTREME,LPML_R1_GLOBAL_SOBOL_081,0.27950791629877764,3,LOWER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_06,LOW_PHASE_EXTREME,LPML_R1_PHASE_REGION_155,0.25,2,LOWER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_07,HIGH_PHASE_EXTREME,LPML_R1_GLOBAL_SOBOL_062,0.35355215446032395,1,HIGHER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_08,HIGH_PHASE_EXTREME,LPML_R1_GLOBAL_SOBOL_099,0.30473096497103014,0,HIGHER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_09,HIGH_PHASE_EXTREME,LPML_R3_036,0.35369593423211093,0,HIGHER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_10,HIGH_PHASE_EXTREME,LPML_R3_036,0.2502015465426338,0,HIGHER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_11,HIGH_PHASE_EXTREME,LPML_R3_036,0.35369593423211093,1,HIGHER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_12,HIGH_PHASE_EXTREME,LPML_R1_GLOBAL_SOBOL_124,0.49999912592277274,2,HIGHER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
