order,candidate_id,role,wavelength_nm,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,J1_center_x_nm,J1_center_y_nm,J2_center_x_nm,J2_center_y_nm,direct_gap_nm,periodic_gap_nm,exact_geometry_hash_sha256,canonical_relative_geometry_hash_sha256,symmetry_equivalence_geometry_hash_sha256,geometry,checks,status,physics_status,phase_label,full_jones_label
1,LP_5D_PHASE_REACHABILITY_V2_01,LOW_PHASE_EXTREME,450.0,108,106,98,201.02238681301145,0.8550973962667232,-100.5,-1.5,100.5,1.5,93.02238681301145,123.0,5f34817ae0c4ff550b6ab7e3a1ba39454bf2e83832e334841f26d7547e0ee6d2,c57aeac74aacd9f92106f898166e61ec2fc1d1a2164cd3704a56a6e5f61ab509,a6041f721b3234ae3b442f8c6c96841f04cfa0a7bcbcfaec92daba9e7f75380d,"{'J1_shape': 'sharp_rectangle', 'J1_side_nm': 108.0, 'J2_shape': 'sharp_rectangle', 'J2_length_nm': 106.0, 'J2_width_nm': 98.0, 'J1_center_x_nm': -100.5, 'J1_center_y_nm': -1.5, 'J2_center_x_nm': 100.5, 'J2_center_y_nm': 1.5, 'J1_rotation_deg': 0.0, 'J2_rotation_deg': 0.0, 'H_nm': 500.0, 'period_x_nm': 432.0, 'period_y_nm': 432.0, 'material': 'APCD_TIO2_NATIVE_M1', 'background': 'air', 'source': 'normal_incidence_plane_wave', 'reference_plane': 'field_monitor_z_1000_nm', 'field_monitor_z_nm': 1000.0, 'mesh': 'frozen_mesh_contract', 'boundaries': 'x/y_periodic_z_PML', 'observable': 'coordinate_weighted_full_period_G0', 'endpoint_handling': 'duplicate_endpoint_remove_then_periodic_reclosure', 'normalization': 'sqrt(T)/norm(weighted_Ex,weighted_Ey)', 'jones_convention': '[[txx,txy],[tyx,tyy]]'}","{'exact_order': True, 'within_bounds': True, 'center_quantized': True, 'gap_legal': True, 'cell_containment': True, 'no_overlap': True, 'canonical_duplicate_free': True, 'unique_in_probe': True, 'r1_quarantine_free': True, 'not_d9': True}",FROZEN_FOR_EXECUTION,ABSENT_NOT_SIMULATED,PHASE_ONLY_REACHABILITY_PHYSICS_AFTER_ACCEPTANCE,FULL_JONES_REACHABILITY_PHYSICS_AFTER_XY_ACCEPTANCE
2,LP_5D_PHASE_REACHABILITY_V2_02,LOW_PHASE_EXTREME,450.0,108,106,99,201.02238681301145,0.8550973962667232,-100.5,-1.5,100.5,1.5,93.02238681301145,123.0,a9b25489818435d9b0ac15f667a789c13e4613cebe5be5fda694003a6f2cc601,b2e4bad591352c166e2e66001b18370a3b2479c9f951f872bb1d2d7aff0d64a5,d9519aa8854e32a2e8b5daa8a74e3f259f18314c5b0e73427090b5cf8261511c,"{'J1_shape': 'sharp_rectangle', 'J1_side_nm': 108.0, 'J2_shape': 'sharp_rectangle', 'J2_length_nm': 106.0, 'J2_width_nm': 99.0, 'J1_center_x_nm': -100.5, 'J1_center_y_nm': -1.5, 'J2_center_x_nm': 100.5, 'J2_center_y_nm': 1.5, 'J1_rotation_deg': 0.0, 'J2_rotation_deg': 0.0, 'H_nm': 500.0, 'period_x_nm': 432.0, 'period_y_nm': 432.0, 'material': 'APCD_TIO2_NATIVE_M1', 'background': 'air', 'source': 'normal_incidence_plane_wave', 'reference_plane': 'field_monitor_z_1000_nm', 'field_monitor_z_nm': 1000.0, 'mesh': 'frozen_mesh_contract', 'boundaries': 'x/y_periodic_z_PML', 'observable': 'coordinate_weighted_full_period_G0', 'endpoint_handling': 'duplicate_endpoint_remove_then_periodic_reclosure', 'normalization': 'sqrt(T)/norm(weighted_Ex,weighted_Ey)', 'jones_convention': '[[txx,txy],[tyx,tyy]]'}","{'exact_order': True, 'within_bounds': True, 'center_quantized': True, 'gap_legal': True, 'cell_containment': True, 'no_overlap': True, 'canonical_duplicate_free': True, 'unique_in_probe': True, 'r1_quarantine_free': True, 'not_d9': True}",FROZEN_FOR_EXECUTION,ABSENT_NOT_SIMULATED,PHASE_ONLY_REACHABILITY_PHYSICS_AFTER_ACCEPTANCE,FULL_JONES_REACHABILITY_PHYSICS_AFTER_XY_ACCEPTANCE
3,LP_5D_PHASE_REACHABILITY_V2_03,LOW_PHASE_EXTREME,450.0,108,106,100,201.02238681301145,0.8550973962667232,-100.5,-1.5,100.5,1.5,93.02238681301145,123.0,fc349a4939e99b36168d3f9efadf8e82675f034160adc3ae74b8f0f1fe13bbee,b94aebc35f2e8bc7ad6eae7a8e9146fb8e0fa62dc3bdb01977f4f7424ab89642,3762a74635ac17a56fcea6d2422b2f6991bea50760811dd3d675b758fc6b06d0,"{'J1_shape': 'sharp_rectangle', 'J1_side_nm': 108.0, 'J2_shape': 'sharp_rectangle', 'J2_length_nm': 106.0, 'J2_width_nm': 100.0, 'J1_center_x_nm': -100.5, 'J1_center_y_nm': -1.5, 'J2_center_x_nm': 100.5, 'J2_center_y_nm': 1.5, 'J1_rotation_deg': 0.0, 'J2_rotation_deg': 0.0, 'H_nm': 500.0, 'period_x_nm': 432.0, 'period_y_nm': 432.0, 'material': 'APCD_TIO2_NATIVE_M1', 'background': 'air', 'source': 'normal_incidence_plane_wave', 'reference_plane': 'field_monitor_z_1000_nm', 'field_monitor_z_nm': 1000.0, 'mesh': 'frozen_mesh_contract', 'boundaries': 'x/y_periodic_z_PML', 'observable': 'coordinate_weighted_full_period_G0', 'endpoint_handling': 'duplicate_endpoint_remove_then_periodic_reclosure', 'normalization': 'sqrt(T)/norm(weighted_Ex,weighted_Ey)', 'jones_convention': '[[txx,txy],[tyx,tyy]]'}","{'exact_order': True, 'within_bounds': True, 'center_quantized': True, 'gap_legal': True, 'cell_containment': True, 'no_overlap': True, 'canonical_duplicate_free': True, 'unique_in_probe': True, 'r1_quarantine_free': True, 'not_d9': True}",FROZEN_FOR_EXECUTION,ABSENT_NOT_SIMULATED,PHASE_ONLY_REACHABILITY_PHYSICS_AFTER_ACCEPTANCE,FULL_JONES_REACHABILITY_PHYSICS_AFTER_XY_ACCEPTANCE
4,LP_5D_PHASE_REACHABILITY_V2_04,LOW_PHASE_EXTREME,450.0,108,106,101,201.02238681301145,0.8550973962667232,-100.5,-1.5,100.5,1.5,93.02238681301145,123.0,05204f73e71e611ccdd5baf49209e11c65397ca6c86c93c6a146d8dafa3dabec,c116a112109c3a7be20771b7ecbc1a981e13fe8a80852bdd3612173610b68b05,cbdf03f6abeb94e154e8043591056fb292b07506abfce2beaca76d849e6afb65,"{'J1_shape': 'sharp_rectangle', 'J1_side_nm': 108.0, 'J2_shape': 'sharp_rectangle', 'J2_length_nm': 106.0, 'J2_width_nm': 101.0, 'J1_center_x_nm': -100.5, 'J1_center_y_nm': -1.5, 'J2_center_x_nm': 100.5, 'J2_center_y_nm': 1.5, 'J1_rotation_deg': 0.0, 'J2_rotation_deg': 0.0, 'H_nm': 500.0, 'period_x_nm': 432.0, 'period_y_nm': 432.0, 'material': 'APCD_TIO2_NATIVE_M1', 'background': 'air', 'source': 'normal_incidence_plane_wave', 'reference_plane': 'field_monitor_z_1000_nm', 'field_monitor_z_nm': 1000.0, 'mesh': 'frozen_mesh_contract', 'boundaries': 'x/y_periodic_z_PML', 'observable': 'coordinate_weighted_full_period_G0', 'endpoint_handling': 'duplicate_endpoint_remove_then_periodic_reclosure', 'normalization': 'sqrt(T)/norm(weighted_Ex,weighted_Ey)', 'jones_convention': '[[txx,txy],[tyx,tyy]]'}","{'exact_order': True, 'within_bounds': True, 'center_quantized': True, 'gap_legal': True, 'cell_containment': True, 'no_overlap': True, 'canonical_duplicate_free': True, 'unique_in_probe': True, 'r1_quarantine_free': True, 'not_d9': True}",FROZEN_FOR_EXECUTION,ABSENT_NOT_SIMULATED,PHASE_ONLY_REACHABILITY_PHYSICS_AFTER_ACCEPTANCE,FULL_JONES_REACHABILITY_PHYSICS_AFTER_XY_ACCEPTANCE
5,LP_5D_PHASE_REACHABILITY_V2_05,LOW_PHASE_EXTREME,450.0,108,106,102,201.02238681301145,0.8550973962667232,-100.5,-1.5,100.5,1.5,93.02238681301145,123.0,c0dc3d210b72912f4288998dc76ccbec6fb253d4a9f7446c909bd084128f1cb9,807150e27752ebb23170623809f07ea833c705540b4639c8397541e4d4d0c5d8,44d00359ee34814a344b6d9f3c64c6d3479d2d21878f3a4f2572bcbe93f0df76,"{'J1_shape': 'sharp_rectangle', 'J1_side_nm': 108.0, 'J2_shape': 'sharp_rectangle', 'J2_length_nm': 106.0, 'J2_width_nm': 102.0, 'J1_center_x_nm': -100.5, 'J1_center_y_nm': -1.5, 'J2_center_x_nm': 100.5, 'J2_center_y_nm': 1.5, 'J1_rotation_deg': 0.0, 'J2_rotation_deg': 0.0, 'H_nm': 500.0, 'period_x_nm': 432.0, 'period_y_nm': 432.0, 'material': 'APCD_TIO2_NATIVE_M1', 'background': 'air', 'source': 'normal_incidence_plane_wave', 'reference_plane': 'field_monitor_z_1000_nm', 'field_monitor_z_nm': 1000.0, 'mesh': 'frozen_mesh_contract', 'boundaries': 'x/y_periodic_z_PML', 'observable': 'coordinate_weighted_full_period_G0', 'endpoint_handling': 'duplicate_endpoint_remove_then_periodic_reclosure', 'normalization': 'sqrt(T)/norm(weighted_Ex,weighted_Ey)', 'jones_convention': '[[txx,txy],[tyx,tyy]]'}","{'exact_order': True, 'within_bounds': True, 'center_quantized': True, 'gap_legal': True, 'cell_containment': True, 'no_overlap': True, 'canonical_duplicate_free': True, 'unique_in_probe': True, 'r1_quarantine_free': True, 'not_d9': True}",FROZEN_FOR_EXECUTION,ABSENT_NOT_SIMULATED,PHASE_ONLY_REACHABILITY_PHYSICS_AFTER_ACCEPTANCE,FULL_JONES_REACHABILITY_PHYSICS_AFTER_XY_ACCEPTANCE
6,LP_5D_PHASE_REACHABILITY_V2_06,LOW_PHASE_EXTREME,450.0,108,107,98,201.02238681301145,0.8550973962667232,-100.5,-1.5,100.5,1.5,93.02238681301145,123.0,a80f00845e54991d5f8adf39a0c206dd9c557449af20a93a9c51312ca48a10d3,c2c22fa946145a543b82321abadffdabba6cb2198c9ff658eba568a471a6e561,c430e1708e9f9f6e00db43e9fce3e245924596adba54b46f3af7a48b30d0ae53,"{'J1_shape': 'sharp_rectangle', 'J1_side_nm': 108.0, 'J2_shape': 'sharp_rectangle', 'J2_length_nm': 107.0, 'J2_width_nm': 98.0, 'J1_center_x_nm': -100.5, 'J1_center_y_nm': -1.5, 'J2_center_x_nm': 100.5, 'J2_center_y_nm': 1.5, 'J1_rotation_deg': 0.0, 'J2_rotation_deg': 0.0, 'H_nm': 500.0, 'period_x_nm': 432.0, 'period_y_nm': 432.0, 'material': 'APCD_TIO2_NATIVE_M1', 'background': 'air', 'source': 'normal_incidence_plane_wave', 'reference_plane': 'field_monitor_z_1000_nm', 'field_monitor_z_nm': 1000.0, 'mesh': 'frozen_mesh_contract', 'boundaries': 'x/y_periodic_z_PML', 'observable': 'coordinate_weighted_full_period_G0', 'endpoint_handling': 'duplicate_endpoint_remove_then_periodic_reclosure', 'normalization': 'sqrt(T)/norm(weighted_Ex,weighted_Ey)', 'jones_convention': '[[txx,txy],[tyx,tyy]]'}","{'exact_order': True, 'within_bounds': True, 'center_quantized': True, 'gap_legal': True, 'cell_containment': True, 'no_overlap': True, 'canonical_duplicate_free': True, 'unique_in_probe': True, 'r1_quarantine_free': True, 'not_d9': True}",FROZEN_FOR_EXECUTION,ABSENT_NOT_SIMULATED,PHASE_ONLY_REACHABILITY_PHYSICS_AFTER_ACCEPTANCE,FULL_JONES_REACHABILITY_PHYSICS_AFTER_XY_ACCEPTANCE
7,LP_5D_PHASE_REACHABILITY_V2_07,HIGH_PHASE_EXTREME,450.0,111,109,98,196.02295783912655,-0.8769077414306453,-98.0,1.5,98.0,-1.5,85.02295783912655,125.0,4b4306583250956d3a51f1ecd5204a38d926251ba2290af8d977f60e7d77652a,749b691be94739a8a355324600ddd18b2f3c00b5eeb642929d5d6beb1064172b,22a55ec7bf8f9178084e85302d6dd1bfa3a8d57b4bf6579551d9f043f725596f,"{'J1_shape': 'sharp_rectangle', 'J1_side_nm': 111.0, 'J2_shape': 'sharp_rectangle', 'J2_length_nm': 109.0, 'J2_width_nm': 98.0, 'J1_center_x_nm': -98.0, 'J1_center_y_nm': 1.5, 'J2_center_x_nm': 98.0, 'J2_center_y_nm': -1.5, 'J1_rotation_deg': 0.0, 'J2_rotation_deg': 0.0, 'H_nm': 500.0, 'period_x_nm': 432.0, 'period_y_nm': 432.0, 'material': 'APCD_TIO2_NATIVE_M1', 'background': 'air', 'source': 'normal_incidence_plane_wave', 'reference_plane': 'field_monitor_z_1000_nm', 'field_monitor_z_nm': 1000.0, 'mesh': 'frozen_mesh_contract', 'boundaries': 'x/y_periodic_z_PML', 'observable': 'coordinate_weighted_full_period_G0', 'endpoint_handling': 'duplicate_endpoint_remove_then_periodic_reclosure', 'normalization': 'sqrt(T)/norm(weighted_Ex,weighted_Ey)', 'jones_convention': '[[txx,txy],[tyx,tyy]]'}","{'exact_order': True, 'within_bounds': True, 'center_quantized': True, 'gap_legal': True, 'cell_containment': True, 'no_overlap': True, 'canonical_duplicate_free': True, 'unique_in_probe': True, 'r1_quarantine_free': True, 'not_d9': True}",FROZEN_FOR_EXECUTION,ABSENT_NOT_SIMULATED,PHASE_ONLY_REACHABILITY_PHYSICS_AFTER_ACCEPTANCE,FULL_JONES_REACHABILITY_PHYSICS_AFTER_XY_ACCEPTANCE
8,LP_5D_PHASE_REACHABILITY_V2_08,HIGH_PHASE_EXTREME,450.0,111,109,99,196.02295783912655,-0.8769077414306453,-98.0,1.5,98.0,-1.5,85.02295783912655,125.0,a2531922c89b2fdb84b57c5e726a37e9438d80801b718bf82d96947daedc69c0,5fc441d96a3bb9e7e72fd1c45d0284a60fa258aeeb9c3e9dd518428c362a6a14,05e15146a9acd68add3dc99dcf112c50dbeedd0f719e8860c0510a170da9da86,"{'J1_shape': 'sharp_rectangle', 'J1_side_nm': 111.0, 'J2_shape': 'sharp_rectangle', 'J2_length_nm': 109.0, 'J2_width_nm': 99.0, 'J1_center_x_nm': -98.0, 'J1_center_y_nm': 1.5, 'J2_center_x_nm': 98.0, 'J2_center_y_nm': -1.5, 'J1_rotation_deg': 0.0, 'J2_rotation_deg': 0.0, 'H_nm': 500.0, 'period_x_nm': 432.0, 'period_y_nm': 432.0, 'material': 'APCD_TIO2_NATIVE_M1', 'background': 'air', 'source': 'normal_incidence_plane_wave', 'reference_plane': 'field_monitor_z_1000_nm', 'field_monitor_z_nm': 1000.0, 'mesh': 'frozen_mesh_contract', 'boundaries': 'x/y_periodic_z_PML', 'observable': 'coordinate_weighted_full_period_G0', 'endpoint_handling': 'duplicate_endpoint_remove_then_periodic_reclosure', 'normalization': 'sqrt(T)/norm(weighted_Ex,weighted_Ey)', 'jones_convention': '[[txx,txy],[tyx,tyy]]'}","{'exact_order': True, 'within_bounds': True, 'center_quantized': True, 'gap_legal': True, 'cell_containment': True, 'no_overlap': True, 'canonical_duplicate_free': True, 'unique_in_probe': True, 'r1_quarantine_free': True, 'not_d9': True}",FROZEN_FOR_EXECUTION,ABSENT_NOT_SIMULATED,PHASE_ONLY_REACHABILITY_PHYSICS_AFTER_ACCEPTANCE,FULL_JONES_REACHABILITY_PHYSICS_AFTER_XY_ACCEPTANCE
9,LP_5D_PHASE_REACHABILITY_V2_09,HIGH_PHASE_EXTREME,450.0,111,109,100,196.02295783912655,-0.8769077414306453,-98.0,1.5,98.0,-1.5,85.02295783912655,125.0,3a3a40a2ea9dae0282af120f978539a3d30cab31757fa3f1a575dba4d485d3f7,619d50fdca8845ad05788060968a2f71ffa2beec09813f5cf8358d5a75201511,b80366386ddc6ed390f18d2a6f05ef4519f362fe1313b872ad5c8c67b95299e8,"{'J1_shape': 'sharp_rectangle', 'J1_side_nm': 111.0, 'J2_shape': 'sharp_rectangle', 'J2_length_nm': 109.0, 'J2_width_nm': 100.0, 'J1_center_x_nm': -98.0, 'J1_center_y_nm': 1.5, 'J2_center_x_nm': 98.0, 'J2_center_y_nm': -1.5, 'J1_rotation_deg': 0.0, 'J2_rotation_deg': 0.0, 'H_nm': 500.0, 'period_x_nm': 432.0, 'period_y_nm': 432.0, 'material': 'APCD_TIO2_NATIVE_M1', 'background': 'air', 'source': 'normal_incidence_plane_wave', 'reference_plane': 'field_monitor_z_1000_nm', 'field_monitor_z_nm': 1000.0, 'mesh': 'frozen_mesh_contract', 'boundaries': 'x/y_periodic_z_PML', 'observable': 'coordinate_weighted_full_period_G0', 'endpoint_handling': 'duplicate_endpoint_remove_then_periodic_reclosure', 'normalization': 'sqrt(T)/norm(weighted_Ex,weighted_Ey)', 'jones_convention': '[[txx,txy],[tyx,tyy]]'}","{'exact_order': True, 'within_bounds': True, 'center_quantized': True, 'gap_legal': True, 'cell_containment': True, 'no_overlap': True, 'canonical_duplicate_free': True, 'unique_in_probe': True, 'r1_quarantine_free': True, 'not_d9': True}",FROZEN_FOR_EXECUTION,ABSENT_NOT_SIMULATED,PHASE_ONLY_REACHABILITY_PHYSICS_AFTER_ACCEPTANCE,FULL_JONES_REACHABILITY_PHYSICS_AFTER_XY_ACCEPTANCE
10,LP_5D_PHASE_REACHABILITY_V2_10,HIGH_PHASE_EXTREME,450.0,111,109,101,196.02295783912655,-0.8769077414306453,-98.0,1.5,98.0,-1.5,85.02295783912655,125.0,e1769ae862a5b822aff877c0b362875de1f1395a3e95086d4ae2fbc25d54e18c,c82b17c253f7e0d92ce108012b13333808153c03456cef2063e4ef03cad91224,c404f7420f3d3a7778829dc74365e35b2892955f8e98337e802893fa5b2d0029,"{'J1_shape': 'sharp_rectangle', 'J1_side_nm': 111.0, 'J2_shape': 'sharp_rectangle', 'J2_length_nm': 109.0, 'J2_width_nm': 101.0, 'J1_center_x_nm': -98.0, 'J1_center_y_nm': 1.5, 'J2_center_x_nm': 98.0, 'J2_center_y_nm': -1.5, 'J1_rotation_deg': 0.0, 'J2_rotation_deg': 0.0, 'H_nm': 500.0, 'period_x_nm': 432.0, 'period_y_nm': 432.0, 'material': 'APCD_TIO2_NATIVE_M1', 'background': 'air', 'source': 'normal_incidence_plane_wave', 'reference_plane': 'field_monitor_z_1000_nm', 'field_monitor_z_nm': 1000.0, 'mesh': 'frozen_mesh_contract', 'boundaries': 'x/y_periodic_z_PML', 'observable': 'coordinate_weighted_full_period_G0', 'endpoint_handling': 'duplicate_endpoint_remove_then_periodic_reclosure', 'normalization': 'sqrt(T)/norm(weighted_Ex,weighted_Ey)', 'jones_convention': '[[txx,txy],[tyx,tyy]]'}","{'exact_order': True, 'within_bounds': True, 'center_quantized': True, 'gap_legal': True, 'cell_containment': True, 'no_overlap': True, 'canonical_duplicate_free': True, 'unique_in_probe': True, 'r1_quarantine_free': True, 'not_d9': True}",FROZEN_FOR_EXECUTION,ABSENT_NOT_SIMULATED,PHASE_ONLY_REACHABILITY_PHYSICS_AFTER_ACCEPTANCE,FULL_JONES_REACHABILITY_PHYSICS_AFTER_XY_ACCEPTANCE
