planned_candidate_id,role,expected_phase_direction,nearest_physics_candidate_id,normalized_distance_to_nearest_physics,boundary_coordinates,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,center_x_abs_nm,center_y_nm,direct_gap_nm,periodic_gap_nm,center_grid_pass,quantization_pass,cell_containment_pass,no_overlap,primitive_valid,manufacturing_pass,formal_duplicate_pass,canonical_duplicate_pass,symmetry_duplicate_pass,r1_quarantine_hash_match,candidate_hash_status,wavelength_nm,status,physics_fields,prediction_label,solver_authorized,surrogate_prediction_status,information_gain_note
LP_5D_PHASE_REACHABILITY_V2_01,LOW_PHASE_EXTREME,LOWER,LPML_R1_PHASE_REGION_154,0.2499970710897654,"{'J1_side_nm': True, 'J2_length_nm': True, 'J2_width_nm': True, 'D_nm': False, 'Psi_deg': False}",108,106,98,201.02238681301145,0.8550973962667232,100.5,1.5,93.02238681301145,123.0,True,True,True,True,True,True,True,True,True,False,NOT_BUILT_OFFLINE_ONLY,450.0,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,False,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING,hypothesis/coverage diagnostic only; no surrogate treated as physics
LP_5D_PHASE_REACHABILITY_V2_02,LOW_PHASE_EXTREME,LOWER,LPML_R1_PHASE_REGION_191,0.0,"{'J1_side_nm': True, 'J2_length_nm': True, 'J2_width_nm': False, 'D_nm': False, 'Psi_deg': False}",108,106,99,201.02238681301145,0.8550973962667232,100.5,1.5,93.02238681301145,123.0,True,True,True,True,True,True,True,True,True,False,NOT_BUILT_OFFLINE_ONLY,450.0,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,False,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING,hypothesis/coverage diagnostic only; no surrogate treated as physics
LP_5D_PHASE_REACHABILITY_V2_03,LOW_PHASE_EXTREME,LOWER,LPML_R3_001,0.018917534248371032,"{'J1_side_nm': True, 'J2_length_nm': True, 'J2_width_nm': False, 'D_nm': False, 'Psi_deg': False}",108,106,100,201.02238681301145,0.8550973962667232,100.5,1.5,93.02238681301145,123.0,True,True,True,True,True,True,True,True,True,False,NOT_BUILT_OFFLINE_ONLY,450.0,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,False,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING,hypothesis/coverage diagnostic only; no surrogate treated as physics
LP_5D_PHASE_REACHABILITY_V2_04,LOW_PHASE_EXTREME,LOWER,LPML_R1_GLOBAL_SOBOL_081,0.12499870108798924,"{'J1_side_nm': True, 'J2_length_nm': True, 'J2_width_nm': False, 'D_nm': False, 'Psi_deg': False}",108,106,101,201.02238681301145,0.8550973962667232,100.5,1.5,93.02238681301145,123.0,True,True,True,True,True,True,True,True,True,False,NOT_BUILT_OFFLINE_ONLY,450.0,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,False,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING,hypothesis/coverage diagnostic only; no surrogate treated as physics
LP_5D_PHASE_REACHABILITY_V2_05,LOW_PHASE_EXTREME,LOWER,LPML_R1_GLOBAL_SOBOL_081,0.27950791629877764,"{'J1_side_nm': True, 'J2_length_nm': True, 'J2_width_nm': True, 'D_nm': False, 'Psi_deg': False}",108,106,102,201.02238681301145,0.8550973962667232,100.5,1.5,93.02238681301145,123.0,True,True,True,True,True,True,True,True,True,False,NOT_BUILT_OFFLINE_ONLY,450.0,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,False,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING,hypothesis/coverage diagnostic only; no surrogate treated as physics
LP_5D_PHASE_REACHABILITY_V2_06,LOW_PHASE_EXTREME,LOWER,LPML_R1_PHASE_REGION_155,0.25,"{'J1_side_nm': True, 'J2_length_nm': False, 'J2_width_nm': True, 'D_nm': False, 'Psi_deg': False}",108,107,98,201.02238681301145,0.8550973962667232,100.5,1.5,93.02238681301145,123.0,True,True,True,True,True,True,True,True,True,False,NOT_BUILT_OFFLINE_ONLY,450.0,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,False,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING,hypothesis/coverage diagnostic only; no surrogate treated as physics
LP_5D_PHASE_REACHABILITY_V2_07,HIGH_PHASE_EXTREME,HIGHER,LPML_R1_GLOBAL_SOBOL_062,0.35355215446032395,"{'J1_side_nm': False, 'J2_length_nm': False, 'J2_width_nm': True, 'D_nm': False, 'Psi_deg': False}",111,109,98,196.02295783912655,-0.8769077414306453,98.0,-1.5,85.02295783912655,125.0,True,True,True,True,True,True,True,True,True,False,NOT_BUILT_OFFLINE_ONLY,450.0,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,False,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING,hypothesis/coverage diagnostic only; no surrogate treated as physics
LP_5D_PHASE_REACHABILITY_V2_08,HIGH_PHASE_EXTREME,HIGHER,LPML_R1_GLOBAL_SOBOL_099,0.30473096497103014,"{'J1_side_nm': False, 'J2_length_nm': False, 'J2_width_nm': False, 'D_nm': False, 'Psi_deg': False}",111,109,99,196.02295783912655,-0.8769077414306453,98.0,-1.5,85.02295783912655,125.0,True,True,True,True,True,True,True,True,True,False,NOT_BUILT_OFFLINE_ONLY,450.0,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,False,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING,hypothesis/coverage diagnostic only; no surrogate treated as physics
LP_5D_PHASE_REACHABILITY_V2_09,HIGH_PHASE_EXTREME,HIGHER,LPML_R3_036,0.35369593423211093,"{'J1_side_nm': False, 'J2_length_nm': False, 'J2_width_nm': False, 'D_nm': False, 'Psi_deg': False}",111,109,100,196.02295783912655,-0.8769077414306453,98.0,-1.5,85.02295783912655,125.0,True,True,True,True,True,True,True,True,True,False,NOT_BUILT_OFFLINE_ONLY,450.0,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,False,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING,hypothesis/coverage diagnostic only; no surrogate treated as physics
LP_5D_PHASE_REACHABILITY_V2_10,HIGH_PHASE_EXTREME,HIGHER,LPML_R3_036,0.2502015465426338,"{'J1_side_nm': False, 'J2_length_nm': False, 'J2_width_nm': False, 'D_nm': False, 'Psi_deg': False}",111,109,101,196.02295783912655,-0.8769077414306453,98.0,-1.5,85.02295783912655,125.0,True,True,True,True,True,True,True,True,True,False,NOT_BUILT_OFFLINE_ONLY,450.0,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,False,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING,hypothesis/coverage diagnostic only; no surrogate treated as physics
LP_5D_PHASE_REACHABILITY_V2_11,HIGH_PHASE_EXTREME,HIGHER,LPML_R3_036,0.35369593423211093,"{'J1_side_nm': False, 'J2_length_nm': False, 'J2_width_nm': True, 'D_nm': False, 'Psi_deg': False}",111,109,102,196.02295783912655,-0.8769077414306453,98.0,-1.5,85.02295783912655,125.0,True,True,True,True,True,True,True,True,True,False,NOT_BUILT_OFFLINE_ONLY,450.0,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,False,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING,hypothesis/coverage diagnostic only; no surrogate treated as physics
