candidate_id,category,role,candidate_order,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,requested_D_nm,requested_Psi_deg,J1_center_x_nm,J1_center_y_nm,J2_center_x_nm,J2_center_y_nm,H_nm,period_x_nm,period_y_nm,material,direct_gap_nm,periodic_gap_nm,integer_or_half_grid_centers,primitive_valid,manufacturing_pass,exact_geometry_hash_sha256,canonical_relative_geometry_hash_sha256,symmetry_equivalence_geometry_hash_sha256,duplicate_against_formal,planning_status,physics_status,prediction_status,wavelength_authorization,fixed_contract_hash,smoke_order,smoke_status,smoke_physics_label
LPML_R1_GLOBAL_SOBOL_009,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,9,109,107,102,200.0,0.0,200.0,0.0,-100.0,-0.0,100.0,0.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,91.0,123.0,True,True,True,e50a5a488e637c0b7a6027c205c482cd891ee1ec3f2d603336659aa413786cf5,cbe54cbfc98130732bd9900e69e149324ac4686f8d538edcce716205e39812e3,fcbc0688f765a0ecd75b02308e64646c88352c1cc8143af2e47f7f8d911fc764,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_010,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,10,111,109,100,204.0392119177096,-1.123302714075429,204.0392119177096,-1.123302714075429,-102.0,2.0,102.0,-2.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,93.0392119177096,117.0,True,True,True,b9102cfa22df75bc9a9b4faba164c46de01d7d0e8d25d472a07149c304270df7,44869979dd1413523778b1245572ad3a379207be69b13197b956d5589ae88c91,64a8f250507600437dfbed5d1a29a28ad576bad29b85ec34857302c56f169d3f,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_011,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,11,112,106,101,198.0101007524616,-0.5787255656077621,198.0101007524616,-0.5787255656077621,-99.0,1.0,99.0,-1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,86.0101007524616,122.0,True,True,True,ffd391a0f097d702fbc93685fe37f92d87887ce1b74011102cbcac818f8f568a,0ebe03e0802eb051e1571fbace9c4305c6de9d6d838edd1bef17f682a883e43c,8e5e8fa1197e4491c72e65da1e6701fa5bd228126254230f1c15aa4ba54cce6c,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_012,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,12,110,108,99,202.00990074746338,0.5672664098579344,202.00990074746338,0.5672664098579344,-101.0,-1.0,101.0,1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,92.00990074746338,120.0,True,True,True,029a7e27700db1709cdda224b0fd26e01497455f44389c620e8365aeb95dfd8c,ab7e217a47c486bdefd216712be97a15487974bd2d59a4723c0b99a9d6ed2aff,9319cdbc8e44e98c17e5ba11c8057cf4989d7f6db69f461730423d1159ca370e,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_013,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,13,109,107,99,200.0399960007998,1.1457628381751033,200.0399960007998,1.1457628381751033,-100.0,-2.0,100.0,2.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,91.03999600079979,123.0,True,True,True,70037d07457c9593c78d1bbc8bb358e6970c04c5c520d0c7ac77e5e6a26152b5,d2c905ab1062ca5a47546385cd2e7df731bbb74595df3c41dd93a44e3029e2ca,be25be85306b89f675e4eb2969b66571fdad2668f711fa559d77e1e62770f661,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_014,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,14,111,109,101,196.0,0.0,196.0,0.0,-98.0,-0.0,98.0,0.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,85.0,125.0,True,True,True,da14685f3d9c20a7262d1afe9805f2cb9cb861e38d7b61dd40efc0f8bdb9c3bf,6e9135162517b1413a1712ac5f9aab1ced9cf0878cc76a69cf1bbf4ee14f11de,833bb5a0d0b1610b6f3e4ddd83ecb13abc29430672a696d47e78446de162e3e3,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_015,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,15,110,108,98,202.00990074746338,-0.5672664098579344,202.00990074746338,-0.5672664098579344,-101.0,1.0,101.0,-1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,92.00990074746338,120.0,True,True,True,162f7b76936f295f9a02464524097be676d511cd43755d5973f61a302e80d39c,73cde97af5c0e9f99752011209b3d9388871502bb1a49cc5b85a4e0c4670f75a,0f30b64df4861c0c4e906a5a13fda7d0e800c81db965cb131c7b7028217f7669,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_016,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,16,108,110,100,198.0101007524616,0.5787255656077621,198.0101007524616,0.5787255656077621,-99.0,-1.0,99.0,1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,90.0101007524616,126.0,True,True,True,bdc1e59eb700912d21eac89839dba86c1051c3ebf989a3e4cd9d83829572fe7a,56d01b473d6a964b70300f89c46dd3e95f4145e77e2e0679322d4d7585994316,5542ba7915e3ef023b9e3ff3879307bca69b684e4fcf17bba9790dc6cc6a5c5a,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_017,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,17,108,108,100,201.00995000248122,-0.5700884449988864,201.00995000248122,-0.5700884449988864,-100.5,1.0,100.5,-1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,93.00995000248122,123.0,True,True,True,90a68b07d0081c877b74aaca9a759f3c76bca2352ef3dbe8428cc9cc35b71f82,8bf3af9b8c6878f613e5a256a557248b1faef82cd0bb4e3200438ea8954882ec,052f75c6c243d0f6857de4ada104fb1400a8b7277e96e69f8129f7ca37e3b395,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_018,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,18,110,110,102,197.01015202268132,0.581663057505372,197.01015202268132,0.581663057505372,-98.5,-1.0,98.5,1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,87.01015202268132,125.0,True,True,True,649d88d6fdb5aa292229567341976eaf7a9660d19631fc5ac37bd6769d257f1f,af561a4ba5e1cce6d93a6589fed0bb916479e6715459f56642188835dfc0d3ad,e883bffda4d6341c7ba6e50fd465d8f38eea6bb9a28f8a95cf5a0c26e35a5ace,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
