subrun_id,candidate_id,input_polarization,status,solver_entered,failure_code,wavelength_nm_contract,physics_label
LPML_R1_GLOBAL_SOBOL_001_x,LPML_R1_GLOBAL_SOBOL_001,x,FAILED_SOLVER_POST_EXTRACTION,True,BROADBAND_MONITOR_FREQUENCY_CARDINALITY_MISMATCH,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_001_y,LPML_R1_GLOBAL_SOBOL_001,y,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_002_x,LPML_R1_GLOBAL_SOBOL_002,x,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_002_y,LPML_R1_GLOBAL_SOBOL_002,y,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_003_x,LPML_R1_GLOBAL_SOBOL_003,x,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_003_y,LPML_R1_GLOBAL_SOBOL_003,y,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_004_x,LPML_R1_GLOBAL_SOBOL_004,x,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_004_y,LPML_R1_GLOBAL_SOBOL_004,y,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_005_x,LPML_R1_GLOBAL_SOBOL_005,x,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_005_y,LPML_R1_GLOBAL_SOBOL_005,y,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
