source_fsp_path,material_name,frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,data_kind,interpolation_method
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,999308193333333.2,300.0,2.071690574657478,0.0,1.439336852393309,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,995988232558139.5,301.0,2.0712373336007617,0.0,1.4391793959061399,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,992690258278145.6,302.0,2.0707870941404476,0.0,1.4390229651191977,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,989414052805280.5,303.0,2.0703431960774332,0.0,1.4388687209323279,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,986159401315789.4,304.0,2.0699044620219493,0.0,1.4387162548681895,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,982926091803278.5,305.0,2.069468604911091,0.0,1.4385647725810233,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,979713915032679.8,306.0,2.0690355965395195,0.0,1.4384142645773226,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,976522664495113.9,307.0,2.0686102941529794,0.0,1.4382664197404385,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,973352136363636.4,308.0,2.068188505608354,0.0,1.4381197813841355,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,970202129449838.1,309.0,2.067769447086671,0.0,1.437974077334731,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,967072445161290.4,310.0,2.0673532974726183,0.0,1.4378293700827711,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,963962887459807.0,311.0,2.0669448002815938,0.0,1.4376873096336331,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,960873262820512.8,312.0,2.0665389216623065,0.0,1.4375461459244732,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,957803380191693.2,313.0,2.0661356365166252,0.0,1.4374058704891342,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,954753050955413.9,314.0,2.06573552602278,0.0,1.4372666857694782,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,951722088888888.9,315.0,2.065342559060821,0.0,1.437129972918532,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
