source_fsp_path,material_name,frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,data_kind,interpolation_method
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,290158752189190.56,1033.2015000000001,2.00992262626276,0.0,1.4177174,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,302248681913570.56,991.8735000000001,2.0103990075331604,0.0,1.4178854,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,314338602569337.06,953.7246000000001,2.01089302915216,0.0,1.4180596,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,326428572517419.94,918.4014000000001,2.01140866867396,0.0,1.4182414,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,338518500535342.44,885.6013999999999,2.01194309752804,0.0,1.4184298,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,350608455466577.06,855.0634000000001,2.012496890625,0.0,1.418625,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,362698396356083.94,826.5613,2.0130706234598397,0.0,1.4188272,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,374788358015646.94,799.8980000000001,2.01366430452496,0.0,1.4190364,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,386878298807641.5,774.9012000000001,2.01427737490576,0.0,1.4192524,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,398968269779602.44,751.4192999999999,2.01491097899536,0.0,1.4194756,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,411058235583428.7,729.3187000000001,2.01556342278916,0.0,1.4197054,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,423148137614397.9,708.4811,2.0162358513408396,0.0,1.4199422,0.0,native_sampled,none
