angle,intensity
-90.0,2.359661571560614e-08
-87.43680027996103,3.286531783751287e-08
-86.37478578672382,3.774431338700857e-08
-85.55966694730681,4.19832359556166e-08
-84.87231698093376,4.592702386526006e-08
-84.26659730796267,4.9706369751011046e-08
-83.71884730024726,5.338684531554715e-08
-83.21501265029949,5.700652783633806e-08
-82.74593696669078,6.058963756954319e-08
-82.30526072729027,6.41525690654998e-08
-81.8883539858024,6.770692810648513e-08
-81.49172179461122,7.126120881554344e-08
-81.11264914981503,7.482178643672175e-08
-80.74897712783695,7.83935378181299e-08
-80.3989554243684,8.198024652807891e-08
-80.06114165487263,8.558487703174879e-08
-79.73433047718748,8.920976591185848e-08
-79.41750240380581,9.28567586775153e-08
-79.10978600479763,9.652730980967748e-08
-78.81042945378644,1.0022255732231742e-07
-78.51877874041672,1.0394337925793479e-07
-78.23426073431969,1.0769043712146452e-07
-77.95636984216821,1.1146420970407711e-07
-77.68465736788471,1.1526501972536583e-07
-77.4187229353893,1.1909305503343569e-07
-77.15820750531545,1.2294838562925727e-07
-76.90278763795689,1.2683097745085333e-07
-76.65217074095708,1.3074070361790474e-07
-76.40609110272075,1.3467735366795562e-07
-76.16430655838356,1.386406411916325e-07
-75.92659566925781,1.426302101827105e-07
-75.6927553222919,1.4664564035035132e-07
-75.4625986755434,1.5068645158901673e-07
-75.23595339059713,1.5475210776196336e-07
-75.01266010441917,1.5884201992371487e-07
-74.79257110216237,1.6295554908316156e-07
-74.57554915954202,1.6709200859030798e-07
-74.36146652903308,1.7125066621496988e-07
-74.15020404863631,1.7543074597398744e-07
-73.94165035557546,1.7963142975409546e-07
-73.73570119021146,1.8385185876997726e-07
-73.53225877783653,1.8809113489082584e-07
-73.33123127795712,1.9234832186363312e-07
-73.13253229227459,1.9662244645723564e-07
-72.93608042389383,2.009124995476259e-07
-72.74179888138863,2.0521743716211655e-07
-72.54961512226853,2.095361814974476e-07
-72.35946053115805,2.1386762192482572e-07
-72.17127012864601,2.1821061599306744e-07
-71.98498230730613,2.2256399043944765e-07
-71.80053859185354,2.2692654221648906e-07
-71.61788342079336,2.3129703954174093e-07
-71.43696394725387,2.3567422297650342e-07
-71.25772985698381,2.4005680653854297e-07
-71.08013320173984,2.4444347885296276e-07
-70.90412824650303,2.488329043446384e-07
-70.72967132914732,2.532237244749215e-07
-70.55672073134139,2.576145590246738e-07
-70.38523655960435,2.620040074251026e-07
-70.2151806355562,2.663906501373184e-07
-70.04651639450873,2.707730500810354e-07
-69.87920879163549,2.7514975411235387e-07
-69.71322421503963,2.795192945501265e-07
-69.54853040510999,2.838801907500029e-07
-69.38509637961835,2.8823095072484864e-07
-69.22289236406617,2.92570072809882e-07
-69.06188972683798,2.9689604737053835e-07
-68.9020609187623,3.012073585507432e-07
-68.74337941671943,3.055024860589903e-07
-68.5858196709698,3.097799069893508e-07
-68.42935705590723,3.140380976742795e-07
-68.27396782396886,3.182755355658564e-07
-68.11962906245793,3.224907011418911e-07
-67.96631865305763,3.266820798331261e-07
-67.81401523383362,3.308481639675974e-07
-67.66269816354125,3.349874547280665e-07
-67.51234748806846,3.390984641183031e-07
-67.36294390886037,3.4317971693388004e-07
-67.21446875318476,3.472297527330579e-07
-67.0669039461084,3.5124712780325673e-07
-66.9202319840658,3.5523041711856096e-07
-66.77443590991126,3.5917821628366636e-07
-66.62949928935346,3.6308914345967506e-07
-66.48540618868023,3.669618412671239e-07
-66.34214115368837,3.707949786616775e-07
-66.19968918973963,3.745872527779515e-07
-66.05803574287008,3.783373907369815e-07
-65.91716668188606,3.820441514129354e-07
-65.77706828138395,3.8570632715477377e-07
-65.63772720563651,3.8932274545864404e-07
-65.49913049329245,3.928922705869482e-07
-65.36126554283916,3.9641380513015304e-07
-65.22412009878312,3.998862915075698e-07
-65.08768223850481,4.0330871340349655e-07
-64.9519403597486,4.0668009713531375e-07
-64.81688316871022,4.0999951295030116e-07
-64.68249966868757,4.1326607624817017e-07
-64.54877914926251,4.1647894872650707e-07
-64.4157111759837,4.1963733944656694e-07
-64.28328558052225,4.2274050581708013e-07
-64.15149245127414,4.2578775449398925e-07
-64.02032212438473,4.287784421942787e-07
-63.88976517517276,4.317119764223162e-07
-63.75981240993156,4.345878161073948e-07
-63.63045485808858,4.374054721514146e-07
-63.50168376470296,4.4016450788592747e-07
-63.373490583284685,4.42864539438021e-07
-63.245866968917674,4.455052360048004e-07
-63.11880477167209,4.480863200364846e-07
-62.992296030290326,4.506075673284078e-07
-62.86633296613352,4.530688070224747e-07
-62.740907977375386,4.554699215188791e-07
-62.61601363343096,4.5781084629915345e-07
-62.49164266960897,4.600915696618594e-07
-62.367787981976925,4.623121323724776e-07
-62.24444262242852,4.64472627229283e-07
-62.12159979394389,4.665731985472218e-07
-61.999252846033514,4.686140415620219e-07
-61.877395270357084,4.705954017569645e-07
-61.75602069650924,4.7251757411496136e-07
-61.63512288796458,4.743809022987347e-07
-61.51469573817443,4.7618577776209827e-07
-61.394733266808714,4.779326387954678e-07
-61.27522961613622,4.796219695089016e-07
-61.15617904753719,4.812542987560696e-07
-61.0375759381423,4.828301990027031e-07
-60.91941477759253,4.843502851431422e-07
-60.80169016491469,4.858152132687174e-07
-60.68439680550744,4.872256793917494e-07
-60.56752950823322,4.885824181290234e-07
-60.451083182611534,4.898862013486283e-07
-60.33505283610932,4.911378367840821e-07
-60.21943357152422,4.92338166619678e-07
-60.104220584457096,4.93488066050975e-07
-59.98940916086994,4.945884418243466e-07
-59.874994674725635,4.956402307594727e-07
-59.76097258570651,4.966443982585967e-07
-59.647338437008166,4.976019368063338e-07
-59.53408785320577,4.985138644637226e-07
-59.42121653818987,4.9938122336014e-07
-59.30872027316899,5.002050781865939e-07
-59.196594914736366,5.009865146938093e-07
-59.08483639299835,5.017266381983826e-07
-58.97344070976209,5.024265721001757e-07
-58.86240393678012,5.030874564139641e-07
-58.75172221404997,5.037104463182006e-07
-58.641391748166285,5.0429671072362e-07
-58.53140881072384,5.048474308642251e-07
-58.42176973676931,5.053637989130389e-07
-58.31247092330034,5.058470166248261e-07
-58.20350882780945,5.062982940078098e-07
-58.09487996687213,5.067188480262211e-07
-57.98658091477664,5.071099013353463e-07
-57.8786083021944,5.07472681050528e-07
-57.770958814889624,5.078084175514127e-07
-57.663629192466495,5.081183433225207e-07
-57.556616227152695,5.084036918310555e-07
-57.44991676261811,5.086656964426591e-07
-57.34352769282734,5.089055893756496e-07
-57.23744596092477,5.091246006940941e-07
-57.13166855815133,5.09323957339894e-07
-57.0261925227917,5.095048822038823e-07
-56.921014939150794,5.096685932357829e-07
-56.816132936558745,5.098163025927038e-07
-56.71154368840347,5.099492158256949e-07
-56.60724441118955,5.100685311037563e-07
-56.50323236362293,5.101754384745462e-07
-56.39950484572033,5.102711191609029e-07
-56.296059197942796,5.10356744892186e-07
-56.1928928003522,5.104334772693355e-07
-56.090003071790434,5.105024671624306e-07
-55.987387469080225,5.105648541394649e-07
-55.88504348624698,5.106217659249599e-07
-55.782968653760975,5.106743178869837e-07
-55.681160537799286,5.107236125510672e-07
-55.5796167395268,5.107707391394922e-07
-55.47833489439563,5.108167731343653e-07
-55.377312671462626,5.108627758628779e-07
-55.27654777272402,5.1090979410315e-07
-55.176037932467004,5.10958859709037e-07
-55.07578091663764,5.110109892522968e-07
-54.97577452222448,5.110671836805336e-07
-54.87601657665751,5.111284279893605e-07
-54.776504937222136,5.111956909072646e-07
-54.67723749048728,5.112699245917061e-07
-54.578212151747714,5.113520643350323e-07
-54.47942686447983,5.114430282788715e-07
-54.38087959981065,5.115437171357189e-07
-54.28256835599952,5.116550139165295e-07
-54.184491157932285,5.117777836632055e-07
-54.08664605662757,5.119128731849686e-07
-53.98903112875453,5.120611107976896e-07
-53.891644476162206,5.122233060653856e-07
-53.794484225419836,5.124002495431495e-07
-53.69754852736774,5.125927125209385e-07
-53.60083555667886,5.128014467677278e-07
-53.50434351143029,5.130271842756692e-07
-53.40807061268462,5.132706370039956e-07
-53.31201510408084,5.13532496622538e-07
-53.21617525143477,5.13813434254845e-07
-53.12054934234813,5.141141002209881e-07
-53.0251356858267,5.144351237802672e-07
-52.92993261190706,5.147771128741434e-07
-52.83493847129137,5.151406538698157e-07
-52.74015163499048,5.155263113049826e-07
-52.64557049397493,5.159346276344185e-07
-52.551193458833374,5.163661229790889e-07
-52.45701895943875,5.168212948786218e-07
-52.36304544462159,5.173006180480389e-07
-52.26927138185029,5.178045441397048e-07
-52.17569525691843,5.183335015115658e-07
-52.08231557363882,5.188878950027533e-07
-51.98913085354383,5.194681057177339e-07
-51.8961396355923,5.200744908202012e-07
-51.80334047588273,5.207073833379536e-07
-51.7107319473721,5.213670919800241e-07
-51.61831263960104,5.220539009673635e-07
-51.52608115842447,5.227680698783611e-07
-51.434036125747824,5.235098335105184e-07
-51.34217617926885,5.242794017595607e-07
-51.250499972224574,5.250769595172621e-07
-51.159006173143645,5.259026665892414e-07
-51.06769346560344,5.267566576339348e-07
-50.97656054799229,5.276390421239188e-07
-50.88560613327657,5.28549904330705e-07
-50.79482894877222,5.294893033340557e-07
-50.70422773592104,5.304572730568144e-07
-50.61380125007142,5.314538223261607e-07
-50.52354826026332,5.324789349621143e-07
-50.43346754901759,5.335325698940294e-07
-50.34355791212937,5.346146613057111e-07
-50.25381815846565,5.357251188097033e-07
-50.16424710976654,5.368638276511622e-07
-50.07484360045067,5.380306489416392e-07
-49.9856064774242,5.392254199229763e-07
-49.896534599893485,5.404479542613794e-07
-49.807626839181374,5.4169804237164e-07
-49.71888207854713,5.429754517713233e-07
-49.630299213009486,5.44279927464639e-07
-49.5418771491733,5.456111923555556e-07
-49.453614805059466,5.469689476896279e-07
-49.365511109937785,5.483528735238352e-07
-49.27756500416322,5.497626292236509e-07
-49.18977543901512,5.511978539864011e-07
-49.10214137653928,5.526581673898704e-07
-49.01466178939312,5.541431699649947e-07
-48.92733566069365,5.556524437913551e-07
-48.84016198386808,5.571855531140942e-07
-48.753139762507345,5.587420449807625e-07
-48.666268010222225,5.603214498965131e-07
-48.57954575050196,5.619232824959588e-07
-48.49297201657554,5.635470422299489e-07
-48.40654585127555,5.651922140654064e-07
-48.32026630690415,5.668582691963445e-07
-48.23413244510175,5.685446657640835e-07
-48.14814333671792,5.702508495846626e-07
-48.06229806168448,5.719762548813793e-07
-47.976595708890905,5.737203050203925e-07
-47.891035376061986,5.754824132472432e-07
-47.80561616963744,5.77261983422204e-07
-47.72033720465376,5.790584107523148e-07
-47.63519760462815,5.808710825179856e-07
-47.55019650144422,5.826993787920743e-07
