variable,topology_family,N,unique_count,min,max,step,values_or_note
H_nm,Explicit,2,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,Explicit,2,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,Explicit,2,11,152.0,162.0,1.0,152;153;154;155;156;157;158;159;160;161;162
M,Explicit,2,0,,,,
H_nm,Explicit,3,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,Explicit,3,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,Explicit,3,11,152.0,162.0,1.0,152;153;154;155;156;157;158;159;160;161;162
M,Explicit,3,0,,,,
H_nm,Explicit,4,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,Explicit,4,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,Explicit,4,11,152.0,162.0,1.0,152;153;154;155;156;157;158;159;160;161;162
M,Explicit,4,0,,,,
H_nm,Explicit,5,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,Explicit,5,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,Explicit,5,11,152.0,162.0,1.0,152;153;154;155;156;157;158;159;160;161;162
M,Explicit,5,0,,,,
H_nm,ZL-1,2,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,ZL-1,2,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,ZL-1,2,0,,,,
M,ZL-1,2,3,1.0,5.0,2.0,1;3;5
H_nm,ZL-1,3,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,ZL-1,3,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,ZL-1,3,0,,,,
M,ZL-1,3,3,1.0,5.0,2.0,1;3;5
H_nm,ZL-1,4,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,ZL-1,4,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,ZL-1,4,0,,,,
M,ZL-1,4,3,1.0,5.0,2.0,1;3;5
H_nm,ZL-1,5,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,ZL-1,5,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,ZL-1,5,0,,,,
M,ZL-1,5,3,1.0,5.0,2.0,1;3;5
H_nm,ZL-1,6,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,ZL-1,6,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,ZL-1,6,0,,,,
M,ZL-1,6,3,1.0,5.0,2.0,1;3;5
H_nm,ZL-2,2,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,ZL-2,2,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,ZL-2,2,0,,,,
M,ZL-2,2,0,,,,
H_nm,ZL-2,3,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,ZL-2,3,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,ZL-2,3,0,,,,
M,ZL-2,3,0,,,,
H_nm,ZL-2,4,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,ZL-2,4,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,ZL-2,4,0,,,,
M,ZL-2,4,0,,,,
H_nm,ZL-2,5,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,ZL-2,5,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,ZL-2,5,0,,,,
M,ZL-2,5,0,,,,
H_nm,ZL-2,6,6,42.0,47.0,1.0,42;43;44;45;46;47
L_nm,ZL-2,6,7,76.0,82.0,1.0,76;77;78;79;80;81;82
C_nm,ZL-2,6,0,,,,
M,ZL-2,6,0,,,,
N_air,all,,0,,,,not_scanned
N_GaN,all,,0,,,,not_scanned
