topology_family,N,H_nm,L_nm,C_nm,M,total_thickness_nm,physical_layer_count,count,FWHM_min,FWHM_median,FWHM_max,T450_min,T450_median,T450_max,T448_min,T448_median,T448_max,T453_min,T453_median,T453_max,ratio_min,ratio_median,ratio_max
Explicit,2,42,76,152,,624,9,1,16.5,16.5,16.5,0.38153810481075173,0.38153810481075173,0.38153810481075173,0.336369254233416,0.336369254233416,0.336369254233416,0.2823275415957912,0.2823275415957912,0.2823275415957912,3.6201443423571806,3.6201443423571806,3.6201443423571806
Explicit,2,42,76,153,,625,9,1,18.0,18.0,18.0,0.4197328165168902,0.4197328165168902,0.4197328165168902,0.36894294389095095,0.36894294389095095,0.36894294389095095,0.30786721383730187,0.30786721383730187,0.30786721383730187,3.892374733730477,3.892374733730477,3.892374733730477
Explicit,2,42,76,154,,626,9,1,19.5,19.5,19.5,0.461909906478395,0.461909906478395,0.461909906478395,0.40522170374544686,0.40522170374544686,0.40522170374544686,0.3364287665513049,0.3364287665513049,0.3364287665513049,4.188544235199249,4.188544235199249,4.188544235199249
Explicit,2,42,76,155,,627,9,1,21.0,21.0,21.0,0.5079526625078246,0.5079526625078246,0.5079526625078246,0.44536997171257986,0.44536997171257986,0.44536997171257986,0.36830401595075934,0.36830401595075934,0.36830401595075934,4.508373066947066,4.508373066947066,4.508373066947066
Explicit,2,42,76,156,,628,9,1,22.5,22.5,22.5,0.5573914873135511,0.5573914873135511,0.5573914873135511,0.48937635261015355,0.48937635261015355,0.48937635261015355,0.40374537547639966,0.40374537547639966,0.40374537547639966,4.850003704283534,4.850003704283534,4.850003704283534
Explicit,2,42,76,157,,629,9,1,24.0,24.0,24.0,0.6092526668224367,0.6092526668224367,0.6092526668224367,0.5369463096708795,0.5369463096708795,0.5369463096708795,0.4429185786816019,0.4429185786816019,0.4429185786816019,5.209248017516527,5.209248017516527,5.209248017516527
Explicit,2,42,76,158,,630,9,1,25.0,25.0,25.0,0.6619081205131755,0.6619081205131755,0.6619081205131755,0.5873677518344139,0.5873677518344139,0.5873677518344139,0.48583328279649574,0.48583328279649574,0.48583328279649574,5.578690398612289,5.578690398612289,5.578690398612289
Explicit,2,42,76,159,,631,9,1,26.0,26.0,26.0,0.7129790291370048,0.7129790291370048,0.7129790291370048,0.6393647105592145,0.6393647105592145,0.6393647105592145,0.5322477055018566,0.5322477055018566,0.5322477055018566,5.946767057488996,5.946767057488996,5.946767057488996
Explicit,2,42,76,160,,632,9,1,26.0,26.0,26.0,0.7593737369104597,0.7593737369104597,0.7593737369104597,0.6909760780383427,0.6909760780383427,0.6909760780383427,0.5815482630635797,0.5815482630635797,0.5815482630635797,6.297080925692902,6.297080925692902,6.297080925692902
Explicit,2,42,76,161,,633,9,1,26.5,26.5,26.5,0.797545282664641,0.797545282664641,0.797545282664641,0.7395230644677702,0.7395230644677702,0.7395230644677702,0.632615764414878,0.632615764414878,0.632615764414878,6.608376032154365,6.608376032154365,6.608376032154365
