case,monitor,direct_poynting_integral,monitor_power_scalar,transmission_sign_diagnostic,sourcepower_diagnostic,relative_difference,status
x,box_inner_top,4.332318514359576e-09,4.332318514359575e-09,0.43323185143595727,1.0000000000000005e-08,1.9093254796740296e-16,pass
x,box_inner_bottom,-4.332190314734026e-09,-4.3321903147340254e-09,-0.43321903147340235,1.0000000000000005e-08,1.909381981072575e-16,pass
x,box_inner_right,1.0702595438713132e-09,1.070259543871313e-09,0.10702595438713124,1.0000000000000005e-08,1.932196300630436e-16,pass
x,box_inner_left,-1.0702596910658655e-09,-1.070259691065865e-09,-0.10702596910658646,1.0000000000000005e-08,3.864392069784686e-16,pass
x,box_middle_top,4.0539564951840466e-09,4.053956495184046e-09,0.40539564951840434,1.0000000000000005e-08,2.040427946219177e-16,pass
x,box_middle_bottom,-4.050192551856981e-09,-4.050192551856982e-09,-0.4050192551856979,1.0000000000000005e-08,2.0423241659801383e-16,pass
x,box_middle_right,9.622335768073607e-10,9.622335768073603e-10,0.09622335768073598,1.0000000000000005e-08,4.2982319079820957e-16,pass
x,box_middle_left,-9.622338963966959e-10,-9.622338963966959e-10,-0.09622338963966953,1.0000000000000005e-08,0.0,pass
x,box_outer_top,3.882578910551194e-09,3.882578910551192e-09,0.38825789105511904,1.0000000000000005e-08,4.2609854512169913e-16,pass
x,box_outer_bottom,-3.8772849648612936e-09,-3.877284964861293e-09,-0.38772849648612906,1.0000000000000005e-08,2.1334016458669536e-16,pass
x,box_outer_right,9.0734068481833e-10,9.0734068481833e-10,0.09073406848183295,1.0000000000000005e-08,0.0,pass
x,box_outer_left,-9.073408144092121e-10,-9.073408144092119e-10,-0.09073408144092114,1.0000000000000005e-08,2.279134255333873e-16,pass
x,reference_y0,1.1841599151659826e-09,1.1841599151659824e-09,0.11841599151659818,1.0000000000000005e-08,1.7463448178725983e-16,pass
z,box_inner_top,4.7845193764135e-09,4.784519376413498e-09,0.2392259688206748,2.000000000000001e-08,3.457737538406988e-16,pass
z,box_inner_bottom,-4.7775043641928425e-09,-4.777504364192841e-09,-0.23887521820964192,2.000000000000001e-08,3.4628146810401897e-16,pass
z,box_inner_right,4.7806450484615145e-09,4.780645048461514e-09,0.23903225242307558,2.000000000000001e-08,1.7302698781605364e-16,pass
z,box_inner_left,-4.7806447344739514e-09,-4.780644734473951e-09,-0.23903223672369742,2.000000000000001e-08,1.730269991802786e-16,pass
z,box_middle_top,4.666436004318917e-09,4.666436004318916e-09,0.23332180021594567,2.000000000000001e-08,1.7726175003524078e-16,pass
z,box_middle_bottom,-4.660464669301606e-09,-4.660464669301604e-09,-0.23302323346508008,2.000000000000001e-08,5.324666130407452e-16,pass
z,box_middle_right,4.66309125318328e-09,4.663091253183279e-09,0.23315456265916382,2.000000000000001e-08,1.7738889668700975e-16,pass
z,box_middle_left,-4.6630913107541796e-09,-4.663091310754178e-09,-0.23315456553770877,2.000000000000001e-08,3.5477778899390438e-16,pass
z,box_outer_top,4.548060154860562e-09,4.54806015486056e-09,0.2274030077430279,2.000000000000001e-08,3.6375095508312954e-16,pass
z,box_outer_bottom,-4.543640151203277e-09,-4.543640151203275e-09,-0.22718200756016366,2.000000000000001e-08,3.641048080508613e-16,pass
z,box_outer_right,4.545753149136195e-09,4.545753149136194e-09,0.22728765745680957,2.000000000000001e-08,1.819677807868235e-16,pass
z,box_outer_left,-4.545753171381833e-09,-4.545753171381832e-09,-0.22728765856909147,2.000000000000001e-08,1.8196777989632433e-16,pass
z,reference_y0,1.3399881044903074e-09,1.3399881044903072e-09,0.06699940522451532,2.000000000000001e-08,1.5432611113881178e-16,pass
