wavelength_index,wavelength_nm,frequency_Hz,actual_grid_hash
0,419.99999999999994,713791566666666.8,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
1,420.20000000000005,713451827701094.6,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
2,420.4,713112411988582.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
3,420.59999999999997,712773319067998.1,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
4,420.80000000000007,712434548479087.2,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
5,421.0,712096099762470.2,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
6,421.2,711757972459639.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
7,421.3999999999999,711420166112956.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
8,421.6,711082680265654.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
9,421.7999999999999,710745514461830.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
10,422.0,710408668246445.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
11,422.2,710072141165324.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
12,422.40000000000003,709735932765151.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
13,422.59999999999997,709400042593469.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
14,422.8,709064470198675.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
15,423.0,708729215130023.6,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
16,423.20000000000005,708394276937618.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
17,423.3999999999999,708059655172413.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
18,423.6,707725349386213.2,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
19,423.8,707391359131665.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
20,424.00000000000006,707057683962264.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
21,424.2,706724323432343.2,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
22,424.4000000000001,706391277097078.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
23,424.6,706058544512482.2,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
24,424.8,705726125235404.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
25,424.99999999999994,705394018823529.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
26,425.2,705062224835371.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
27,425.4,704730742830277.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
28,425.59999999999997,704399572368421.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
29,425.80000000000007,704068713010803.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
30,426.0,703738164319248.8,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
31,426.2,703407925856405.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
