FWHM_nm,T448,T449,T450,T450_10deg,T450_20deg,T450_30deg,T450_40deg,T450_50deg,T450_60deg,T451,T452,T453,TE_TM_split_20deg,TE_TM_split_40deg,Tpeak,blue_448_453_mean,blue_448_453_min,candidate_id,compiled_layer_sequence,complex_index_reconstruction,defect_material_id,duplicate_group_id,energy_max,extrapolation_policy,geometry,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,logical_layer_sequence,low_index_material_id,material_model,material_policy_id,normal_to_40_60_ratio,peak_count,peak_error_nm,peak_wavelength_nm,physical_sequence_hash,propagation_direction,topology_id,total_layer_count_compiled,total_layer_count_logical,total_thickness_nm
16.5,0.38153810481075173,0.3579450389934815,0.336369254233416,0.2909101788512622,0.19917723750934177,0.1269603963003104,0.09041421319977719,0.08158895298418319,0.0969138685298709,0.3166686162588926,0.2987272049806604,0.2823275415957912,0.03963729511271624,0.08162891466458731,0.8286960285648981,0.3289292934788322,0.2823275415957912,EX_N2_L76_H42_C152,L76 H42 L76 H42 L152 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_a7b84d0c5d4a1fbe,1.0000000000000009,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 152}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L152 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,3.6201443423571806,1,-16.5,433.5,a7b84d0c5d4a1fbe,GaN -> reverse(stack) -> Air,Explicit,9,9,624
18.0,0.4197328165168902,0.39324837365133514,0.36894294389095095,0.3177857105740518,0.214451787442119,0.13387179776954006,0.09348364314089579,0.08304086480309017,0.09744459629080174,0.3466989258825196,0.32641836877602715,0.30786721383730187,0.0412776268388623,0.08366680168988136,0.8290661254303103,0.36048477375917076,0.30786721383730187,EX_N2_L76_H42_C153,L76 H42 L76 H42 L153 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_4016e5042ed0e69e,1.000000000000001,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 153}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L153 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,3.892374733730477,1,-15.5,434.5,4016e5042ed0e69e,GaN -> reverse(stack) -> Air,Explicit,9,9,625
19.5,0.461909906478395,0.43243042755272143,0.40522170374544686,0.34785634444668795,0.23146159906427172,0.14141281636083516,0.09676243610778634,0.0845745750504571,0.09802220132934475,0.3802204109763887,0.3573689982628374,0.3364287665513049,0.04290902086645976,0.08580454524897102,0.8292133323526734,0.3955967022611824,0.3364287665513049,EX_N2_L76_H42_C154,L76 H42 L76 H42 L154 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_e3804bcadc4049af,1.000000000000001,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 154}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L154 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,4.188544235199249,1,-14.0,436.0,e3804bcadc4049af,GaN -> reverse(stack) -> Air,Explicit,9,9,626
21.0,0.5079526625078246,0.47554333581483865,0.44536997171257986,0.38141176204501903,0.25043081886638097,0.1496557620853914,0.10026827966617036,0.08619458659782314,0.09864774944909144,0.41746748139982354,0.39185289970164994,0.36830401595075934,0.044491722680035484,0.0880456037390479,0.8293752384632466,0.434415061181246,0.36830401595075934,EX_N2_L76_H42_C155,L76 H42 L76 H42 L155 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_e3ee2a2d010b714d,1.0000000000000013,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 155}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L155 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,4.508373066947066,1,-13.0,437.0,e3ee2a2d010b714d,GaN -> reverse(stack) -> Air,Explicit,9,9,627
22.5,0.5573914873135511,0.5223848967441447,0.48937635261015355,0.41868408543248337,0.27160752729611104,0.15868269490610543,0.1040207610828851,0.08790576840590637,0.09932240318090534,0.4585587598517522,0.43007242673694046,0.40374537547639966,0.04597198257163013,0.09039319070242602,0.8300354722223662,0.47692154978882356,0.40374537547639966,EX_N2_L76_H42_C156,L76 H42 L76 H42 L156 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_7bf21e8664813b16,1.0000000000000009,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L156 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,4.850003704283534,1,-11.5,438.5,7bf21e8664813b16,GaN -> reverse(stack) -> Air,Explicit,9,9,628
24.0,0.6092526668224367,0.5723673467457595,0.5369463096708795,0.459789705321325,0.295261472227657,0.16858680324260905,0.10804160765943181,0.0897133893286411,0.10004742670709565,0.5034129688553863,0.4720945550760004,0.4429185786816019,0.04727882880956236,0.0928501453572805,0.8304768942141633,0.5228320709753441,0.4429185786816019,EX_N2_L76_H42_C157,L76 H42 L76 H42 L157 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_0088650e2dbc6494,1.000000000000001,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 157}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L157 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,5.209248017516527,1,-10.0,440.0,0088650e2dbc6494,GaN -> reverse(stack) -> Air,Explicit,9,9,629
25.0,0.6619081205131755,0.6243673119578423,0.5873677518344139,0.5046456475289013,0.3216781892391232,0.17947393912821552,0.11235496199741345,0.091623155793323,0.10082419129765642,0.5516364388981472,0.5177609408651089,0.48583328279649574,0.04832091013602824,0.09541876685010639,0.8311399220327961,0.5714789744775306,0.48583328279649574,EX_N2_L76_H42_C158,L76 H42 L76 H42 L158 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_bd7a3a098271d1c0,1.000000000000001,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 158}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L158 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,5.578690398612289,1,-9.0,441.0,bd7a3a098271d1c0,GaN -> reverse(stack) -> Air,Explicit,9,9,630
26.0,0.7129790291370048,0.6765881847092858,0.6393647105592145,0.5528578270062342,0.35114740534097544,0.19146429768037385,0.11698769780458756,0.09364125387578505,0.10165418130658219,0.6023870736707876,0.5665709410865482,0.5322477055018566,0.04898417320276732,0.09810060288410728,0.8320591254983853,0.6216896074441163,0.5322477055018566,EX_N2_L76_H42_C159,L76 H42 L76 H42 L159 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_7e228c5c952a979c,1.0000000000000009,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 159}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L159 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,5.946767057488996,1,-7.5,442.5,7e228c5c952a979c,GaN -> reverse(stack) -> Air,Explicit,9,9,631
26.0,0.7593737369104597,0.7264936660079669,0.6909760780383427,0.6035860083041572,0.3839427600777683,0.2046942053326224,0.12196978279475913,0.09577439637161395,0.10253900078270312,0.6542345106062317,0.6175456307584604,0.5815482630635797,0.049131787337473753,0.10089618100384004,0.8327658764928707,0.6716953142308402,0.5815482630635797,EX_N2_L76_H42_C160,L76 H42 L76 H42 L160 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_771881c3b573436d,1.000000000000001,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 160}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L160 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,6.297080925692902,1,-6.0,444.0,771881c3b573436d,GaN -> reverse(stack) -> Air,Explicit,9,9,632
26.5,0.797545282664641,0.7708942765194796,0.7395230644677702,0.6554050425575269,0.42028889576403206,0.21931794290537526,0.12733469632620395,0.09802987556151647,0.10348038075685999,0.7050590073035486,0.6690973835768751,0.632615764414878,0.048608687906132986,0.10380466785218821,0.8338954209835978,0.7191224631578654,0.632615764414878,EX_N2_L76_H42_C161,L76 H42 L76 H42 L161 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_5b78d00aadaeab40,1.000000000000001,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 161}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L161 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,6.608376032154365,1,-5.0,445.0,5b78d00aadaeab40,GaN -> reverse(stack) -> Air,Explicit,9,9,633
