FWHM_nm,T448,T449,T450,T450_10deg,T450_20deg,T450_30deg,T450_40deg,T450_50deg,T450_60deg,T451,T452,T453,TE_TM_split_20deg,TE_TM_split_40deg,Tpeak,blue_448_453_mean,blue_448_453_min,candidate_id,compiled_layer_sequence,complex_index_reconstruction,defect_material_id,duplicate_group_id,energy_max,extrapolation_policy,gate_pass,geometry,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,logical_layer_sequence,low_index_material_id,material_model,material_policy_id,normal_to_40_60_ratio,peak_count,peak_error_nm,peak_wavelength_nm,physical_sequence_hash,propagation_direction,topology_id,total_layer_count_compiled,total_layer_count_logical,total_thickness_nm
0.0,0.026598425485898525,0.09563228133728123,0.8337421340904254,0.02203055329145129,0.0015097522742917547,0.0004281568147467255,0.0003184536211573464,0.0005702226901739682,0.0023483310146376626,0.10290364422389128,0.028146116700305285,0.012781944178061338,0.0011781433443104868,0.00057224861814844,0.8337421340904254,0.1833007576693105,0.012781944178061338,EX_N5_L82_H45_C153,L82 H45 L82 H45 L82 H45 L82 H45 L82 H45 L153 H45 L82 H45 L82 H45 L82 H45 L82 H45 L82,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_b93ee4b4eb1b85e4,1.0000000000000018,forbidden,True,"{""N"": 5, ""L_nm"": 82, ""H_nm"": 45, ""C_nm"": 153}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L82 H45 L82 H45 L82 H45 L82 H45 L82 H45 L153 H45 L82 H45 L82 H45 L82 H45 L82 H45 L82,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,398.9421724673084,1,0.0,450.0,b93ee4b4eb1b85e4,GaN -> reverse(stack) -> Air,Explicit,21,21,1423
0.0,0.023669689051729642,0.08024953233427656,0.7685517237579924,0.02326877208001336,0.0015267320093846392,0.0004386889895840389,0.00033709733788677256,0.0006347722185971716,0.0028121321572640726,0.11781115633074035,0.029972334830377506,0.013269931908315916,0.0011573863113512536,0.0006051952921699896,0.7685517237579924,0.1722540613689054,0.013269931908315916,EX_N5_L81_H45_C154,L81 H45 L81 H45 L81 H45 L81 H45 L81 H45 L154 H45 L81 H45 L81 H45 L81 H45 L81 H45 L81,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_866d533f3dc7377c,1.0000000000000007,forbidden,True,"{""N"": 5, ""L_nm"": 81, ""H_nm"": 45, ""C_nm"": 154}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L81 H45 L81 H45 L81 H45 L81 H45 L81 H45 L154 H45 L81 H45 L81 H45 L81 H45 L81 H45 L81,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,343.33542164748684,1,0.0,450.0,866d533f3dc7377c,GaN -> reverse(stack) -> Air,Explicit,21,21,1414
0.0,0.0232081294313831,0.07892529304699548,0.7658637321685706,0.022712613122389542,0.0015033056224566374,0.0004401815142799069,0.00034985038137782176,0.0006971387980286475,0.003394612563398265,0.11731422501391031,0.029862993029579794,0.013252984709068764,0.0011009316906125353,0.0006269037189874976,0.7658637321685706,0.17140455956658465,0.013252984709068764,EX_N5_L82_H44_C156,L82 H44 L82 H44 L82 H44 L82 H44 L82 H44 L156 H44 L82 H44 L82 H44 L82 H44 L82 H44 L82,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_501505ea496168a1,1.0000000000000018,forbidden,True,"{""N"": 5, ""L_nm"": 82, ""H_nm"": 44, ""C_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L82 H44 L82 H44 L82 H44 L82 H44 L82 H44 L156 H44 L82 H44 L82 H44 L82 H44 L82 H44 L82,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,294.18649052934546,1,0.0,450.0,501505ea496168a1,GaN -> reverse(stack) -> Air,Explicit,21,21,1416
0.5,0.024215607383569322,0.08118521447088949,0.7604141898089353,0.024392395412230497,0.0015758772102825976,0.0004436965931172006,0.0003295306365675736,0.0005871253174658422,0.002378243811964356,0.12192989214671052,0.03076072850788125,0.013542354012816192,0.0012348627385686218,0.0005926645988795669,0.7604141898089353,0.1720079977218003,0.013542354012816192,EX_N5_L80_H46_C152,L80 H46 L80 H46 L80 H46 L80 H46 L80 H46 L152 H46 L80 H46 L80 H46 L80 H46 L80 H46 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_3f4e8b007f26e8a7,1.0000000000000009,forbidden,True,"{""N"": 5, ""L_nm"": 80, ""H_nm"": 46, ""C_nm"": 152}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L80 H46 L80 H46 L80 H46 L80 H46 L80 H46 L152 H46 L80 H46 L80 H46 L80 H46 L80 H46 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,392.9136021158754,1,0.0,450.0,3f4e8b007f26e8a7,GaN -> reverse(stack) -> Air,Explicit,21,21,1412
1.5,0.17359181687863115,0.38574188793598685,0.7957661569623353,0.21517022411109604,0.01623957390478981,0.004204890788553907,0.002531933179965621,0.0031798463169803947,0.007628265828855194,0.5801087169125054,0.2543550993347133,0.127739789435583,0.00993875823389815,0.00412817684406148,0.7957661569623353,0.3862172445766259,0.127739789435583,EX_N4_L77_H47_C152,L77 H47 L77 H47 L77 H47 L77 H47 L152 H47 L77 H47 L77 H47 L77 H47 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_e2c19b1cd9535328,1.000000000000001,forbidden,True,"{""N"": 4, ""L_nm"": 77, ""H_nm"": 47, ""C_nm"": 152}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H47 L77 H47 L77 H47 L77 H47 L152 H47 L77 H47 L77 H47 L77 H47 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,144.8799644390191,1,0.0,450.0,e2c19b1cd9535328,GaN -> reverse(stack) -> Air,Explicit,17,17,1144
1.5,0.16909800281046533,0.3784342559271505,0.7931388501370293,0.2100356571476405,0.015772232528818732,0.004132458428398125,0.002544093516429018,0.003314560749405078,0.008416111653922429,0.5798599642552421,0.2527147049824068,0.1266834762723421,0.00925354011920062,0.004132513151592818,0.7931388501370293,0.38332154239743943,0.1266834762723421,EX_N4_L78_H46_C154,L78 H46 L78 H46 L78 H46 L78 H46 L154 H46 L78 H46 L78 H46 L78 H46 L78,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_cdec8428d4f7789e,1.0000000000000009,forbidden,True,"{""N"": 4, ""L_nm"": 78, ""H_nm"": 46, ""C_nm"": 154}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L78 H46 L78 H46 L78 H46 L78 H46 L154 H46 L78 H46 L78 H46 L78 H46 L78,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,135.58256890786922,1,0.0,450.0,cdec8428d4f7789e,GaN -> reverse(stack) -> Air,Explicit,17,17,1146
1.5,0.17646048089066835,0.40214744370407485,0.8122256400675436,0.19102420982845913,0.014934995718900328,0.004041738620307474,0.0026067711703648337,0.003676316685594205,0.010666926430121383,0.5473980089133237,0.23981673896026046,0.12236715240771547,0.007939758682259998,0.00418765871906344,0.8122256400675436,0.38340257749059775,0.12236715240771547,EX_N4_L82_H43_C159,L82 H43 L82 H43 L82 H43 L82 H43 L159 H43 L82 H43 L82 H43 L82 H43 L82,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_b3875f02c45b9651,1.0000000000000016,forbidden,True,"{""N"": 4, ""L_nm"": 82, ""H_nm"": 43, ""C_nm"": 159}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L82 H43 L82 H43 L82 H43 L82 H43 L159 H43 L82 H43 L82 H43 L82 H43 L82,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,113.89132348748034,1,0.0,450.0,b3875f02c45b9651,GaN -> reverse(stack) -> Air,Explicit,17,17,1159
1.5,0.16479146859131988,0.36986377495221734,0.7877740009767716,0.20819144830358433,0.015513807948138277,0.004107814264855729,0.0025842343126024365,0.0034938861345827766,0.009408274931249358,0.5858731805989053,0.2547172884922344,0.12739812917105525,0.008703200346388641,0.004180943303309991,0.7944329465015565,0.38173630713041723,0.12739812917105525,EX_N4_L79_H45_C156,L79 H45 L79 H45 L79 H45 L79 H45 L156 H45 L79 H45 L79 H45 L79 H45 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_393fd2bda282ddb8,1.0000000000000013,forbidden,True,"{""N"": 4, ""L_nm"": 79, ""H_nm"": 45, ""C_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H45 L79 H45 L79 H45 L79 H45 L156 H45 L79 H45 L79 H45 L79 H45 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,125.52941384692113,1,0.5,450.5,393fd2bda282ddb8,GaN -> reverse(stack) -> Air,Explicit,17,17,1148
1.5,0.16128424747059045,0.36182915189750553,0.7809281823397115,0.20876610743058915,0.015436413953242497,0.004128203970927424,0.002653240283943334,0.0037246169172717074,0.010660738246463256,0.595781492310498,0.2594024868729027,0.1295120600397474,0.008256689830308212,0.004274289554835481,0.8001554836348769,0.3814562701551593,0.1295120600397474,EX_N4_L80_H44_C158,L80 H44 L80 H44 L80 H44 L80 H44 L158 H44 L80 H44 L80 H44 L80 H44 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_a3cc937d7434f935,1.0000000000000018,forbidden,True,"{""N"": 4, ""L_nm"": 80, ""H_nm"": 44, ""C_nm"": 158}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L80 H44 L80 H44 L80 H44 L80 H44 L158 H44 L80 H44 L80 H44 L80 H44 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,114.85278020595277,1,0.5,450.5,a3cc937d7434f935,GaN -> reverse(stack) -> Air,Explicit,17,17,1150
1.5,0.15914031133452494,0.35602569633581027,0.7742763377252804,0.2109570818104664,0.015519884632945386,0.004192481297579928,0.002752997009155176,0.004015922750665565,0.01224983464861977,0.6070697996496197,0.2657897221747633,0.13266793410104213,0.00789022673704742,0.0044148992017042105,0.8055426224025712,0.3824949668868401,0.13266793410104213,EX_N4_L81_H43_C160,L81 H43 L81 H43 L81 H43 L81 H43 L160 H43 L81 H43 L81 H43 L81 H43 L81,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_0ed943a1eb81f2b9,1.000000000000001,forbidden,True,"{""N"": 4, ""L_nm"": 81, ""H_nm"": 43, ""C_nm"": 160}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L81 H43 L81 H43 L81 H43 L81 H43 L160 H43 L81 H43 L81 H43 L81 H43 L81,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,103.75008767447689,1,0.5,450.5,0ed943a1eb81f2b9,GaN -> reverse(stack) -> Air,Explicit,17,17,1152
