candidate_id,compiled_layer_sequence,complex_index_reconstruction,defect_material_id,duplicate_group_id,extrapolation_policy,geometry,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,logical_layer_sequence,low_index_material_id,material_model,material_policy_id,physical_sequence_hash,propagation_direction,topology_id,total_layer_count_compiled,total_layer_count_logical,total_thickness_nm
EX_N2_L76_H42_C152,L76 H42 L76 H42 L152 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_a7b84d0c5d4a1fbe,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 152}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L152 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,a7b84d0c5d4a1fbe,GaN -> reverse(stack) -> Air,Explicit,9,9,624
EX_N2_L76_H42_C153,L76 H42 L76 H42 L153 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_4016e5042ed0e69e,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 153}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L153 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,4016e5042ed0e69e,GaN -> reverse(stack) -> Air,Explicit,9,9,625
EX_N2_L76_H42_C154,L76 H42 L76 H42 L154 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_e3804bcadc4049af,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 154}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L154 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,e3804bcadc4049af,GaN -> reverse(stack) -> Air,Explicit,9,9,626
EX_N2_L76_H42_C155,L76 H42 L76 H42 L155 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_e3ee2a2d010b714d,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 155}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L155 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,e3ee2a2d010b714d,GaN -> reverse(stack) -> Air,Explicit,9,9,627
EX_N2_L76_H42_C156,L76 H42 L76 H42 L156 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_7bf21e8664813b16,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L156 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,7bf21e8664813b16,GaN -> reverse(stack) -> Air,Explicit,9,9,628
EX_N2_L76_H42_C157,L76 H42 L76 H42 L157 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_0088650e2dbc6494,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 157}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L157 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,0088650e2dbc6494,GaN -> reverse(stack) -> Air,Explicit,9,9,629
EX_N2_L76_H42_C158,L76 H42 L76 H42 L158 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_bd7a3a098271d1c0,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 158}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L158 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,bd7a3a098271d1c0,GaN -> reverse(stack) -> Air,Explicit,9,9,630
EX_N2_L76_H42_C159,L76 H42 L76 H42 L159 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_7e228c5c952a979c,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 159}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L159 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,7e228c5c952a979c,GaN -> reverse(stack) -> Air,Explicit,9,9,631
EX_N2_L76_H42_C160,L76 H42 L76 H42 L160 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_771881c3b573436d,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 160}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L160 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,771881c3b573436d,GaN -> reverse(stack) -> Air,Explicit,9,9,632
EX_N2_L76_H42_C161,L76 H42 L76 H42 L161 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_5b78d00aadaeab40,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 161}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L161 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,5b78d00aadaeab40,GaN -> reverse(stack) -> Air,Explicit,9,9,633
