evaluation_label,wavelength_nm,angle_deg,T_TE,T_TM,T_unpolarized,energy_residual,candidate_id,static_structure_id,topology
448nm,448.0,-60.0,0.0013920834998838647,0.053102615035543276,0.02724734926771357,6.661338147750939e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-59.0,0.0014899377428373192,0.050112768914306195,0.025801353328571756,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-58.0,0.0015962697721927312,0.047432630850075014,0.024514450311133872,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-57.0,0.0017121266321008693,0.045040863538243936,0.0233764950851724,6.661338147750939e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-56.0,0.001838697743856478,0.04291712254845795,0.022377910146157212,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-55.0,0.0019773370281509226,0.04104239967485299,0.021509868351501957,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-54.0,0.002129588824729237,0.03939924855212851,0.020764418688428873,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-53.0,0.002297218308090008,0.03797192279389422,0.020134570550992114,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-52.0,0.002482247232367059,0.036746451402589406,0.01961434931747823,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-51.0,0.002686995998755933,0.03571067138521349,0.01919883369198471,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-50.0,0.002914133229056253,0.0348542334312564,0.018884183330156325,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-49.0,0.003166734253610782,0.03416859314493997,0.018667663699275375,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-48.0,0.003448350185594479,0.03364699760885377,0.018547673897224125,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-47.0,0.003763089560089598,0.033284474904504965,0.01852378223229728,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-46.0,0.004115714867926059,0.033077832531575355,0.018596773699750706,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-45.0,0.0045117567098985015,0.03302566935232914,0.01876871303111382,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-44.0,0.004957648729867846,0.03312840463867945,0.01904302668427365,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-43.0,0.005460886938551411,0.033388326910033565,0.019424606924292487,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-42.0,0.006030217480087509,0.03380966440258811,0.01991994094133781,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-41.0,0.006675857260758064,0.03439867806775515,0.020537267664256606,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-40.0,0.007409752051924265,0.03516377678871647,0.021286764420320365,1.1102230246251565e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-39.0,0.008245876531511374,0.0361156528100639,0.02218076467078764,1.1102230246251565e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-38.0,0.009200579977719232,0.03726743290584545,0.02323400644178234,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-37.0,0.010292979569413798,0.03863483718038531,0.024463908374899555,6.661338147750939e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
