static_structure_id,seed_id,N_GaN,N_Air,mirror_asymmetry,spectral_peak_nm,spectral_FWHM_nm,T448,T450,T453,edge_stability,ratio,delta_peak_nm,delta_FWHM_nm,delta_T448,delta_T450,delta_T453,delta_edge_stability,delta_ratio,local_pareto_views
P1_EXPLICIT_FAB_G1_A5,explicit_fab,1,5,4,480.00000000001364,,0.01639967343496728,0.016470587655021567,0.016538655602869753,0.01639967343496728,0.6318668291000141,29.800000000006776,,-0.6034606975147113,-0.8113709037881913,-0.5176069104802632,-0.5177458926481656,-38.72798256632305,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_EXPLICIT_FAB_G2_A4,explicit_fab,2,4,2,450.0000000000068,19.500000000004434,0.14664330182695634,0.15316224558370503,0.14006076254337774,0.14006076254337774,6.922096284339571,-0.20000000000004547,12.000000000002728,-0.47321706912272227,-0.6746792458595078,-0.39408480353975517,-0.39408480353975517,-32.43775311108349,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_EXPLICIT_FAB_G3_A3,explicit_fab,3,3,0,450.20000000000687,7.500000000001705,0.6198603709496786,0.8278414914432128,0.5341455660831329,0.5341455660831329,39.35984939542306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_EXPLICIT_FAB_G4_A2,explicit_fab,4,2,-2,450.10000000000684,8.700000000001978,0.5007230846972726,0.6252320036158138,0.4417024966323929,0.4417024966323929,29.316507492807187,-0.10000000000002274,1.2000000000002728,-0.11913728625240605,-0.20260948782739907,-0.09244306945073999,-0.09244306945073999,-10.043341902615875,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_EXPLICIT_FAB_G5_A1,explicit_fab,5,1,-4,450.10000000000684,26.500000000006025,0.08933559723330384,0.09189141687171659,0.08761321581439244,0.08761321581439244,3.897100177972827,-0.10000000000002274,19.00000000000432,-0.5305247737163747,-0.7359500745714962,-0.4465323502687405,-0.4465323502687405,-35.46274921745024,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_ZL1_NOMINAL_G1_A5,zl1_nominal,1,5,4,450.0000000000068,22.200000000005048,0.0323297283106785,0.0335232745454912,0.031207393392435577,0.031207393392435577,2.0076074027649042,-0.3000000000000682,18.900000000004297,-0.3075392590443296,-0.9269746720667662,-0.25372074882845824,-0.25372074882845824,-59.6543977117657,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_ZL1_NOMINAL_G2_A4,zl1_nominal,2,4,2,450.20000000000687,6.400000000001455,0.19184984898123847,0.2865842118554281,0.1681590656813775,0.1681590656813775,18.96660072421563,-0.10000000000002274,3.100000000000705,-0.14801913837376962,-0.6739137347568294,-0.11676907653951629,-0.11676907653951629,-42.69540439031497,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_ZL1_NOMINAL_G3_A3,zl1_nominal,3,3,0,450.3000000000069,3.3000000000007503,0.3398689873550081,0.9604979466122574,0.2849281422208938,0.2849281422208938,61.6620051145306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_ZL1_NOMINAL_G4_A2,zl1_nominal,4,2,-2,450.20000000000687,5.5000000000012506,0.22884542045223638,0.3781966133522857,0.1916487896113182,0.1916487896113182,25.731662067313536,-0.10000000000002274,2.2000000000005002,-0.11102356690277171,-0.5823013332599717,-0.0932793526095756,-0.0932793526095756,-35.930343047217065,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_ZL1_NOMINAL_G5_A1,zl1_nominal,5,1,-4,449.9000000000068,17.50000000000398,0.04454079914944781,0.04676501164094478,0.04152467195067334,0.04152467195067334,3.155597709801537,-0.40000000000009095,14.200000000003229,-0.2953281882055603,-0.9137329349713126,-0.24340347027022047,-0.24340347027022047,-58.50640740472906,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_ZL1_ALTERNATIVE_G1_A5,zl1_alternative,1,5,4,450.10000000000684,22.400000000005093,0.03180282511449403,0.0330825373734321,0.030952517952589763,0.030952517952589763,1.496786234166184,0.40000000000009095,19.200000000004366,-0.44961381942623757,-0.9275107629674338,-0.17827988937632225,-0.17827988937632225,-42.76314569687362,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_ZL1_ALTERNATIVE_G2_A4,zl1_alternative,2,4,2,449.70000000000675,6.20000000000141,0.2204678565148107,0.28429974939113584,0.14256694376142737,0.14256694376142737,14.284434575678016,0.0,3.000000000000682,-0.2609487880259209,-0.6762935509497301,-0.06666546356748465,-0.06666546356748465,-29.975497355361792,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_ZL1_ALTERNATIVE_G3_A3,zl1_alternative,3,3,0,449.70000000000675,3.2000000000007276,0.48141664454073163,0.960593300340866,0.20923240732891202,0.20923240732891202,44.25993193103981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_ZL1_ALTERNATIVE_G4_A2,zl1_alternative,4,2,-2,449.70000000000675,5.400000000001228,0.2690572371888246,0.37424218732119297,0.15994089127872277,0.15994089127872277,19.521471282062286,0.0,2.2000000000005002,-0.212359407351907,-0.586351113019673,-0.04929151605018925,-0.04929151605018925,-24.738460648977522,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
P1_ZL1_ALTERNATIVE_G5_A1,zl1_alternative,5,1,-4,450.0000000000068,17.600000000004002,0.043651461102736995,0.04612729681717241,0.041356315887576996,0.041356315887576996,2.436849821390424,0.3000000000000682,14.400000000003274,-0.43776518343799464,-0.9144660035236936,-0.16787609144133503,-0.16787609144133503,-41.823082109649384,fwhm_vs_T450;fwhm_vs_edge_stability;fwhm_vs_ratio
