static_structure_id,seed_id,topology,N_GaN,N_Air,H_nm,L_nm,C_nm,M,effective_center_nm,layer_count,total_thickness_nm,geometry_hash,canonical_sequence_hash,existing_geometry_status,mirror_asymmetry,material_model,tio2_material_id,sio2_material_id,wavelength_grid_provenance,spectral_peak_nm,spectral_peak_T,spectral_FWHM_nm,T448,T450,T453,edge_stability,normal_to_40_60_ratio,TMM_angular_FWHM_450_deg,maximum_transmission_angle_450_deg,spectral_peak_boundary_clipped,spectral_FWHM_status,material_policy_status,energy_residual_max,finite_status,extraction_status
P1_EXPLICIT_FAB_G1_A5,explicit_fab,Explicit,1,5,45,79,156,,,13,900,7d8794fb97702abf46bb5d28e8b56c089c262e790f5e47408e4a90f143d3c485,00fa97710c454140c737cd619f28c38fdef054017c981364548f53adfd0881a2,proposed_novel,4,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,canonical_420_480_nm_step_0.1_nm,480.00000000001364,0.017410260743474258,,0.01639967343496728,0.016470587655021567,0.016538655602869753,0.01639967343496728,0.6318668291000141,,,True,boundary_clipped,pass,8.881784197001252e-16,pass,canonical_pipeline_replay
P1_EXPLICIT_FAB_G2_A4,explicit_fab,Explicit,2,4,45,79,156,,,13,900,6d51714ae169577d60d7896597fbac4bcf890accf7e30597bdbe929f58338a72,dfb481b0d4d486f574038760cfb893d3de03474b071a8e20a4480545ebfe55ac,proposed_novel,2,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,canonical_420_480_nm_step_0.1_nm,450.0000000000068,0.15316224558370503,19.500000000004434,0.14664330182695634,0.15316224558370503,0.14006076254337774,0.14006076254337774,6.922096284339571,,,False,valid,pass,8.881784197001252e-16,pass,canonical_pipeline_replay
P1_EXPLICIT_FAB_G3_A3,explicit_fab,Explicit,3,3,45,79,156,,,13,900,d44569052e0f3a8a152560418bd816b72732300d993a080fe75186331599ebdf,b9e36efe180e91309a5b25d830192573c74d76fca7b48f8945cd36eab8a1cb58,existing_canonical_control,0,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,canonical_420_480_nm_step_0.1_nm,450.20000000000687,0.8291374354681493,7.500000000001705,0.6198603709496786,0.8278414914432128,0.5341455660831329,0.5341455660831329,39.35984939542306,,,False,valid,pass,1.3322676295501878e-15,pass,canonical_pipeline_replay
P1_EXPLICIT_FAB_G4_A2,explicit_fab,Explicit,4,2,45,79,156,,,13,900,badf7bc630384f2b9373bc63cb6cfe1935880d3b6c20086c472e2fc8e6d333c0,caacb521a6db5d662b955d3dfab6d7b1820ff561d67ef3b2f33df5195ed38b05,proposed_novel,-2,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,canonical_420_480_nm_step_0.1_nm,450.10000000000684,0.6258558479977896,8.700000000001978,0.5007230846972726,0.6252320036158138,0.4417024966323929,0.4417024966323929,29.316507492807187,,,False,valid,pass,1.3322676295501878e-15,pass,canonical_pipeline_replay
P1_EXPLICIT_FAB_G5_A1,explicit_fab,Explicit,5,1,45,79,156,,,13,900,277992dd21d63156bc648e019c71662c0545daf12fe802cce8f7c929ee2431ab,9e3de518681eb8f42007459223c39a5bda1d60fbb4a3bbc2f719a1b205551ddf,proposed_novel,-4,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,canonical_420_480_nm_step_0.1_nm,450.10000000000684,0.09190155275789079,26.500000000006025,0.08933559723330384,0.09189141687171659,0.08761321581439244,0.08761321581439244,3.897100177972827,,,False,valid,pass,8.881784197001252e-16,pass,canonical_pipeline_replay
P1_ZL1_NOMINAL_G1_A5,zl1_nominal,ZL-1,1,5,46,78,,3,312,12,978,d9c3cafbdfbe5785e6ffe2a54e25a8f7b0e63f2d1ba6768d03d5f907d35d9706,afeebbe4a6c377f565643e85e3320e5f7a91431f34ed818033891c1637898a32,proposed_novel,4,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,canonical_420_480_nm_step_0.1_nm,450.0000000000068,0.0335232745454912,22.200000000005048,0.0323297283106785,0.0335232745454912,0.031207393392435577,0.031207393392435577,2.0076074027649042,,,False,valid,pass,7.771561172376096e-16,pass,canonical_pipeline_replay
P1_ZL1_NOMINAL_G2_A4,zl1_nominal,ZL-1,2,4,46,78,,3,312,12,978,4e8905d9cec0a4950184eaba57b8ca8950c141770e8c7e25fea53d41468f5eea,bf69c502889c43aa1ceb251fa6e24919dce071ea6ae08c2bfefbf938c485df22,proposed_novel,2,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,canonical_420_480_nm_step_0.1_nm,450.20000000000687,0.28826349074518076,6.400000000001455,0.19184984898123847,0.2865842118554281,0.1681590656813775,0.1681590656813775,18.96660072421563,,,False,valid,pass,9.992007221626409e-16,pass,canonical_pipeline_replay
P1_ZL1_NOMINAL_G3_A3,zl1_nominal,ZL-1,3,3,46,78,,3,312,12,978,ad8cbef5a96144d8d7d0e2d9bdba185905a6250f90a83b945bfb99b967482af5,e111e88a5a13e61d7bcb89f48307f6e54fc850b296565ea03bba57c3fd1f2747,existing_canonical_control,0,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,canonical_420_480_nm_step_0.1_nm,450.3000000000069,0.9927797869341091,3.3000000000007503,0.3398689873550081,0.9604979466122574,0.2849281422208938,0.2849281422208938,61.6620051145306,,,False,valid,pass,1.9984014443252818e-15,pass,canonical_pipeline_replay
P1_ZL1_NOMINAL_G4_A2,zl1_nominal,ZL-1,4,2,46,78,,3,312,12,978,44203e2cd5a64df02c972a92ec737fa0c78d7cb9c4cfadeb9bdf1ab71df3db03,376ccd3c6a40f8fe326a61ed294a53e55c8f070dc48eaa027c75f5750834d33a,proposed_novel,-2,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,canonical_420_480_nm_step_0.1_nm,450.20000000000687,0.38063588708716545,5.5000000000012506,0.22884542045223638,0.3781966133522857,0.1916487896113182,0.1916487896113182,25.731662067313536,,,False,valid,pass,8.881784197001252e-16,pass,canonical_pipeline_replay
P1_ZL1_NOMINAL_G5_A1,zl1_nominal,ZL-1,5,1,46,78,,3,312,12,978,9ef52fafd25a8d5c5460f104870ae2e1777e193edef9a79127ac4e6336d75aec,a8c6ddf185c70f2d34012347637674fe593c12771ec3b844b94f4a2a1cf3d7a2,proposed_novel,-4,native_m1,APCD_TIO2_NATIVE_M1,APCD_SIO2_NATIVE_M1,canonical_420_480_nm_step_0.1_nm,449.9000000000068,0.04677059207609226,17.50000000000398,0.04454079914944781,0.04676501164094478,0.04152467195067334,0.04152467195067334,3.155597709801537,,,False,valid,pass,8.881784197001252e-16,pass,canonical_pipeline_replay
