selection,rank,geometry_id,polarization,wavelength_nm,diffraction_order_m,fdt_absolute_order_efficiency,predicted_raw_order_efficiency,absolute_prediction_error,spectral_provider
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,445,-3,0.008010260166846752,0.019818381416735698,0.011808121249888946,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,445,-2,0.034918853792116636,0.018837661802952085,0.01608119198916455,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,445,-1,0.0056801041935833135,0.07133049145854344,0.06565038726496013,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,445,0,0.582494920917335,0.4554895842770694,0.1270053366402656,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,445,1,0.00400693273757737,-0.03355295459840597,0.03755988733598334,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,445,2,0.06760712172826024,0.08894268444638169,0.021335562718121454,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,445,3,0.0035958058957808042,0.031604574438113556,0.02800876854233275,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,446,-3,0.006990987190689939,0.019830289374207784,0.012839302183517844,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,446,-2,0.041670676636884396,0.017905449290674245,0.02376522734621015,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,446,-1,0.014885701981987012,0.0707980640631583,0.05591236208117129,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,446,0,0.5673770610813758,0.4552427103093948,0.11213435077198097,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,446,1,0.004395352579229613,-0.027615478810122884,0.0320108313893525,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,446,2,0.07050837682224456,0.08621813474944766,0.015709757927203097,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,446,3,0.0009152228311499588,0.030826971957851963,0.029911749126702004,LF_ridge_residual/ensemble_raw
