geometry_id,fdtd_score_mean_eta_plus1_over_P_S_wavelength,surrogate_score_mean_eta_plus1_over_P_S_wavelength,sample_unit,ranking_provider
K6X_D100_D105_D110_D115_D190_D230,0.06336065325888735,0.03382244655354456,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D100_D105_D115_D120_D125_D130,0.2713510462425,0.24069943753155795,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D100_D105_D115_D165_D225_D230,0.0508883379795317,0.05508474565365098,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D100_D110_D115_D220_D225_D230,0.03439761299993363,0.03217612693763592,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D100_D115_D130_D145_D155_D185,0.8392356284439546,0.9758305712179705,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D100_D130_D135_D155_D160_D225,0.5969978890233182,0.7703041542660106,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D100_D140_D145_D155_D225_D230,0.3450666954400454,0.45573934370821173,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D100_D140_D165_D190_D225_D230,0.29505326159413714,0.40846148946068506,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D100_D200_D205_D210_D215_D220,0.028510101153450908,0.06869911233132536,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D105_D110_D115_D125_D165_D230,0.247279883614823,0.2184781161221591,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D105_D120_D125_D130_D165_D190,0.6454660361708795,0.7044390710917386,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D110_D125_D135_D150_D175_D190,0.8016856792466819,0.9863670468330383,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D110_D125_D135_D150_D175_D195,0.8128673652265515,0.9905913526361639,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D110_D190_D210_D215_D220_D225,0.020336596290162205,0.019768055364362557,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D120_D125_D180_D185_D190_D195,0.35630230402081814,0.45883905345743353,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D120_D145_D200_D215_D220_D230,0.18663604439465456,0.2287492426958951,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D125_D135_D150_D175_D190_D210,0.7768815145327728,0.9832320484248075,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D130_D145_D155_D180_D195_D230,0.8404566914551821,0.9776941971345381,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D135_D155_D190_D220_D225_D230,0.3831099643718596,0.7077936855229464,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D140_D160_D165_D170_D180_D190,0.18986773020295455,0.19763487035577948,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D150_D205_D215_D220_D225_D230,0.11291172642297126,0.12725833464752545,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
K6X_D200_D205_D215_D220_D225_D230,0.028923540120301957,0.018367477029228627,"one held-out K6 geometry (P/S paired, 11 wavelengths each)",LF_only/ensemble_raw
