geometry_id,geometry_hash,pilot_index,diameters,legacy_unentered_task_count,legacy_records,novelty_min_distance,novelty_mean_distance,novelty_max_distance,diameter_span_nm,adjacent_jump_min_nm,adjacent_jump_mean_nm,adjacent_jump_max_nm,gap_proxy_min_nm,design_boundary_distance_nm,design_boundary_distance_normalized,cnn_eta_uncertainty_mean,cnn_eta_uncertainty_max,cnn_T_uncertainty_mean,cnn_R_uncertainty_mean,cnn_all_order_uncertainty_mean,mlp_eta_uncertainty_mean,mlp_eta_uncertainty_max,mlp_T_uncertainty_mean,mlp_R_uncertainty_mean,cnn_mlp_eta_disagreement_mean,cnn_mlp_eta_disagreement_max,cnn_mlp_T_disagreement_mean,cnn_mlp_R_disagreement_mean,cnn_mlp_all_order_disagreement_mean,hf_model_lf_eta_residual_mean,hf_model_lf_eta_residual_max,hf_model_lf_spectrum_residual_mean,hf_model_lf_order_distribution_residual_mean,predicted_eta_plus1_mean,predicted_eta_plus1_min,predicted_eta_plus1_max,predicted_eta_plus1_450_p,predicted_eta_plus1_450_s,predicted_directionality_mean,predicted_directionality_450_p,predicted_directionality_450_s,lf_rank,lf_passing_status,lf_pareto_status,lf_authority_source,cnn_eta_uncertainty_mean_percentile,cnn_eta_uncertainty_max_percentile,cnn_T_uncertainty_mean_percentile,cnn_R_uncertainty_mean_percentile,cnn_all_order_uncertainty_mean_percentile,mlp_eta_uncertainty_mean_percentile,mlp_eta_uncertainty_max_percentile,mlp_T_uncertainty_mean_percentile,mlp_R_uncertainty_mean_percentile,cnn_mlp_eta_disagreement_mean_percentile,cnn_mlp_eta_disagreement_max_percentile,cnn_mlp_T_disagreement_mean_percentile,cnn_mlp_R_disagreement_mean_percentile,cnn_mlp_all_order_disagreement_mean_percentile,hf_model_lf_eta_residual_mean_percentile,hf_model_lf_spectrum_residual_mean_percentile,hf_model_lf_order_distribution_residual_mean_percentile,predicted_eta_plus1_mean_percentile,predicted_eta_plus1_min_percentile,predicted_eta_plus1_max_percentile,novelty_min_distance_percentile,novelty_mean_distance_percentile,novelty_max_distance_percentile,cnn_uncertainty_score,committee_uncertainty_score,disagreement_score,performance_score
K6X_D110_D125_D135_D150_D175_D190,e599c908c3befb142dacc503b37f1aefc68655082078b987ae553e49f60ec84f,1,"[110.0, 125.0, 135.0, 150.0, 175.0, 190.0]",0,[],0.19985201625794735,0.33958567015142177,0.4925480182640653,80.0,10.0,16.0,25.0,107.5,10.0,0.07692307692307693,0.00846732035279274,0.019070643931627274,0.008943772874772549,0.008620531298220158,0.0022696731612086296,0.007958171889185905,0.012466049753129482,0.004567028488963842,0.005087783094495535,0.013579287566244602,0.025652408599853516,0.013609390705823898,0.014871242456138134,0.003841366618871689,0.38391655922295537,0.4341655505823192,0.10620331104355338,0.04722879848977649,0.823453962802887,0.7883000373840332,0.8737030029296875,0.7893994450569153,0.85325026512146,0.9569721817970276,0.9475732445716858,0.9658517241477966,2,authoritative_passing,not_in_authoritative_pareto_set,D:\project\worktrees\blue_apcd_np_k6_mdc_v1\outputs\np_k6_p1d2_sixbin_exhaustive_ranking_27point_v1\passing_top8_detailed.json,0.06818181818181818,0.18181818181818182,0.11363636363636363,0.11363636363636363,0.13636363636363635,0.25,0.3181818181818182,0.25,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.5,0.5227272727272727,0.2727272727272727,0.4090909090909091,0.3409090909090909,0.3409090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.09090909090909091,0.09090909090909091,0.11363636363636363,0.10795454545454546,0.22017045454545453,0.3465909090909091,0.5909090909090909
K6X_D110_D125_D135_D150_D175_D195,8dec6f5b0c5e14724c2affbc607009cd1dc9594a8198830842a33521d111b112,2,"[110.0, 125.0, 135.0, 150.0, 175.0, 195.0]",0,[],0.21066252211737152,0.33007742229594755,0.46948290829745015,85.0,10.0,17.0,25.0,105.0,10.0,0.07692307692307693,0.008802643977105618,0.017664151266217232,0.008823953568935394,0.008541244082152843,0.0023048624861985445,0.008053028956055641,0.012447983957827091,0.004462519194930792,0.004959550686180592,0.01403434481471777,0.02574056386947632,0.012007973156869411,0.012909426353871822,0.003626154502853751,0.38819648084774383,0.4389339891663848,0.10761407297925636,0.04781037765488755,0.8222518563270569,0.786807119846344,0.8729893565177917,0.7878926396369934,0.8522804379463196,0.9570295214653015,0.9476336240768433,0.9659165740013123,3,authoritative_passing,authoritative_pareto_front,D:\project\worktrees\blue_apcd_np_k6_mdc_v1\outputs\np_k6_p1d2_sixbin_exhaustive_ranking_27point_v1\passing_top8_detailed.json,0.1590909090909091,0.11363636363636363,0.09090909090909091,0.09090909090909091,0.25,0.2727272727272727,0.29545454545454547,0.20454545454545456,0.25,0.13636363636363635,0.11363636363636363,0.3409090909090909,0.45454545454545453,0.1590909090909091,0.4318181818181818,0.38636363636363635,0.38636363636363635,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.13636363636363635,0.06818181818181818,0.09090909090909091,0.14772727272727273,0.21875,0.2727272727272727,0.5681818181818182
K6X_D110_D125_D135_D155_D175_D195,a3ad99978a51c5a5a648762b417ca3aafec573a1e02d054ff42fa2f542719e2f,3,"[110.0, 125.0, 135.0, 155.0, 175.0, 195.0]",0,[],0.2209447171745395,0.3201950967250851,0.45182077401810505,85.0,10.0,17.0,20.0,105.0,10.0,0.07692307692307693,0.008663500659167767,0.01890692114830017,0.0089907580986619,0.008672959171235561,0.0022988885175436735,0.007153523154556751,0.01086166687309742,0.003930517006665468,0.004488927312195301,0.015295540913939476,0.030239462852478027,0.009733506478369236,0.010452274233102798,0.0036130661610513926,0.38126210337817423,0.43229451380474754,0.10578615824234462,0.04709427092662784,0.820471465587616,0.7847967743873596,0.8715038895606995,0.7858927845954895,0.8507127165794373,0.9561483860015869,0.9465813040733337,0.9651914238929749,4,authoritative_passing,authoritative_pareto_front,D:\project\worktrees\blue_apcd_np_k6_mdc_v1\outputs\np_k6_p1d2_sixbin_exhaustive_ranking_27point_v1\passing_top8_detailed.json,0.11363636363636363,0.1590909090909091,0.13636363636363635,0.13636363636363635,0.20454545454545456,0.1590909090909091,0.20454545454545456,0.11363636363636363,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.22727272727272727,0.13636363636363635,0.36363636363636365,0.3181818181818182,0.3181818181818182,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.18181818181818182,0.045454545454545456,0.06818181818181818,0.14772727272727273,0.14488636363636365,0.17045454545454544,0.5454545454545454
K6X_D115_D125_D135_D155_D180_D195,6b0dc7669084190a35b027ffcb34fdd72c7abeb62142a2c3b5c97fe4747d18c8,4,"[115.0, 125.0, 135.0, 155.0, 180.0, 195.0]",0,[],0.26085884550481797,0.31760914498956866,0.4282895663715402,80.0,10.0,16.0,25.0,102.5,15.0,0.11538461538461539,0.00864529050886631,0.020489156246185303,0.00929432362318039,0.008914235979318619,0.0023322657216340303,0.007714168634265661,0.01167923491448164,0.004000504966825247,0.004544388968497515,0.0137685127556324,0.02534860372543335,0.013423713855445385,0.014494904316961765,0.003750123083591461,0.3817861471603175,0.4338314680829956,0.10632854987800205,0.04729965199890651,0.8157978653907776,0.779404878616333,0.8678432106971741,0.7805458903312683,0.8466576933860779,0.953740119934082,0.9437006711959839,0.9632226824760437,5,authoritative_passing,not_in_authoritative_pareto_set,D:\project\worktrees\blue_apcd_np_k6_mdc_v1\outputs\np_k6_p1d2_sixbin_exhaustive_ranking_27point_v1\passing_top8_detailed.json,0.09090909090909091,0.20454545454545456,0.1590909090909091,0.1590909090909091,0.2727272727272727,0.20454545454545456,0.25,0.1590909090909091,0.18181818181818182,0.11363636363636363,0.06818181818181818,0.4318181818181818,0.5,0.20454545454545456,0.38636363636363635,0.36363636363636365,0.36363636363636365,0.5227272727272727,0.5227272727272727,0.5227272727272727,0.20454545454545456,0.022727272727272728,0.022727272727272728,0.17045454545454544,0.1789772727272727,0.3125,0.5227272727272727
K6X_D125_D135_D150_D175_D195_D210,ba68207f7cbc118689cd26066f5c7ffe384d880c539cbbc9c6af112f2dc24d18,6,"[125.0, 135.0, 150.0, 175.0, 195.0, 210.0]",0,[],0.038461538461538436,0.24726370623775332,0.5188745216627707,85.0,10.0,17.0,25.0,87.5,20.0,0.15384615384615385,0.010303438641130924,0.029349489137530327,0.010737542062997818,0.010198968462646008,0.00288940267637372,0.006746928673237562,0.009159957990050316,0.004488494712859392,0.005207746755331755,0.016397209838032722,0.032952070236206055,0.011718627996742725,0.011263647116720676,0.0035922895185649395,0.3163019218698884,0.3811011222746625,0.09248212385859221,0.04214226606156745,0.7594118118286133,0.7143394351005554,0.824211061000824,0.715825080871582,0.7976970672607422,0.9243314266204834,0.9086021780967712,0.9391326904296875,7,authoritative_passing,authoritative_pareto_front,D:\project\worktrees\blue_apcd_np_k6_mdc_v1\outputs\np_k6_p1d2_sixbin_exhaustive_ranking_27point_v1\passing_top8_detailed.json,0.2727272727272727,0.36363636363636365,0.3181818181818182,0.3181818181818182,0.3409090909090909,0.13636363636363635,0.11363636363636363,0.22727272727272727,0.3181818181818182,0.20454545454545456,0.18181818181818182,0.3181818181818182,0.3409090909090909,0.11363636363636363,0.25,0.20454545454545456,0.20454545454545456,0.36363636363636365,0.36363636363636365,0.38636363636363635,0.0,0.0,0.1590909090909091,0.31249999999999994,0.24857954545454541,0.2443181818181818,0.36363636363636365
K6X_D110_D190_D210_D215_D220_D225,02a7beacb7a5e503de03a7aae4857727444d893b2052182e874bb2b2f32680e7,8,"[110.0, 190.0, 210.0, 215.0, 220.0, 225.0]",0,[],0.6583554911009112,0.8579495060905971,1.1627858813716134,115.0,5.0,23.0,80.0,67.5,5.0,0.038461538461538464,0.025773590430617332,0.034887079149484634,0.023597629740834236,0.023861177265644073,0.00570676801726222,0.014583289623260498,0.01838570274412632,0.02135634794831276,0.02276442013680935,0.027427740395069122,0.05255553126335144,0.061882175505161285,0.06415405124425888,0.011027446947991848,0.3801224039606686,0.47842143044992647,0.12449695149018397,0.055903224078772955,0.581152617931366,0.5156566500663757,0.6794516444206238,0.5183815956115723,0.6361276507377625,0.7998380064964294,0.7637639045715332,0.8331665396690369,,not_in_authoritative_passing_set,not_in_authoritative_pareto_set,,0.7727272727272727,0.5,0.9090909090909091,0.8863636363636364,0.8181818181818182,0.6136363636363636,0.5681818181818182,0.8863636363636364,0.9545454545454546,0.4772727272727273,0.4090909090909091,0.9545454545454546,0.9545454545454546,0.8409090909090909,0.3409090909090909,0.5909090909090909,0.6363636363636364,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.8863636363636364,0.8636363636363636,0.9090909090909091,0.8465909090909091,0.8252840909090909,0.8068181818181819,0.1590909090909091
K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,9,"[100.0, 105.0, 115.0, 120.0, 125.0, 130.0]",0,[],0.5370861555295746,0.8928632019262327,1.156407413720993,30.0,5.0,6.0,10.0,162.5,0.0,0.0,0.008926711976528168,0.014681302011013031,0.008357792161405087,0.008093618787825108,0.0019243137212470174,0.02461749128997326,0.034325506538152695,0.00831444002687931,0.006432332098484039,0.09043797105550766,0.11314719915390015,0.013910719193518162,0.007750211749225855,0.012062557972967625,0.43830917854789786,0.4737305852287852,0.11581119988504666,0.05092025569356475,0.8823288083076477,0.8574450016021729,0.9177501797676086,0.8582074642181396,0.9032711982727051,0.9783348441123962,0.9734398126602173,0.9829776287078857,,not_in_authoritative_passing_set,not_in_authoritative_pareto_set,,0.18181818181818182,0.0,0.06818181818181818,0.06818181818181818,0.022727272727272728,0.8409090909090909,0.9090909090909091,0.4772727272727273,0.4090909090909091,0.9772727272727273,0.9772727272727273,0.5454545454545454,0.09090909090909091,0.8863636363636364,0.5909090909090909,0.5,0.5,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.8409090909090909,0.9090909090909091,0.8863636363636364,0.08522727272727272,0.453125,0.625,0.9772727272727273
K6X_D100_D130_D135_D165_D170_D230,01760c3660d3ba0cd0a5960d3899d61c6ce51c703445eb29e43fc16af24a4555,10,"[100.0, 130.0, 135.0, 165.0, 170.0, 230.0]",0,[],0.3240826835837061,0.3710676119519786,0.4142434467026541,130.0,5.0,26.0,60.0,90.0,0.0,0.0,0.015781749039888382,0.02942328155040741,0.012026404961943626,0.011776444502174854,0.0029709264636039734,0.005289950408041477,0.005943425465375185,0.0027939879801124334,0.0026473605539649725,0.03980058804154396,0.07335394620895386,0.036105550825595856,0.03474771976470947,0.005979787092655897,0.4525699151406032,0.5085713616044483,0.12835347691633728,0.056227560132465146,0.8049089908599854,0.7661764025688171,0.8609104156494141,0.7671308517456055,0.8376955389976501,0.9549819827079773,0.9451691508293152,0.9644134044647217,,not_in_authoritative_passing_set,not_in_authoritative_pareto_set,,0.4318181818181818,0.38636363636363635,0.4090909090909091,0.4090909090909091,0.4318181818181818,0.09090909090909091,0.022727272727272728,0.0,0.0,0.6818181818181818,0.7727272727272727,0.9318181818181818,0.8636363636363636,0.5681818181818182,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.38636363636363635,0.11363636363636363,0.0,0.42045454545454547,0.1278409090909091,0.7613636363636364,0.45454545454545453
K6X_D110_D120_D130_D220_D225_D230,1349c3d97f9e4cadcb81c54d0a5e5c1f184b70035d02e442c130543a2558cc35,11,"[110.0, 120.0, 130.0, 220.0, 225.0, 230.0]",0,[],0.4955422587201972,0.6258611165399907,0.8660254037844388,120.0,5.0,24.0,90.0,62.5,0.0,0.0,0.020676925778388977,0.036440297961235046,0.0170770063996315,0.016555912792682648,0.0031247541774064302,0.012183865532279015,0.013153644278645515,0.008517528884112835,0.008819881826639175,0.03192906454205513,0.06059920787811279,0.023302314803004265,0.02171444334089756,0.004098179750144482,0.5079859976136106,0.5582069341503995,0.14247574189249648,0.0618503121181542,0.8302642703056335,0.7955296635627747,0.8804852366447449,0.7962296009063721,0.859522819519043,0.9702284932136536,0.96366947889328,0.976689875125885,,not_in_authoritative_passing_set,not_in_authoritative_pareto_set,,0.6136363636363636,0.5227272727272727,0.6818181818181818,0.6590909090909091,0.4772727272727273,0.4090909090909091,0.3409090909090909,0.5,0.5454545454545454,0.5681818181818182,0.5227272727272727,0.7272727272727273,0.6818181818181818,0.36363636363636365,0.7954545454545454,0.7727272727272727,0.7727272727272727,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.7727272727272727,0.6590909090909091,0.6590909090909091,0.6079545454545454,0.515625,0.5852272727272727,0.6818181818181818
K6X_D190_D195_D200_D205_D210_D215,2783d2e043b5c2adf0e3bd8e11f603689297d2d140a249c79932d99e0335166a,12,"[190.0, 195.0, 200.0, 205.0, 210.0, 215.0]",0,[],0.737820234355803,0.9434363769361238,1.2622183908786107,25.0,5.0,5.0,5.0,77.5,15.0,0.11538461538461539,0.04764091968536377,0.10466476529836655,0.026474446058273315,0.027515793219208717,0.008176198229193687,0.0480552576482296,0.05321886017918587,0.022951049730181694,0.01549818180501461,0.0518556572496891,0.0822383463382721,0.011645715683698654,0.03629898652434349,0.011515188962221146,0.16664871810468337,0.22999011894474908,0.06472952342029485,0.03109480339655533,0.2860109210014343,0.22266952693462372,0.39186838269233704,0.22726941108703613,0.33540499210357666,0.4475215971469879,0.3922678530216217,0.49604299664497375,,not_in_authoritative_passing_set,not_in_authoritative_pareto_set,,1.0,1.0,0.9545454545454546,0.9318181818181818,1.0,0.9772727272727273,0.9772727272727273,0.9318181818181818,0.8181818181818182,0.8636363636363636,0.8636363636363636,0.2727272727272727,0.8863636363636364,0.8636363636363636,0.09090909090909091,0.06818181818181818,0.06818181818181818,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.9545454545454546,0.9545454545454546,0.9318181818181818,0.9715909090909091,0.9247159090909091,0.7215909090909091,0.022727272727272728
