variant,group,value,n,eta_plus1_mae
M5_ORIGINAL_RESIDUAL,polarization,p,143,0.5263865507974791
M5_ORIGINAL_RESIDUAL,polarization,s,143,0.4686344558689359
M5_ORIGINAL_RESIDUAL,wavelength_nm,445,26,0.512073410875982
M5_ORIGINAL_RESIDUAL,wavelength_nm,446,26,0.5125465002719893
M5_ORIGINAL_RESIDUAL,wavelength_nm,447,26,0.500853800918499
M5_ORIGINAL_RESIDUAL,wavelength_nm,448,26,0.5094313844244359
M5_ORIGINAL_RESIDUAL,wavelength_nm,449,26,0.4976608732100166
M5_ORIGINAL_RESIDUAL,wavelength_nm,450,26,0.5064438769013615
M5_ORIGINAL_RESIDUAL,wavelength_nm,451,26,0.5068193563070096
M5_ORIGINAL_RESIDUAL,wavelength_nm,452,26,0.5019413459100928
M5_ORIGINAL_RESIDUAL,wavelength_nm,453,26,0.48573090791312346
M5_ORIGINAL_RESIDUAL,wavelength_nm,454,26,0.47846707497664315
M5_ORIGINAL_RESIDUAL,wavelength_nm,455,26,0.4606470049561289
M5B_CORRECTED_NO_REFIT_RESIDUAL,polarization,p,143,0.16487409197013933
M5B_CORRECTED_NO_REFIT_RESIDUAL,polarization,s,143,0.1297577554204698
M5B_CORRECTED_NO_REFIT_RESIDUAL,wavelength_nm,445,26,0.13813833498046382
M5B_CORRECTED_NO_REFIT_RESIDUAL,wavelength_nm,446,26,0.14205358681864924
M5B_CORRECTED_NO_REFIT_RESIDUAL,wavelength_nm,447,26,0.1294254868040059
M5B_CORRECTED_NO_REFIT_RESIDUAL,wavelength_nm,448,26,0.15766096224472678
M5B_CORRECTED_NO_REFIT_RESIDUAL,wavelength_nm,449,26,0.16814007896600858
M5B_CORRECTED_NO_REFIT_RESIDUAL,wavelength_nm,450,26,0.1459085272251811
M5B_CORRECTED_NO_REFIT_RESIDUAL,wavelength_nm,451,26,0.14589678532629086
M5B_CORRECTED_NO_REFIT_RESIDUAL,wavelength_nm,452,26,0.14728226513619228
M5B_CORRECTED_NO_REFIT_RESIDUAL,wavelength_nm,453,26,0.15227986521815143
M5B_CORRECTED_NO_REFIT_RESIDUAL,wavelength_nm,454,26,0.15098642009700106
M5B_CORRECTED_NO_REFIT_RESIDUAL,wavelength_nm,455,26,0.14270284783167925
