geometry_id,polarization,wavelength_nm,output,delta_hf_minus_lf,lf_available,source
K6X_D110_D190_D210_D215_D220_D225,p,445,eta_plus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,445,eta_0,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,445,eta_minus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,445,T_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,445,R_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,446,eta_plus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,446,eta_0,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,446,eta_minus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,446,T_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,446,R_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,447,eta_plus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,447,eta_0,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,447,eta_minus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,447,T_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,447,R_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,448,eta_plus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,448,eta_0,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,448,eta_minus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,448,T_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,p,448,R_total,,False,no_authoritative_m6_lf_row
