scope,metric,mean,median,p90,max
HF16,abs_delta_eta_plus1,0.08992884389215504,0.05240456315968067,0.22707805099776313,0.5012732050472526
HF16,abs_delta_eta_0,0.08724856162759863,0.03690694850788621,0.253464380138271,0.5499348915026867
HF16,abs_delta_eta_minus1,0.015514794445129059,0.007730200488195234,0.039469927697771884,0.08457983185879865
HF16,abs_delta_R_total,0.10452852411107622,0.07263586636649771,0.2513209271893229,0.47954112614346245
HF16,abs_delta_T_total,0.10486947142143975,0.07328644186155103,0.2498276539156189,0.4784733313673744
HF16,full_order_profile_l1,0.26124539026293986,0.21290115088406403,0.5345927507766199,0.7028511843684503
M7A4,abs_delta_eta_plus1,0.11783882286000602,0.03786458621744915,0.3129516988746146,0.48491484790217426
M7A4,abs_delta_eta_0,0.04946171114856445,0.03788134486126776,0.09733516536736836,0.17124813111682186
M7A4,abs_delta_eta_minus1,0.01894033031554069,0.011701975321617791,0.03568622810016574,0.09349654741700959
M7A4,abs_delta_R_total,0.1022551459179951,0.09721153702810749,0.16863805462187675,0.3424500093926831
M7A4,abs_delta_T_total,0.10245122120111759,0.09763510217068017,0.1701814428596382,0.3434243401095496
M7A4,full_order_profile_l1,0.2795491055079284,0.20731065788493305,0.5773374281149629,0.8134404315712701
HF20,abs_delta_eta_plus1,0.09551083968572524,0.051763421653340996,0.23806877227421785,0.5012732050472526
HF20,abs_delta_eta_0,0.07969119153179179,0.03707928805908596,0.23604633959569346,0.5499348915026867
HF20,abs_delta_eta_minus1,0.016199901619211383,0.009061156652698413,0.039239497489500993,0.09349654741700959
HF20,abs_delta_R_total,0.10407384847246,0.08248120112563022,0.2380088573467644,0.47954112614346245
HF20,abs_delta_T_total,0.10438582137737532,0.08299955850451857,0.24122805784108936,0.4784733313673744
HF20,full_order_profile_l1,0.2649061333119376,0.21290115088406403,0.5370493223451199,0.8134404315712701
