scope,metric,n,mean,median,p90,max
HF16,eta_plus1,352,0.3796891772600363,0.290266523553,0.8403536955377001,0.94424041148
M7A_new4,eta_plus1,88,0.3275565802092075,0.1054404382833212,0.8424048710090805,0.9286988778605562
HF20,eta_plus1,440,0.3692626578498705,0.2787395711975,0.8409205727728001,0.94424041148
HF16,eta_0,352,0.25473195823668443,0.196622519703,0.6606492695622849,0.826354862066
M7A_new4,eta_0,88,0.3063373918878758,0.2573396456778883,0.6710094536400939,0.7152682078733672
HF20,eta_0,440,0.26505304496692267,0.196622519703,0.6676496035241526,0.826354862066
HF16,eta_minus1,352,0.03987150422371846,0.014720635673843506,0.11791736885000005,0.291556896667
M7A_new4,eta_minus1,88,0.026104587141166914,0.017640187527015943,0.05596917766431762,0.1243385664856294
HF20,eta_minus1,440,0.03711812080720815,0.014954648578157202,0.09959423844754009,0.291556896667
HF16,R,352,0.2185687024235367,0.19947051281121814,0.4249007849704573,0.7338219713638774
M7A_new4,R,88,0.1965149388355811,0.15957406387930229,0.36541509301333636,0.4853608730881789
HF20,R,440,0.2141579497059456,0.19007954866127263,0.4022637952327568,0.7338219713638774
HF16,T,352,0.7811772310477294,0.8004796296961947,0.9324514765660197,0.9748844354072433
M7A_new4,T,88,0.8032502167417648,0.8396862456816807,0.9269361355046873,0.9474917237076945
HF20,T,440,0.7855918281865366,0.8096979396258488,0.9283673090141186,0.9748844354072433
HF16,PS_abs_eta_plus1,176,0.08762444523893897,0.061430973064203774,0.20931175735104998,0.501273205047
M7A_new4,PS_abs_eta_plus1,44,0.11783882286000602,0.03786458621744915,0.3121529026876332,0.48491484790217426
HF20,PS_abs_eta_plus1,220,0.09366732076315239,0.05240456315968067,0.233627637019,0.501273205047
HF16,PS_abs_eta_0,176,0.085799909266309,0.02811681066277499,0.2518348226395,0.549934891503
M7A_new4,PS_abs_eta_0,44,0.04946171114856445,0.03788134486126776,0.09615873250498999,0.17124813111682186
HF20,PS_abs_eta_0,220,0.0785322696427601,0.03560116247304143,0.2364762547781241,0.549934891503
HF16,PS_abs_eta_minus1,176,0.01547292759970852,0.008180032086364999,0.03935471259363644,0.08457983185879865
M7A_new4,PS_abs_eta_minus1,44,0.018940330315540693,0.011701975321617791,0.03524625755533246,0.09349654741700959
HF20,PS_abs_eta_minus1,220,0.01616640814287495,0.009061156652698413,0.039262540510328084,0.09349654741700959
