model,geometry_id,polarization,order_n,mean_hf_minus_model,mae_hf_minus_model,p90_abs_hf_minus_model,max_abs_hf_minus_model
LF_only,K6X_D100_D105_D110_D115_D190_D230,p,-3,-0.06854170278871287,0.06854170278871287,0.08176841938193759,0.08639718807753768
LF_only,K6X_D100_D105_D110_D115_D190_D230,p,-2,-0.035160190087762104,0.035160190087762104,0.044254910908469766,0.049369567292379214
LF_only,K6X_D100_D105_D110_D115_D190_D230,p,-1,-0.0033462073001751737,0.0033462073001751737,0.005804720168435407,0.006161280799870249
LF_only,K6X_D100_D105_D110_D115_D190_D230,p,0,-0.0021318199918364407,0.03895905557215487,0.05702790670688229,0.18592891145128693
LF_only,K6X_D100_D105_D110_D115_D190_D230,p,1,0.024698710038479232,0.024698710038479232,0.03290204646022432,0.07459590951489244
LF_only,K6X_D100_D105_D110_D115_D190_D230,p,2,-0.02954837569495254,0.02954837569495254,0.03869752426456662,0.04324443060285489
LF_only,K6X_D100_D105_D110_D115_D190_D230,p,3,-0.04604967624748866,0.04604967624748866,0.06900072438165232,0.07159563352871659
LF_only,K6X_D100_D105_D110_D115_D190_D230,s,-3,-0.04964266626948206,0.04964266626948206,0.06388182348811138,0.07092053988165846
LF_only,K6X_D100_D105_D110_D115_D190_D230,s,-2,-0.007064517038385146,0.013869057037295135,0.028826772698768037,0.04133781552200461
LF_only,K6X_D100_D105_D110_D115_D190_D230,s,-1,0.003996778930309548,0.003996778930309548,0.005468602587443614,0.00555533050591182
LF_only,K6X_D100_D105_D110_D115_D190_D230,s,0,-0.02652921625346308,0.02652921625346308,0.04100268865422896,0.04339463816317923
LF_only,K6X_D100_D105_D110_D115_D190_D230,s,1,0.03437770337220635,0.03437770337220635,0.03563899061020286,0.040751434751271305
LF_only,K6X_D100_D105_D110_D115_D190_D230,s,2,-0.02317325177402637,0.02317325177402637,0.02893129296382758,0.03025649873219855
LF_only,K6X_D100_D105_D110_D115_D190_D230,s,3,-0.022030783066916085,0.022030783066916085,0.028099227126859944,0.03279162891814917
LF_only,K6X_D100_D105_D115_D120_D125_D130,p,-3,-0.004672467038951869,0.004672467038951869,0.005370174100891989,0.00576022963138932
LF_only,K6X_D100_D105_D115_D120_D125_D130,p,-2,-0.008897922966993396,0.008897922966993396,0.009222375298675457,0.009248269132333519
LF_only,K6X_D100_D105_D115_D120_D125_D130,p,-1,-0.009558452405461819,0.009558452405461819,0.010328264981911417,0.0105094247827405
LF_only,K6X_D100_D105_D115_D120_D125_D130,p,0,-0.03329818948824145,0.03329818948824145,0.03545440172406489,0.0355692111239192
LF_only,K6X_D100_D105_D115_D120_D125_D130,p,1,0.029663173650442062,0.029663173650442062,0.03326187995687768,0.03397084515831117
LF_only,K6X_D100_D105_D115_D120_D125_D130,p,2,-0.0058345238517619295,0.0058345238517619295,0.007774514183789348,0.008463747165154217
LF_only,K6X_D100_D105_D115_D120_D125_D130,p,3,-0.009284371640366414,0.009284371640366414,0.01031662544581199,0.010731727439309318
LF_only,K6X_D100_D105_D115_D120_D125_D130,s,-3,-0.00673256258287914,0.00673256258287914,0.008182429724691988,0.008754351390189319
LF_only,K6X_D100_D105_D115_D120_D125_D130,s,-2,-0.004013949459502487,0.004013949459502487,0.005333349485547749,0.005938880391233522
LF_only,K6X_D100_D105_D115_D120_D125_D130,s,-1,-0.01200826636217091,0.01200826636217091,0.013303060343111073,0.013394779310550962
LF_only,K6X_D100_D105_D115_D120_D125_D130,s,0,-0.03461030948951418,0.03461030948951418,0.035541877630821284,0.03619041582006499
LF_only,K6X_D100_D105_D115_D120_D125_D130,s,1,0.03164004377144205,0.03164004377144205,0.03513376253387768,0.03565594268831118
LF_only,K6X_D100_D105_D115_D120_D125_D130,s,2,0.00886505473123807,0.00886505473123807,0.009329728199870414,0.009333113931513273
LF_only,K6X_D100_D105_D115_D120_D125_D130,s,3,-0.011648882591149141,0.011648882591149141,0.01259229689478199,0.012968070572289318
LF_only,K6X_D100_D105_D115_D165_D225_D230,p,-3,-0.03927312561534188,0.04010792357048393,0.0662180465640804,0.06788056239889842
LF_only,K6X_D100_D105_D115_D165_D225_D230,p,-2,0.015337842150716475,0.016105722530174768,0.03417899793814472,0.04791465913686854
LF_only,K6X_D100_D105_D115_D165_D225_D230,p,-1,-0.02531402756800682,0.033347962212984375,0.0685234542726729,0.07331465395662451
LF_only,K6X_D100_D105_D115_D165_D225_D230,p,0,-0.032880139296390096,0.13549778544100397,0.16921302834238156,0.2745876408252113
LF_only,K6X_D100_D105_D115_D165_D225_D230,p,1,0.0037061936992894796,0.015088396925769642,0.028998131225839524,0.03872400085557659
LF_only,K6X_D100_D105_D115_D165_D225_D230,p,2,-0.05356609650026149,0.056429881771976935,0.08659955497591826,0.11352082875722286
LF_only,K6X_D100_D105_D115_D165_D225_D230,p,3,-0.03291883883284047,0.03443471014465618,0.0603757387732678,0.061059609100940236
LF_only,K6X_D100_D105_D115_D165_D225_D230,s,-3,-0.04804586526790631,0.04804586526790631,0.09035535710268372,0.09037853164328363
LF_only,K6X_D100_D105_D115_D165_D225_D230,s,-2,-0.008385723452870732,0.015378787953825085,0.030266719992660004,0.035643600679692605
LF_only,K6X_D100_D105_D115_D165_D225_D230,s,-1,-0.038441302860645336,0.05203955080416096,0.10274311389006101,0.10900088205679025
LF_only,K6X_D100_D105_D115_D165_D225_D230,s,0,-0.05696828562036973,0.1791572318670222,0.24143959082597582,0.326484879486673
LF_only,K6X_D100_D105_D115_D165_D225_D230,s,1,-0.012099009047528047,0.022890003379692637,0.032483620790205586,0.037527061569928855
LF_only,K6X_D100_D105_D115_D165_D225_D230,s,2,-0.07364805928435438,0.07364805928435438,0.12427081175176978,0.13108749038587186
LF_only,K6X_D100_D105_D115_D165_D225_D230,s,3,-0.010549164967397825,0.04105299515687784,0.07230703799554067,0.08055115664418158
LF_only,K6X_D100_D110_D115_D220_D225_D230,p,-3,0.005021345671120806,0.010476189603082203,0.02074088607750471,0.022967090322616082
LF_only,K6X_D100_D110_D115_D220_D225_D230,p,-2,-0.019511059236364817,0.02056245216687549,0.029336239278396483,0.033440563804813556
LF_only,K6X_D100_D110_D115_D220_D225_D230,p,-1,-0.0021600337301327984,0.004075015225071903,0.008714336698213806,0.009464629988646892
LF_only,K6X_D100_D110_D115_D220_D225_D230,p,0,-0.1499256168599445,0.1499256168599445,0.23445729945660332,0.23964573244050857
LF_only,K6X_D100_D110_D115_D220_D225_D230,p,1,0.008885687933376808,0.025113385592848748,0.04106703309707982,0.04611249156255923
LF_only,K6X_D100_D110_D115_D220_D225_D230,p,2,-0.03992131128620586,0.03992131128620586,0.07062660618113335,0.07101713908407432
LF_only,K6X_D100_D110_D115_D220_D225_D230,p,3,-0.002299102645511831,0.006385227885249519,0.01740921244559952,0.01793424881630009
LF_only,K6X_D100_D110_D115_D220_D225_D230,s,-3,-0.0005573890992301036,0.011877600238781984,0.01619702013608807,0.020857306237647793
LF_only,K6X_D100_D110_D115_D220_D225_D230,s,-2,-0.01897924226055854,0.024468905995992715,0.03571438784921209,0.036102287105950405
LF_only,K6X_D100_D110_D115_D220_D225_D230,s,-1,-0.0018911826476873444,0.004806362101543439,0.009607937812516893,0.009663028399223807
LF_only,K6X_D100_D110_D115_D220_D225_D230,s,0,-0.0875176428122172,0.0875176428122172,0.12005358708369851,0.13280293962056444
LF_only,K6X_D100_D110_D115_D220_D225_D230,s,1,-0.004442715808781376,0.02451708638525284,0.05021017957699342,0.05091451259457717
LF_only,K6X_D100_D110_D115_D220_D225_D230,s,2,-0.048522025514924044,0.048522025514924044,0.06284657758854878,0.06377354168243335
LF_only,K6X_D100_D110_D115_D220_D225_D230,s,3,-0.007096650306768012,0.008974268692215613,0.02035338891913807,0.022039460728499518
LF_only,K6X_D100_D115_D130_D145_D155_D185,p,-3,-0.0022418995340088314,0.0022418995340088314,0.003844102733310661,0.004129239322787897
LF_only,K6X_D100_D115_D130_D145_D155_D185,p,-2,0.002421154371782559,0.002421154371782559,0.002732989811070531,0.0029968672528303125
LF_only,K6X_D100_D115_D130_D145_D155_D185,p,-1,0.002843355817309495,0.0036799665312078375,0.00460615549465164,0.004609548130563039
