from_monitor,to_monitor,wavelength_nm,flux_a,flux_b,delta_F,abs_delta_F
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,445,-0.2273862072872875,0.7719242492114343,0.9993104564987219,0.9993104564987219
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,446,-0.23094809991077045,0.7685102527360586,0.999458352646829,0.999458352646829
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,447,-0.23452927728003128,0.7648447775427836,0.9993740548228148,0.9993740548228148
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,448,-0.49372990190741683,0.5054042955492656,0.9991341974566824,0.9991341974566824
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,449,-0.3369684860644096,0.6624968165683591,0.9994653026327687,0.9994653026327687
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,450,-0.2609240740659405,0.7386410379182621,0.9995651119842026,0.9995651119842026
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,451,-0.2528796562388214,0.7468778213398682,0.9997574775786897,0.9997574775786897
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,452,-0.24804576218377108,0.7516125077823929,0.9996582699661639,0.9996582699661639
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,453,-0.24319121803490068,0.7566477988115651,0.9998390168464657,0.9998390168464657
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,454,-0.23829806638826284,0.7616249960037613,0.9999230623920241,0.9999230623920241
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,455,-0.23332675592863114,0.7665219639936293,0.9998487199222604,0.9998487199222604
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,445,0.7719242492114343,0.7719238570027422,-3.922086920793433e-07,3.922086920793433e-07
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,446,0.7685102527360586,0.7685054206526635,-4.83208339507879e-06,4.83208339507879e-06
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,447,0.7648447775427836,0.7648456034697252,8.259269416166504e-07,8.259269416166504e-07
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,448,0.5054042955492656,0.5053708003605148,-3.3495188750731764e-05,3.3495188750731764e-05
