diameter_nm,radius_nm,gap_nm,height_nm,aspect_ratio,case_id
100,50.0,190,500,5.0,NP_P1D2_BROADBAND_PILLAR_H500_D100_X
105,52.5,185,500,4.761904761904762,NP_P1D2_BROADBAND_PILLAR_H500_D105_X
110,55.0,180,500,4.545454545454546,NP_P1D2_BROADBAND_PILLAR_H500_D110_X
115,57.5,175,500,4.3478260869565215,NP_P1D2_BROADBAND_PILLAR_H500_D115_X
120,60.0,170,500,4.166666666666667,NP_P1D2_BROADBAND_PILLAR_H500_D120_X
125,62.5,165,500,4.0,NP_P1D2_BROADBAND_PILLAR_H500_D125_X
130,65.0,160,500,3.8461538461538463,NP_P1D2_BROADBAND_PILLAR_H500_D130_X
135,67.5,155,500,3.7037037037037037,NP_P1D2_BROADBAND_PILLAR_H500_D135_X
140,70.0,150,500,3.5714285714285716,NP_P1D2_BROADBAND_PILLAR_H500_D140_X
145,72.5,145,500,3.4482758620689653,NP_P1D2_BROADBAND_PILLAR_H500_D145_X
150,75.0,140,500,3.3333333333333335,NP_P1D2_BROADBAND_PILLAR_H500_D150_X
155,77.5,135,500,3.225806451612903,NP_P1D2_BROADBAND_PILLAR_H500_D155_X
160,80.0,130,500,3.125,NP_P1D2_BROADBAND_PILLAR_H500_D160_X
165,82.5,125,500,3.0303030303030303,NP_P1D2_BROADBAND_PILLAR_H500_D165_X
170,85.0,120,500,2.9411764705882355,NP_P1D2_BROADBAND_PILLAR_H500_D170_X
175,87.5,115,500,2.857142857142857,NP_P1D2_BROADBAND_PILLAR_H500_D175_X
185,92.5,105,500,2.7027027027027026,NP_P1D2_BROADBAND_PILLAR_H500_D185_X
190,95.0,100,500,2.6315789473684212,NP_P1D2_BROADBAND_PILLAR_H500_D190_X
195,97.5,95,500,2.5641025641025643,NP_P1D2_BROADBAND_PILLAR_H500_D195_X
200,100.0,90,500,2.5,NP_P1D2_BROADBAND_PILLAR_H500_D200_X
205,102.5,85,500,2.4390243902439024,NP_P1D2_BROADBAND_PILLAR_H500_D205_X
210,105.0,80,500,2.380952380952381,NP_P1D2_BROADBAND_PILLAR_H500_D210_X
215,107.5,75,500,2.3255813953488373,NP_P1D2_BROADBAND_PILLAR_H500_D215_X
220,110.0,70,500,2.272727272727273,NP_P1D2_BROADBAND_PILLAR_H500_D220_X
225,112.5,65,500,2.2222222222222223,NP_P1D2_BROADBAND_PILLAR_H500_D225_X
230,115.0,60,500,2.1739130434782608,NP_P1D2_BROADBAND_PILLAR_H500_D230_X
