rank,diameters_nm,phase_fit_RMS_band_max,maximum_phase_error_over_band,maximum_step_drift_peak_to_peak,amplitude_CV_band_max,minimum_T_over_band,all_legacy_engineering_gates_pass
1,"125,135,150,175,190,210",7.503439903259277,13.213117599487305,23.423418045043945,0.0683215856552124,0.7140700817108154,True
2,"125,135,150,175,195,210",7.5433478355407715,14.88916015625,23.423418045043945,0.0663515105843544,0.7140700817108154,True
3,"110,125,135,150,175,195",7.593652725219727,10.696797370910645,23.090913772583008,0.049598656594753265,0.740563690662384,True
4,"125,135,150,175,195,225",7.645719051361084,15.147993087768555,30.939939498901367,0.06696566939353943,0.6641677618026733,False
5,"110,125,135,150,175,190",7.877202033996582,14.240406036376953,23.090913772583008,0.04973408952355385,0.740563690662384,True
6,"125,135,150,175,190,225",7.934830188751221,12.34378719329834,30.939939498901367,0.06726349890232086,0.6641677618026733,False
7,"100,115,130,145,155,185",8.089579582214355,13.707109451293945,17.041133880615234,0.006837165914475918,0.9550254940986633,True
8,"110,125,135,155,175,195",8.526190757751465,12.7985258102417,23.090913772583008,0.04869336262345314,0.740563690662384,True
9,"100,120,130,145,155,185",8.920047760009766,15.412379264831543,17.041133880615234,0.00695557938888669,0.9550254940986633,False
10,"115,125,135,150,175,195",9.428601264953613,19.53635597229004,23.090913772583008,0.04932662472128868,0.740563690662384,False
11,"115,125,135,155,175,195",9.534561157226562,15.95218276977539,23.090913772583008,0.048389289528131485,0.740563690662384,False
12,"115,130,145,155,185,195",9.690834999084473,18.149145126342773,17.554298400878906,0.014239831827580929,0.909990131855011,False
13,"125,135,155,175,195,230",9.803101539611816,16.757883071899414,26.52430534362793,0.048640333116054535,0.740563690662384,False
14,"110,125,135,155,175,190",10.22950267791748,15.473182678222656,23.090913772583008,0.04907166585326195,0.740563690662384,False
15,"125,135,150,160,195,210",10.311951637268066,16.258922576904297,46.29981994628906,0.1859664022922516,0.27601373195648193,False
16,"125,135,150,160,195,225",10.367615699768066,16.532257080078125,46.29981994628906,0.18505722284317017,0.27601373195648193,False
17,"125,135,155,175,195,210",10.405106544494629,18.47333526611328,23.423418045043945,0.06481608748435974,0.7140700817108154,False
18,"125,135,155,175,195,225",10.497249603271484,18.732168197631836,30.939939498901367,0.06646788865327835,0.6641677618026733,False
19,"100,120,130,145,155,190",10.673612594604492,18.516647338867188,18.264352798461914,0.006630369462072849,0.9550254940986633,False
20,"115,125,145,155,175,195",10.7117280960083,19.35879898071289,17.554298400878906,0.014815548434853554,0.909990131855011,False
21,"110,125,135,150,160,195",10.794411659240723,20.238359451293945,46.29981994628906,0.18852496147155762,0.27601373195648193,False
22,"100,115,130,145,170,185",10.819682121276855,20.22284698486328,40.431671142578125,0.1586739420890808,0.3582616448402405,False
