wavelength_nm,frequency_hz,tio2_n,tio2_k,tio2_epsilon_real,tio2_epsilon_imag,sio2_n,sio2_k,sio2_epsilon_real,sio2_epsilon_imag,original_storage_domain,interpolation_status,source_file_sha256,loader_version
445,673690916853932.5,2.5470274950277694,0.0,6.487349060427433,0.0,1.4264165533498672,0.0,2.034664183670514,0.0,complex_epsilon_frequency_hz,canonical_linear_frequency,3f924764311cab5fb824f229a26870eca65f22f05419b985047f151529230edb,apcd_material_library
446,672180399103139.0,2.54506663788159,0.0,6.477364191257901,0.0,1.4263686782876022,0.0,2.034527606399921,0.0,complex_epsilon_frequency_hz,canonical_linear_frequency,3f924764311cab5fb824f229a26870eca65f22f05419b985047f151529230edb,apcd_material_library
447,670676639821029.0,2.543113052366766,0.0,6.467423997118209,0.0,1.4263210158352546,0.0,2.034391640213313,0.0,complex_epsilon_frequency_hz,canonical_linear_frequency,3f924764311cab5fb824f229a26870eca65f22f05419b985047f151529230edb,apcd_material_library
448,669179593750000.0,2.541166696390698,0.0,6.457528178845213,0.0,1.4262735645796039,0.0,2.0342562810186093,0.0,complex_epsilon_frequency_hz,canonical_linear_frequency,3f924764311cab5fb824f229a26870eca65f22f05419b985047f151529230edb,apcd_material_library
449,667689216035634.8,2.5392275281945325,0.0,6.447676439940916,0.0,1.4262263231199266,0.0,2.034121524760185,0.0,complex_epsilon_frequency_hz,canonical_linear_frequency,3f924764311cab5fb824f229a26870eca65f22f05419b985047f151529230edb,apcd_material_library
450,666205462222222.1,2.5372955063497944,0.0,6.437868486542859,0.0,1.4261792900678596,0.0,2.0339873674184643,0.0,complex_epsilon_frequency_hz,canonical_linear_frequency,3f924764311cab5fb824f229a26870eca65f22f05419b985047f151529230edb,apcd_material_library
451,664728288248337.0,2.5353911456188496,0.0,6.428208261282462,0.0,1.426132588957751,0.0,2.0338541612873375,0.0,complex_epsilon_frequency_hz,canonical_linear_frequency,3f924764311cab5fb824f229a26870eca65f22f05419b985047f151529230edb,apcd_material_library
452,663257650442477.9,2.533611573986554,0.0,6.419187607838624,0.0,1.4260868082121392,0.0,2.033723584556687,0.0,complex_epsilon_frequency_hz,canonical_linear_frequency,3f924764311cab5fb824f229a26870eca65f22f05419b985047f151529230edb,apcd_material_library
453,661793505518763.8,2.5318386166340274,0.0,6.410206780679306,0.0,1.426041228129027,0.0,2.0335935843237434,0.0,complex_epsilon_frequency_hz,canonical_linear_frequency,3f924764311cab5fb824f229a26870eca65f22f05419b985047f151529230edb,apcd_material_library
454,660335810572687.2,2.5300722354579577,0.0,6.4012655166352275,0.0,1.4259958473919376,0.0,2.0334641567790506,0.0,complex_epsilon_frequency_hz,canonical_linear_frequency,3f924764311cab5fb824f229a26870eca65f22f05419b985047f151529230edb,apcd_material_library
455,658884523076923.0,2.528312392654571,0.0,6.392363554850683,0.0,1.425950664695887,0.0,2.033335298146642,0.0,complex_epsilon_frequency_hz,canonical_linear_frequency,3f924764311cab5fb824f229a26870eca65f22f05419b985047f151529230edb,apcd_material_library
