wavelength_nm,order_n,transmitted_power_fraction,absolute_efficiency
445.0,-3,0.00034685704622767593,0.0002724449827787887
445.0,-2,0.01086760634104915,0.008536153019334409
445.0,-1,0.00048547648435852896,0.0003813260646109162
445.0,0,0.062143797181223606,0.04881194122184186
445.0,1,0.8926255350571364,0.7011284653762475
445.0,2,0.031835193264377844,0.02500551387092098
445.0,3,0.001695534625626756,0.0013317875675401603
445.99999999999994,-3,0.0004974140265197977,0.00039153604146249945
445.99999999999994,-2,0.011216910716154245,0.008829314384174333
445.99999999999994,-1,0.0005905090333075604,0.0004648151379379873
445.99999999999994,0,0.062350683408797535,0.0490789130639654
445.99999999999994,1,0.8890279819534009,0.6997922821735602
445.99999999999994,2,0.034189690161885875,0.026912180258514197
445.99999999999994,3,0.0021268106999339596,0.0016741044642798928
446.99999999999994,-3,0.000886612779757961,0.0006899169413453847
446.99999999999994,-2,0.0116359045138032,0.009054468687155169
446.99999999999994,-1,0.0007621834454735097,0.0005930923661947689
446.99999999999994,0,0.06388797801337509,0.04971437293263667
446.99999999999994,1,0.8788393342561304,0.683868041682781
446.99999999999994,2,0.04100896411393321,0.03191108873588668
446.99999999999994,3,0.0029790228775266867,0.0023181239869136724
448.00000000000006,-3,0.0014342375211737722,0.0011287359200723211
448.00000000000006,-2,0.012181928826564995,0.009587101466328463
448.00000000000006,-1,0.0008651727646406971,0.0006808855312326695
448.00000000000006,0,0.0559690164581514,0.04404726438598047
448.00000000000006,1,0.8873837052623799,0.6983654019850184
448.00000000000006,2,0.03830827861776869,0.030148374640642957
448.00000000000006,3,0.0038576605493204443,0.0030359546206129013
449.0,-3,0.004126422447264946,0.002433697271450076
449.0,-2,0.023460029775312023,0.013836346419198443
449.0,-1,0.0018535066077507315,0.0010931682423566487
449.0,0,0.03625480999906235,0.021382501016138394
449.0,1,0.9096941300803854,0.5365228961707988
449.0,2,0.023204786305618817,0.013685807945814667
449.0,3,0.00140631478460582,0.0008294217322231753
450.0,-3,0.02381413914539673,0.013582748931849412
450.0,-2,0.02259474601083695,0.012887249896808796
450.0,-1,0.000766982737838256,0.0004374600274028069
450.0,0,0.05152891864242654,0.029390286181521105
450.0,1,0.7364716128682791,0.4200575528659271
450.0,2,0.1540662875245129,0.08787400163957175
450.0,3,0.010757313070709417,0.006135593721387651
450.9999999999999,-3,0.0034721089341509816,0.002634821470393982
450.9999999999999,-2,0.008383710116366176,0.006362006444812853
450.9999999999999,-1,0.0037726911225695464,0.002862919268787771
450.9999999999999,0,0.06634351043122094,0.050344994647534544
450.9999999999999,1,0.8513269101780399,0.6460322713952411
450.9999999999999,2,0.06389377404297737,0.04848600400093841
450.9999999999999,3,0.002807295174675306,0.0021303253268396103
451.99999999999994,-3,0.003106311635089607,0.002327123052652047
451.99999999999994,-2,0.008957590325985601,0.006710664412526896
451.99999999999994,-1,0.004739093816189591,0.003550337430332365
451.99999999999994,0,0.06120336833492194,0.045851088391536295
451.99999999999994,1,0.857315614953555,0.6422661874681588
451.99999999999994,2,0.060746547469865235,0.045508856674023754
451.99999999999994,3,0.00393147346439289,0.0029453009242630555
453.00000000000006,-3,0.0034690241130915797,0.0026466284888765784
453.00000000000006,-2,0.007894078150730687,0.006022642520210819
453.00000000000006,-1,0.005872985998890394,0.004480687234423454
453.00000000000006,0,0.057280251357451344,0.04370091995628625
453.00000000000006,1,0.859760073056213,0.6559382203086783
453.00000000000006,2,0.06098354284459238,0.04652627845278478
453.00000000000006,3,0.004740044479030521,0.003616330226532828
453.9999999999999,-3,0.0035266878420142857,0.0026895771727284004
453.9999999999999,-2,0.0076062177173894735,0.005800771278869025
453.9999999999999,-1,0.007369374266358206,0.005620146066788989
453.9999999999999,0,0.05296814571507408,0.04039538569300963
453.9999999999999,1,0.8646582906416652,0.6594190653947766
453.9999999999999,2,0.05833274150462463,0.044486616622098366
453.9999999999999,3,0.005538542312874092,0.004223888714343484
455.00000000000006,-3,0.0039677000289253354,0.0030418038100944443
455.00000000000006,-2,0.006865656647713859,0.005263497844486182
455.00000000000006,-1,0.008674260419380339,0.006650048693466658
455.00000000000006,0,0.05015340222170703,0.03844968340726809
455.00000000000006,1,0.8645963085301736,0.6628354780623371
455.00000000000006,2,0.05916573698130481,0.04535891394630565
455.00000000000006,3,0.006576935170794966,0.005042151955899475
