theta_deg,I_proxy
0.0,1.49332686
1.0,1.70058372
2.0,1.7758752
3.0,1.70058468
4.0,1.49333027
5.0,1.2025049
6.0,0.88796894
7.0,0.60133496
8.0,0.37356354
9.0,0.21315174
10.0,0.11235927
11.0,0.05619811
12.0,0.02979133
13.0,0.02231068
14.0,0.02790744
15.0,0.04492123
16.0,0.07444958
17.0,0.11879831
18.0,0.17993434
19.0,0.25798543
20.0,0.34997677
21.0,0.44916771
22.0,0.54537684
23.0,0.62647343
24.0,0.68081051
25.0,0.69995069
26.0,0.68081051
27.0,0.62647342
28.0,0.54537679
29.0,0.44916742
30.0,0.34997535
31.0,0.25797894
32.0,0.17990725
33.0,0.11869452
34.0,0.074085
35.0,0.04374692
36.0,0.02443893
37.0,0.0129162
38.0,0.0064581
39.0,0.00305487
40.0,0.00136709
