wavelength_nm,I_proxy
445.0,0.00105207
445.5,0.00252696
446.0,0.00573692
446.5,0.01231082
447.0,0.0249702
447.5,0.04787227
448.0,0.08675074
448.5,0.14858995
449.0,0.24056518
449.5,0.36813168
450.0,0.53247684
450.5,0.72798988
451.0,0.94075613
451.5,1.14909483
452.0,1.32666654
452.5,1.44775402
453.0,1.49332686
453.5,1.45593528
454.0,1.3417029
454.5,1.16868573
455.0,0.96220192
455.5,0.74879303
456.0,0.55078799
456.5,0.38294308
457.0,0.2516582
457.5,0.15632018
458.0,0.09177958
458.5,0.05093358
459.0,0.02671711
459.5,0.01324652
460.0,0.00620785
460.5,0.00274984
461.0,0.00115133
