candidate_id,family,center_wavelength_nm,cavity_span_nm,top_pair_count,bottom_pair_count,bottom_reflectivity_proxy,termination,spectral_peak_wavelength_nm_at_theta0,spectral_FWHM_nm_at_theta0,angular_peak_angle_deg_at_453,angular_FWHM_deg_at_453,peak_abs_angle_deg_at_453,I_normal_0_5deg_at_453,I_offaxis_20_30deg_at_453,eta5,eta10,eta20,eta30,normal_offaxis_ratio_at_453,pass_level,failure_reason,score,cavity_validity_class,effective_bottom_reflector,top_mirror_extraction_risk,angular_lobe_quality_flag,normal_offaxis_same_basis,I_proxy_normal_abs_at_453,I_proxy_offaxis_abs_at_453,I_proxy_peak_estimate_at_453,ratio_artifact_warning,fwhm_artifact_warning,physical_audit_warning,conservative_score
R2_1_04530,R2D_all_dielectric_highR_mediumR_scan,453,250,12,0,0.12,SiO2_25nm,453.025,4.959948,2.0,8.0,2.0,1.688017,0.547456,0.421387,0.627199,0.734307,0.969934,3.083387,Level A,meets Level B or better constraints,2.586079,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.688017,0.547456,1.688017,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.933561
R2_1_04526,R2D_all_dielectric_highR_mediumR_scan,453,240,12,0,0.12,SiO2_25nm,452.725,4.959948,2.0,8.0,2.0,1.676443,0.542977,0.418713,0.627418,0.736376,0.970171,3.087504,Level A,meets Level B or better constraints,2.542409,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.676443,0.542977,1.676443,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.932827
R2_1_04534,R2D_all_dielectric_highR_mediumR_scan,453,260,12,0,0.12,SiO2_25nm,453.325,4.959948,2.0,8.0,2.0,1.670785,0.541144,0.418713,0.627418,0.736376,0.970171,3.087504,Level A,meets Level B or better constraints,2.527925,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.670785,0.541144,1.670785,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.933676
R2_1_04590,R2D_all_dielectric_highR_mediumR_scan,453,250,12,2,0.4727,SiO2_25nm,452.905,4.360571,2.0,7.0,2.0,1.653407,0.577969,0.44072,0.618226,0.700078,0.966012,2.860718,Level A,meets Level B or better constraints,2.509345,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.653407,0.577969,1.653407,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.035596
R2_1_04594,R2D_all_dielectric_highR_mediumR_scan,453,260,12,2,0.4727,SiO2_25nm,453.205,4.360571,2.0,7.0,2.0,1.648949,0.575212,0.438082,0.619486,0.702498,0.966287,2.866678,Level A,meets Level B or better constraints,2.492186,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.648949,0.575212,1.648949,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.038503
R2_1_04549,R2D_all_dielectric_highR_mediumR_scan,453,300,12,0,0.12,TiO2_25nm,453.025,4.959948,1.0,7.0,1.0,1.605632,0.546457,0.444355,0.615378,0.705725,0.966668,2.93826,Level A,meets Level B or better constraints,2.452307,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.605632,0.546457,1.605632,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.892995
R2_1_04556,R2D_all_dielectric_highR_mediumR_scan,453,320,12,0,0.12,TiO2_50nm,452.75,4.959948,1.0,7.0,1.0,1.614893,0.542776,0.441564,0.618622,0.71124,0.967296,2.975249,Level A,meets Level B or better constraints,2.45201,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.614893,0.542776,1.614893,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.869412
R2_1_04522,R2D_all_dielectric_highR_mediumR_scan,453,230,12,0,0.12,SiO2_25nm,452.425,4.959948,2.0,8.0,2.0,1.630813,0.527729,0.415937,0.627513,0.738388,0.970403,3.09025,Level A,meets Level B or better constraints,2.436398,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.630813,0.527729,1.630813,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.938024
R2_1_04586,R2D_all_dielectric_highR_mediumR_scan,453,240,12,2,0.4727,SiO2_25nm,452.605,4.360571,2.0,7.0,2.0,1.621765,0.56573,0.438082,0.619486,0.702498,0.966287,2.866678,Level A,meets Level B or better constraints,2.428301,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.621765,0.56573,1.621765,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.034426
R2_1_04539,R2D_all_dielectric_highR_mediumR_scan,453,270,12,0,0.12,none,453.0,4.959948,0.0,6.0,0.0,1.570324,0.546349,0.447585,0.609563,0.69694,0.965669,2.874214,Level A,meets Level B or better constraints,2.414299,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.570324,0.546349,1.570324,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.796719
R2_1_04538,R2D_all_dielectric_highR_mediumR_scan,453,270,12,0,0.12,SiO2_25nm,453.625,4.959948,2.0,8.0,2.0,1.619823,0.524172,0.415937,0.627513,0.738388,0.970403,3.09025,Level A,meets Level B or better constraints,2.412974,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.619823,0.524172,1.619823,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.939672
R2_1_04545,R2D_all_dielectric_highR_mediumR_scan,453,290,12,0,0.12,TiO2_25nm,452.725,4.959948,0.0,6.0,0.0,1.581001,0.541805,0.445561,0.613566,0.702866,0.966343,2.918026,Level A,meets Level B or better constraints,2.412698,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.581001,0.541805,1.581001,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.76883
