candidate_id,family,center_wavelength_nm,cavity_span_nm,top_pair_count,bottom_pair_count,bottom_reflectivity_proxy,termination,spectral_peak_wavelength_nm_at_theta0,spectral_FWHM_nm_at_theta0,angular_peak_angle_deg_at_453,angular_FWHM_deg_at_453,peak_abs_angle_deg_at_453,I_normal_0_5deg_at_453,I_offaxis_20_30deg_at_453,eta5,eta10,eta20,eta30,normal_offaxis_ratio_at_453,pass_level,failure_reason,score,cavity_validity_class,effective_bottom_reflector,top_mirror_extraction_risk,angular_lobe_quality_flag,normal_offaxis_same_basis,I_proxy_normal_abs_at_453,I_proxy_offaxis_abs_at_453,I_proxy_peak_estimate_at_453,ratio_artifact_warning,fwhm_artifact_warning,physical_audit_warning,conservative_score
R2_1_00227,R2A_Taguchi2026_scaled_control,453,290,6,6,0.8534,none,449.34,4.023958,1.0,9.0,1.0,0.150102,0.061822,0.35798,0.559304,0.71545,0.968215,2.427966,Level A,cavity center shifted away from 453 nm,-0.397617,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.150102,0.061822,0.150102,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.537378
R2_1_00223,R2A_Taguchi2026_scaled_control,453,280,6,6,0.8534,none,449.04,4.023958,1.0,9.0,1.0,0.101203,0.041751,0.3596,0.559377,0.713583,0.967985,2.423956,Level A,cavity center shifted away from 453 nm,-0.505346,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.101203,0.041751,0.101203,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.527637
R2_1_00225,R2A_Taguchi2026_scaled_control,453,290,6,6,0.8534,TiO2_25nm,448.465,4.023958,1.0,9.0,1.0,0.043969,0.01811,0.35798,0.559304,0.71545,0.968215,2.427966,Level A,cavity center shifted away from 453 nm,-0.653671,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.043969,0.01811,0.043969,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.521458
R2_1_00219,R2A_Taguchi2026_scaled_control,453,270,6,6,0.8534,none,448.74,4.023958,1.0,9.0,1.0,0.066145,0.027341,0.361163,0.559368,0.711671,0.96775,2.419212,Level A,cavity center shifted away from 453 nm,-0.591052,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.066145,0.027341,0.066145,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.519532
R2_1_00221,R2A_Taguchi2026_scaled_control,453,280,6,6,0.8534,TiO2_25nm,448.165,4.023958,1.0,9.0,1.0,0.027097,0.011179,0.3596,0.559377,0.713583,0.967985,2.423956,Level A,cavity center shifted away from 453 nm,-0.710486,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.027097,0.011179,0.027097,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.516522
R2_1_00224,R2A_Taguchi2026_scaled_control,453,290,6,6,0.8534,TiO2_50nm,447.59,4.023958,1.0,9.0,1.0,0.009909,0.004081,0.35798,0.559304,0.71545,0.968215,2.427966,Level A,cavity center shifted away from 453 nm,-0.795263,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.009909,0.004081,0.009909,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.516349
R2_1_00195,R2A_Taguchi2026_scaled_control,453,210,6,6,0.8534,none,446.94,4.023958,1.0,9.0,1.0,0.002765,0.001139,0.35798,0.559304,0.71545,0.968215,2.427966,Level A,cavity center shifted away from 453 nm,-0.87161,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.002765,0.001139,0.002765,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.515278
R2_1_00193,R2A_Taguchi2026_scaled_control,453,210,6,6,0.8534,TiO2_25nm,446.065,4.023958,1.0,9.0,1.0,0.000395,0.000162,0.35798,0.559304,0.71545,0.968215,2.427966,Level A,cavity center shifted away from 453 nm,-0.962873,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.000395,0.000162,0.000395,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.514922
R2_1_00192,R2A_Taguchi2026_scaled_control,453,210,6,6,0.8534,TiO2_50nm,445.19,4.023958,1.0,9.0,1.0,4.3e-05,1.8e-05,0.35798,0.559304,0.71545,0.968215,2.427966,Level A,cavity center shifted away from 453 nm,-1.050931,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,4.3e-05,1.8e-05,4.3e-05,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.514869
R2_1_00220,R2A_Taguchi2026_scaled_control,453,280,6,6,0.8534,TiO2_50nm,447.29,4.023958,1.0,9.0,1.0,0.005582,0.002303,0.3596,0.559377,0.713583,0.967985,2.423956,Level A,cavity center shifted away from 453 nm,-0.832139,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.005582,0.002303,0.005582,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.513294
R2_1_00199,R2A_Taguchi2026_scaled_control,453,220,6,6,0.8534,none,447.24,4.023958,1.0,9.0,1.0,0.00506,0.002087,0.3596,0.559377,0.713583,0.967985,2.423956,Level A,cavity center shifted away from 453 nm,-0.837968,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.00506,0.002087,0.00506,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.513216
R2_1_00215,R2A_Taguchi2026_scaled_control,453,260,6,6,0.8534,none,448.44,4.023958,1.0,9.0,1.0,0.041908,0.017362,0.362667,0.559276,0.709714,0.967511,2.413743,Level A,cavity center shifted away from 453 nm,-0.659546,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.041908,0.017362,0.041908,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.512615
R2_1_00197,R2A_Taguchi2026_scaled_control,453,220,6,6,0.8534,TiO2_25nm,446.365,4.023958,1.0,9.0,1.0,0.00079,0.000326,0.3596,0.559377,0.713583,0.967985,2.423956,Level A,cavity center shifted away from 453 nm,-0.932246,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.00079,0.000326,0.00079,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.512575
R2_1_00196,R2A_Taguchi2026_scaled_control,453,220,6,6,0.8534,TiO2_50nm,445.49,4.023958,1.0,9.0,1.0,9.5e-05,3.9e-05,0.3596,0.559377,0.713583,0.967985,2.423956,Level A,cavity center shifted away from 453 nm,-1.020849,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,9.5e-05,3.9e-05,9.5e-05,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.512471
R2_1_00217,R2A_Taguchi2026_scaled_control,453,270,6,6,0.8534,TiO2_25nm,447.865,4.023958,1.0,9.0,1.0,0.016187,0.006691,0.361163,0.559368,0.711671,0.96775,2.419212,Level A,cavity center shifted away from 453 nm,-0.757816,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.016187,0.006691,0.016187,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.512039
R2_1_00203,R2A_Taguchi2026_scaled_control,453,230,6,6,0.8534,none,447.54,4.023958,1.0,9.0,1.0,0.008977,0.003711,0.361163,0.559368,0.711671,0.96775,2.419212,Level A,cavity center shifted away from 453 nm,-0.801757,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.008977,0.003711,0.008977,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.510957
R2_1_00216,R2A_Taguchi2026_scaled_control,453,270,6,6,0.8534,TiO2_50nm,446.99,4.023958,1.0,9.0,1.0,0.003048,0.00126,0.361163,0.559368,0.711671,0.96775,2.419212,Level A,cavity center shifted away from 453 nm,-0.866164,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.003048,0.00126,0.003048,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.510068
R2_1_00201,R2A_Taguchi2026_scaled_control,453,230,6,6,0.8534,TiO2_25nm,446.665,4.023958,1.0,9.0,1.0,0.001533,0.000634,0.361163,0.559368,0.711671,0.96775,2.419212,Level A,cavity center shifted away from 453 nm,-0.901067,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.001533,0.000634,0.001533,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.509841
R2_1_00200,R2A_Taguchi2026_scaled_control,453,230,6,6,0.8534,TiO2_50nm,445.79,4.023958,1.0,9.0,1.0,0.000202,8.3e-05,0.361163,0.559368,0.711671,0.96775,2.419212,Level A,cavity center shifted away from 453 nm,-0.99068,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.000202,8.3e-05,0.000202,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.509641
R2_1_00207,R2A_Taguchi2026_scaled_control,453,240,6,6,0.8534,none,447.84,4.023958,1.0,9.0,1.0,0.015439,0.006396,0.362667,0.559276,0.709714,0.967511,2.413743,Level A,cavity center shifted away from 453 nm,-0.761519,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.015439,0.006396,0.015439,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.508645
R2_1_00213,R2A_Taguchi2026_scaled_control,453,260,6,6,0.8534,TiO2_25nm,447.565,4.023958,1.0,9.0,1.0,0.009374,0.003884,0.362667,0.559276,0.709714,0.967511,2.413743,Level A,cavity center shifted away from 453 nm,-0.798635,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.009374,0.003884,0.009374,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.507735
R2_1_00205,R2A_Taguchi2026_scaled_control,453,240,6,6,0.8534,TiO2_25nm,446.965,4.023958,1.0,9.0,1.0,0.002885,0.001195,0.362667,0.559276,0.709714,0.967511,2.413743,Level A,cavity center shifted away from 453 nm,-0.868925,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.002885,0.001195,0.002885,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.506762
R2_1_00212,R2A_Taguchi2026_scaled_control,453,260,6,6,0.8534,TiO2_50nm,446.69,4.023958,1.0,9.0,1.0,0.001613,0.000668,0.362667,0.559276,0.709714,0.967511,2.413743,Level A,cavity center shifted away from 453 nm,-0.898442,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.001613,0.000668,0.001613,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.506571
R2_1_00211,R2A_Taguchi2026_scaled_control,453,250,6,6,0.8534,none,448.14,4.023958,1.0,9.0,1.0,0.02574,0.010691,0.364112,0.559102,0.707712,0.967268,2.407556,Level A,cavity center shifted away from 453 nm,-0.715211,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.02574,0.010691,0.02574,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.506478
R2_1_00204,R2A_Taguchi2026_scaled_control,453,240,6,6,0.8534,TiO2_50nm,446.09,4.023958,1.0,9.0,1.0,0.000415,0.000172,0.362667,0.559276,0.709714,0.967511,2.413743,Level A,cavity center shifted away from 453 nm,-0.960342,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.000415,0.000172,0.000415,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.506391
R2_1_00209,R2A_Taguchi2026_scaled_control,453,250,6,6,0.8534,TiO2_25nm,447.265,4.023958,1.0,9.0,1.0,0.005263,0.002186,0.364112,0.559102,0.707712,0.967268,2.407556,Level A,cavity center shifted away from 453 nm,-0.835161,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.005263,0.002186,0.005263,possible_low_output_or_proxy_artifact,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.503406
