wavelength_nm,theta_deg,I_proxy
448.0,0.0,0.0309316808
448.0,0.25,0.0309631486
448.0,0.5,0.0309724625
448.0,0.75,0.0309596025
448.0,1.0,0.0309245962
448.0,1.25,0.0308675189
448.0,1.5,0.0307884931
448.0,1.75,0.030687688
448.0,2.0,0.0305653194
448.0,2.25,0.0304216484
448.0,2.5,0.0302569806
448.0,2.75,0.0300716654
448.0,3.0,0.0298660944
448.0,3.25,0.0296407002
448.0,3.5,0.0293959552
448.0,3.75,0.0291323696
448.0,4.0,0.02885049
448.0,4.25,0.0285508978
448.0,4.5,0.0282342069
448.0,4.75,0.0279010622
448.0,5.0,0.0275521376
448.0,5.25,0.0271881341
448.0,5.5,0.0268097775
448.0,5.75,0.0264178171
448.0,6.0,0.0260130233
448.0,6.25,0.0255961859
448.0,6.5,0.0251681127
448.0,6.75,0.0247296277
448.0,7.0,0.0242815695
448.0,7.25,0.0238247907
448.0,7.5,0.0233601563
448.0,7.75,0.0228885435
448.0,8.0,0.022410841
448.0,8.25,0.0219279492
448.0,8.5,0.0214407804
448.0,8.75,0.0209502599
448.0,9.0,0.0204573267
448.0,9.25,0.0199629357
448.0,9.5,0.0194680597
448.0,9.75,0.0189736923
448.0,10.0,0.0184808509
448.0,10.25,0.0179905806
448.0,10.5,0.0175039585
448.0,10.75,0.0170220983
448.0,11.0,0.0165461554
448.0,11.25,0.0160773321
448.0,11.5,0.0156168833
448.0,11.75,0.0151661222
448.0,12.0,0.0147264253
448.0,12.25,0.014299238
448.0,12.5,0.0138860791
448.0,12.75,0.0134885445
448.0,13.0,0.0131083101
448.0,13.25,0.0127471331
448.0,13.5,0.0124068521
448.0,13.75,0.0120893842
448.0,14.0,0.0117967213
448.0,14.25,0.0115309222
448.0,14.5,0.0112941027
448.0,14.75,0.0110884224
448.0,15.0,0.0109160676
448.0,15.25,0.0107792308
448.0,15.5,0.0106800866
448.0,15.75,0.0106207636
448.0,16.0,0.0106033126
448.0,16.25,0.0106296714
448.0,16.5,0.0107016261
448.0,16.75,0.0108207698
448.0,17.0,0.0109884588
448.0,17.25,0.0112057676
448.0,17.5,0.0114734426
448.0,17.75,0.0117918563
448.0,18.0,0.0121609622
448.0,18.25,0.0125802531
448.0,18.5,0.0130487215
448.0,18.75,0.0135648254
448.0,19.0,0.0141264604
448.0,19.25,0.0147309381
448.0,19.5,0.0153749738
448.0,19.75,0.0160546821
448.0,20.0,0.0167655847
448.0,20.25,0.0175026271
448.0,20.5,0.018260208
448.0,20.75,0.0190322197
448.0,21.0,0.0198121005
448.0,21.25,0.020592898
448.0,21.5,0.0213673436
448.0,21.75,0.0221279355
448.0,22.0,0.0228670316
448.0,22.25,0.0235769485
448.0,22.5,0.0242500659
448.0,22.75,0.024878934
448.0,23.0,0.0254563824
448.0,23.25,0.0259756278
448.0,23.5,0.026430378
448.0,23.75,0.0268149303
448.0,24.0,0.027124262
448.0,24.25,0.0273541113
448.0,24.5,0.0275010458
448.0,24.75,0.0275625176
448.0,25.0,0.0275369042
448.0,25.25,0.0274235329
448.0,25.5,0.0272226898
448.0,25.75,0.026935611
448.0,26.0,0.0265644593
448.0,26.25,0.026112283
448.0,26.5,0.0255829621
448.0,26.75,0.0249811394
448.0,27.0,0.0243121408
448.0,27.25,0.0235818851
448.0,27.5,0.0227967859
448.0,27.75,0.0219636485
448.0,28.0,0.0210895624
448.0,28.25,0.0201817934
448.0,28.5,0.0192476766
448.0,28.75,0.0182945125
448.0,29.0,0.0173294688
448.0,29.25,0.0163594884
448.0,29.5,0.0153912068
448.0,29.75,0.0144308784
448.0,30.0,0.0134843141
448.0,30.25,0.0125568294
448.0,30.5,0.0116532053
448.0,30.75,0.0107776595
448.0,31.0,0.0099338301
448.0,31.25,0.0091247695
448.0,31.5,0.0083529491
448.0,31.75,0.0076202727
448.0,32.0,0.0069280989
448.0,32.25,0.0062772702
448.0,32.5,0.0056681481
448.0,32.75,0.0051006527
448.0,33.0,0.0045743069
448.0,33.25,0.0040882811
448.0,33.5,0.0036414407
448.0,33.75,0.0032323926
448.0,34.0,0.0028595314
448.0,34.25,0.0025210843
448.0,34.5,0.0022151526
448.0,34.75,0.0019397515
448.0,35.0,0.0016928457
