wavelength_nm,I_proxy
448.0,1.271147839
448.05,1.2934332183
448.1,1.3149829969
448.15,1.3357477279
448.2,1.3556791942
448.25,1.3747305936
448.3,1.3928567217
448.35,1.4100141502
448.4,1.4261613995
448.45,1.4412591059
448.5,1.4552701814
448.55,1.468159965
448.6,1.4798963656
448.65,1.4904499953
448.7,1.4997942917
448.75,1.5079056296
448.8,1.5147634202
448.85,1.5203501982
448.9,1.524651696
448.95,1.5276569047
449.0,1.5293581203
449.05,1.5297509775
449.1,1.5288344677
449.15,1.5266109434
449.2,1.5230861087
449.25,1.518268994
449.3,1.5121719183
449.35,1.5048104363
449.4,1.4962032722
449.45,1.4863722405
449.5,1.4753421541
449.55,1.4631407196
449.6,1.4497984213
449.65,1.4353483949
449.7,1.4198262898
449.75,1.4032701231
449.8,1.3857201243
449.85,1.3672185728
449.9,1.3478096287
449.95,1.3275391568
450.0,1.3064545476
450.05,1.2846045326
450.1,1.2620389978
450.15,1.2388087953
450.2,1.2149655535
450.25,1.190561488
450.3,1.1656492132
450.35,1.140281556
450.4,1.1145113727
450.45,1.0883913691
450.5,1.0619739259
450.55,1.0353109289
450.6,1.0084536057
450.65,0.9814523691
450.7,0.9543566679
450.75,0.9272148459
450.8,0.9000740091
450.85,0.8729799021
450.9,0.8459767933
450.95,0.8191073708
451.0,0.7924126468
451.05,0.7659318731
451.1,0.739702466
451.15,0.7137599421
451.2,0.6881378634
451.25,0.6628677936
451.3,0.6379792631
451.35,0.613499745
451.4,0.5894546396
451.45,0.5658672691
451.5,0.5427588805
451.55,0.5201486573
451.6,0.4980537397
451.65,0.4764892522
451.7,0.4554683384
451.75,0.4350022028
451.8,0.4151001589
451.85,0.3957696831
451.9,0.3770164732
451.95,0.358844513
452.0,0.3412561393
452.05,0.3242521142
452.1,0.3078316993
452.15,0.2919927329
452.2,0.2767317095
452.25,0.2620438606
452.3,0.2479232361
452.35,0.2343627876
452.4,0.2213544504
452.45,0.2088892261
452.5,0.1969572645
452.55,0.1855479441
452.6,0.1746499515
452.65,0.1642513592
452.7,0.1543397011
452.75,0.1449020459
452.8,0.1359250683
452.85,0.1273951172
452.9,0.1192982808
452.95,0.1116204496
453.0,0.1043473754
453.05,0.0974647274
453.1,0.090958145
453.15,0.0848132874
453.2,0.0790158796
453.25,0.0735517552
453.3,0.0684068958
453.35,0.0635674669
453.4,0.0590198508
453.45,0.0547506765
453.5,0.0507468455
453.55,0.0469955561
453.6,0.0434843232
453.65,0.0402009964
453.7,0.0371337747
453.75,0.0342712196
453.8,0.0316022644
453.85,0.0291162221
453.9,0.0268027913
453.95,0.0246520595
454.0,0.0226545045
454.05,0.020800995
454.1,0.0190827882
454.15,0.0174915273
454.2,0.0160192365
454.25,0.0146583158
454.3,0.0134015341
454.35,0.0122420215
454.4,0.0111732609
454.45,0.0101890788
454.5,0.0092836355
454.55,0.0084514149
454.6,0.0076872135
454.65,0.0069861297
454.7,0.0063435523
454.75,0.0057551492
454.8,0.0052168557
454.85,0.0047248633
454.9,0.0042756077
454.95,0.0038657577
455.0,0.0034922039
455.05,0.0031520473
455.1,0.0028425889
455.15,0.0025613183
455.2,0.002305904
455.25,0.0020741831
455.3,0.0018641512
455.35,0.0016739534
455.4,0.0015018749
455.45,0.0013463325
455.5,0.0012058661
455.55,0.0010791307
455.6,0.0009648885
455.65,0.0008620024
455.7,0.0007694279
455.75,0.0006862077
455.8,0.0006114648
455.85,0.0005443967
455.9,0.0004842701
455.95,0.0004304156
456.0,0.0003822228
456.05,0.0003391356
456.1,0.000300648
456.15,0.0002663001
456.2,0.0002356745
456.25,0.0002083925
456.3,0.000184111
456.35,0.0001625195
456.4,0.0001433374
456.45,0.0001263112
456.5,0.0001112121
456.55,9.78342e-05
456.6,8.59919e-05
456.65,7.55183e-05
456.7,6.62636e-05
456.75,5.80934e-05
456.8,5.08869e-05
456.85,4.45362e-05
456.9,3.89448e-05
456.95,3.40262e-05
457.0,2.97034e-05
457.05,2.59075e-05
457.1,2.25774e-05
457.15,1.96585e-05
457.2,1.71024e-05
457.25,1.48658e-05
457.3,1.29107e-05
457.35,1.12031e-05
457.4,9.7131e-06
457.45,8.414e-06
457.5,7.2824e-06
457.55,6.2977e-06
457.6,5.4414e-06
457.65,4.6975e-06
457.7,4.0519e-06
457.75,3.492e-06
457.8,3.0069e-06
457.85,2.5869e-06
457.9,2.2237e-06
457.95,1.9099e-06
458.0,1.639e-06
