angle_deg,intensity_proxy
-89.99999914622636,3.704477919589287e-07
-87.43680027996089,4.906976385061588e-07
-86.37478578672372,5.494784481713863e-07
-85.55966694730674,5.981424437728084e-07
-84.87231698093369,6.416827385548326e-07
-84.26659730796267,6.822157954831197e-07
-83.7188473002472,7.210158339873737e-07
-83.21501265029943,7.590182603608182e-07
-82.74593696669073,7.969916522562204e-07
-82.30526072729027,8.35603950064411e-07
-81.88835398580235,8.754470538701924e-07
-81.49172179461118,9.17043139681803e-07
-81.11264914981503,9.608428008230312e-07
-80.74897712783695,1.0072200614394145e-06
-80.39895542436832,1.0564670793306445e-06
-80.06114165487263,1.1087902285770609e-06
-79.73433047718744,1.1643085937282505e-06
-79.41750240380574,1.2230554615233784e-06
-79.10978600479763,1.284983055193605e-06
-78.8104294537864,1.3499704744086375e-06
-78.51877874041668,1.4178345628820864e-06
-78.23426073431965,1.488343220624788e-06
-77.95636984216819,1.5612305099408967e-06
-77.68465736788467,1.6362127770235579e-06
-77.41872293538925,1.7130049283542561e-06
-77.15820750531542,1.791335966186669e-06
-76.90278763795686,1.8709629018270042e-06
-76.65217074095705,1.951682228881076e-06
-76.40609110272075,2.0333382486245283e-06
-76.1643065583835,2.1158276914521715e-06
-75.92659566925778,2.199100265152993e-06
-75.6927553222919,2.283154973848638e-06
-75.46259867554336,2.3680322806176406e-06
-75.2359533905971,2.4538024208287883e-06
-75.01266010441917,2.540550400190787e-06
-74.79257110216234,2.6283584196632668e-06
-74.57554915954199,2.7172866474166303e-06
-74.36146652903307,2.807353395869693e-06
-74.15020404863628,2.8985158510390714e-06
-73.94165035557546,2.990652535691383e-06
-73.73570119021143,3.083548663284318e-06
-73.5322587778365,3.1768854553487873e-06
-73.33123127795712,3.2702343526193756e-06
-73.13253229227459,3.3630568545591464e-06
-72.9360804238938,3.454710480379316e-06
-72.74179888138862,3.5444610671161316e-06
-72.5496151222685,3.631501318748989e-06
-72.35946053115805,3.714975208226027e-06
-72.17127012864599,3.794007526063972e-06
-71.9849823073061,3.867737579660924e-06
-71.80053859185354,3.9353557909699e-06
-71.6178834207933,3.996141730016961e-06
-71.43696394725384,4.049501969471312e-06
-71.25772985698381,4.095006060331119e-06
-71.08013320173983,4.132418917210814e-06
-70.90412824650302,4.16172796695105e-06
-70.7296713291473,4.1831635561453834e-06
-70.55672073134137,4.1972113280078976e-06
-70.38523655960435,4.204615559683338e-06
-70.21518063555617,4.206372787327504e-06
-70.04651639450873,4.203715424958508e-06
-69.87920879163549,4.198085488825668e-06
-69.7132242150396,4.191098954856039e-06
-69.54853040510996,4.18450168471497e-06
-69.38509637961832,4.180118238139197e-06
-69.22289236406615,4.179795228149678e-06
-69.06188972683796,4.185341155698172e-06
-68.90206091876227,4.198464867648093e-06
-68.74337941671942,4.2207149060258e-06
-68.5858196709698,4.253422049912117e-06
-68.4293570559072,4.2976472906967045e-06
-68.27396782396883,4.354137327248334e-06
-68.11962906245793,4.423289424503518e-06
-67.9663186530576,4.505127155634997e-06
-67.8140152338336,4.5992881565516226e-06
-67.66269816354124,4.7050245773734835e-06
-67.51234748806844,4.821216436606826e-06
-67.36294390886036,4.946397589661001e-06
-67.21446875318475,5.078793534671823e-06
-67.06690394610837,5.216369815911539e-06
-66.9202319840658,5.356889368080195e-06
-66.77443590991125,5.497976791426313e-06
-66.62949928935345,5.63718727330149e-06
-66.48540618868022,5.772077688500578e-06
-66.34214115368837,5.900277326817858e-06
-66.19968918973962,6.019555715662857e-06
-66.05803574287006,6.127885127873944e-06
-65.91716668188604,6.223495585125274e-06
-65.77706828138395,6.304920476343331e-06
-65.6377272056365,6.371031295233953e-06
-65.49913049329244,6.421060444926964e-06
-65.36126554283915,6.454611541804035e-06
-65.22412009878309,6.471657153921964e-06
-65.0876822385048,6.4725244103461e-06
-64.95194035974859,6.457869394531421e-06
-64.81688316871022,6.428641667063237e-06
-64.68249966868754,6.38604063202057e-06
-64.5487791492625,6.331465751211824e-06
-64.4157111759837,6.266462809363913e-06
-64.28328558052225,6.192668532942445e-06
-64.15149245127412,6.111755862046257e-06
-64.02032212438473,6.025382069813944e-06
-63.88976517517275,5.9351417226802755e-06
-63.75981240993156,5.8425261876658685e-06
-63.630454858088555,5.748891033628131e-06
-63.501683764702946,5.655432259273255e-06
-63.37349058328467,5.5631718314495e-06
-63.24586696891765,5.472952554113326e-06
-63.118804771672075,5.385441833287504e-06
-62.99229603029031,5.301143477805106e-06
-62.866332966133506,5.220416299729727e-06
-62.74090797737537,5.143497969783474e-06
-62.616013633430946,5.070532356429876e-06
-62.49164266960896,5.001598443100093e-06
-62.367787981976925,4.936738882672189e-06
-62.2444426224285,4.875986313261372e-06
-62.12159979394388,4.8193857213985495e-06
-61.999252846033514,4.767011389835307e-06
-61.87739527035707,4.718977295259972e-06
-61.756020696509225,4.675440210112897e-06
-61.63512288796456,4.636595193379242e-06
-61.51469573817442,4.602663606485048e-06
-61.39473326680869,4.573874239824065e-06
-61.275229616136194,4.550438560476246e-06
-61.15617904753717,4.532521470763327e-06
-61.03757593814228,4.520209280818633e-06
-60.91941477759251,4.5134768296423624e-06
-60.801690164914675,4.512155825228639e-06
-60.684396805507426,4.515906506737272e-06
-60.56752950823321,4.5241946566405e-06
-60.45108318261152,4.536275809683466e-06
-60.33505283610929,4.551188224815512e-06
-60.219433571524206,4.567755817279733e-06
-60.104220584457096,4.58460180646965e-06
-59.98940916086991,4.600173340359049e-06
-59.87499467472562,4.612776831522579e-06
-59.76097258570651,4.620623207090122e-06
-59.64733843700814,4.621881760289631e-06
-59.534087853205754,4.614740819036674e-06
-59.42121653818987,4.597473040332896e-06
-59.30872027316898,4.5685028184706854e-06
-59.19659491473636,4.526473077091768e-06
-59.084836392998334,4.470308612528348e-06
-58.97344070976207,4.399273176082371e-06
-58.86240393678012,4.3130176280782955e-06
-58.751722214049956,4.211616763183963e-06
-58.64139174816628,4.095592785662411e-06
-58.531408810723825,3.96592389075553e-06
-58.42176973676931,3.824036965569734e-06
-58.312470923300324,3.6717840370725676e-06
-58.20350882780943,3.511402740692958e-06
-58.09487996687213,3.3454617333552418e-06
-57.98658091477663,3.176792601791253e-06
-57.87860830219438,3.008410393528889e-06
-57.770958814889624,2.8434253987505967e-06
-57.663629192466495,2.684949213922764e-06
-57.55661622715268,2.5359984043655384e-06
-57.44991676261811,2.399399239223226e-06
-57.34352769282732,2.2776969905134177e-06
-57.237445960924745,2.1730731658193997e-06
-57.13166855815133,2.0872737854592155e-06
-57.026192522791696,2.0215514291782167e-06
-56.92101493915078,1.976623279595349e-06
-56.816132936558745,1.9526467996499294e-06
-56.71154368840345,1.949214023005059e-06
-56.607244411189534,1.965364736601931e-06
-56.503232363622914,1.999618121986846e-06
-56.399504845720315,2.0500217258976307e-06
-56.29605919794279,2.114215979472833e-06
-56.192892800352176,2.189511905999291e-06
-56.09000307179042,2.272979172945312e-06
-55.987387469080225,2.361541274663168e-06
-55.885043486246964,2.452074392197102e-06
-55.78296865376096,2.5415063751771134e-06
-55.681160537799265,2.6269123309799517e-06
-55.57961673952677,2.7056034853364536e-06
-55.47833489439563,2.7752062876234774e-06
-55.37731267146262,2.833729158998564e-06
-55.276547772724015,2.8796148032990902e-06
-55.176037932467004,2.9117765962599587e-06
-55.075780916637626,2.9296182122039383e-06
-54.97577452222446,2.933036311251471e-06
-54.87601657665749,2.9224067660648327e-06
-54.77650493722212,2.8985555276648648e-06
-54.67723749048727,2.862715789325016e-06
-54.5782121517477,2.8164735833628855e-06
-54.47942686447983,2.7617043192097083e-06
-54.38087959981064,2.7005030286148843e-06
-54.282568355999494,2.6351112167469217e-06
-54.18449115793227,2.56784322345702e-06
-54.08664605662754,2.5010148799737183e-06
-53.98903112875451,2.436877011220232e-06
-53.891644476162206,2.377555996296493e-06
-53.79448422541982,2.325003177359033e-06
-53.69754852736772,2.2809544216180206e-06
-53.60083555667886,2.2469006164203568e-06
-53.504343511430285,2.2240693387558058e-06
-53.40807061268459,2.2134174135603566e-06
-53.31201510408083,2.2156335844628716e-06
-53.216175251434755,2.231150088570583e-06
-53.12054934234811,2.260161572814446e-06
-53.02513568582671,2.3026495285554836e-06
-52.92993261190705,2.358410264167192e-06
-52.83493847129136,2.427084387579536e-06
-52.740151634990475,2.508185832348977e-06
-52.645570493974915,2.6011286264270594e-06
-52.55119345883336,2.705249862114924e-06
-52.45701895943875,2.819827663871523e-06
-52.36304544462159,2.9440933490651705e-06
-52.26927138185027,3.0772374139229123e-06
-52.17569525691843,3.2184094295149136e-06
-52.08231557363882,3.366712376583434e-06
-51.9891308535438,3.521192359821431e-06
-51.8961396355923,3.6808249998529183e-06
-51.80334047588273,3.844500085354308e-06
-51.71073194737209,4.01100626276695e-06
-51.61831263960105,4.17901763553491e-06
-51.526081158424454,4.347084132336389e-06
-51.43403612574782,4.513627383202434e-06
-51.342176179268826,4.676943617923121e-06
-51.25049997222457,4.8352147821041185e-06
-51.15900617314364,4.986528666809776e-06
-51.067693465603426,5.1289083862100556e-06
-50.97656054799229,5.260351035650891e-06
-50.88560613327656,5.3788748440290525e-06
-50.7948289487722,5.482573624434636e-06
-50.70422773592103,5.56967685094433e-06
-50.613801250071404,5.638613271304677e-06
-50.5235482602633,5.688075626880708e-06
-50.43346754901757,5.717083811216059e-06
-50.34355791212937,5.725043671225936e-06
-50.253818158465634,5.711798649898737e-06
-50.16424710976652,5.677671590504702e-06
-50.07484360045067,5.623494268149182e-06
-49.985606477424184,5.550622577874404e-06
-49.89653459989347,5.46093577683079e-06
-49.80762683918137,5.356818733843437e-06
-49.71888207854712,5.241126761355324e-06
-49.63029921300947,5.117133267337692e-06
-49.54187714917329,4.988461141217162e-06
-49.45361480505946,4.858999450030112e-06
-49.36551110993778,4.732807640901837e-06
-49.277565004163215,4.614009996966128e-06
-49.18977543901511,4.506683551935328e-06
-49.10214137653926,4.414743013240473e-06
-49.01466178939312,4.341826459014481e-06
-48.92733566069365,4.291185649419933e-06
-48.840161983868065,4.265584722843616e-06
-48.753139762507345,4.267210833140481e-06
-48.666268010222204,4.297599932176233e-06
-48.57954575050194,4.357580424812754e-06
-48.49297201657554,4.447236838777358e-06
-48.406545851275546,4.565894981556049e-06
-48.320266306904145,4.712129326074166e-06
-48.23413244510175,4.883792604454884e-06
-48.14814333671792,5.078066823866024e-06
