angle_deg,intensity_proxy
-89.99999914622636,3.7494811139264867e-07
-87.43680027996089,4.985181150263597e-07
-86.37478578672372,5.589856484413254e-07
-85.55966694730674,6.089483737937187e-07
-84.87231698093369,6.534925935947386e-07
-84.26659730796267,6.947602885348194e-07
-83.7188473002472,7.340343423505449e-07
-83.21501265029943,7.72255034474928e-07
-82.74593696669073,8.101969717992421e-07
-82.30526072729027,8.485376294140933e-07
-81.88835398580235,8.87883237810761e-07
-81.49172179461118,9.287758670535535e-07
-81.11264914981503,9.71692029248391e-07
-80.74897712783695,1.0170379403546075e-06
-80.39895542436832,1.0651443010319675e-06
-80.06114165487263,1.116262305478599e-06
-79.73433047718744,1.1705619166983604e-06
-79.41750240380574,1.2281329949579477e-06
-79.10978600479763,1.2889895226250847e-06
-78.8104294537864,1.3530768859281185e-06
-78.51877874041668,1.4202819338532705e-06
-78.23426073431965,1.4904453311677472e-06
-77.95636984216819,1.563375557349524e-06
-77.68465736788467,1.6388637794070115e-06
-77.41872293538925,1.7166987479861238e-06
-77.15820750531542,1.7966808357954352e-06
-76.90278763795686,1.878634356700379e-06
-76.65217074095705,1.9624173723389724e-06
-76.40609110272075,2.0479283080962857e-06
-76.1643065583835,2.135108856814037e-06
-75.92659566925778,2.2239428396598294e-06
-75.6927553222919,2.314450910223684e-06
-75.46259867554336,2.4066812197253638e-06
-75.2359533905971,2.5006963967312644e-06
-75.01266010441917,2.5965574219915527e-06
-74.79257110216234,2.694305185955972e-06
-74.57554915954199,2.793940691873203e-06
-74.36146652903307,2.8954050009816144e-06
-74.15020404863628,2.9985600997422293e-06
-73.94165035557546,3.103171896113451e-06
-73.73570119021143,3.2088965188428242e-06
-73.5322587778365,3.315270999778746e-06
-73.33123127795712,3.4217092663457234e-06
-73.13253229227459,3.527504164563359e-06
-72.9360804238938,3.631835980077583e-06
-72.74179888138862,3.7337876358533347e-06
-72.5496151222685,3.832366432765528e-06
-72.35946053115805,3.926531877182296e-06
-72.17127012864599,4.015228822567663e-06
-71.9849823073061,4.097424855214947e-06
-71.80053859185354,4.172150592105838e-06
-71.6178834207933,4.23854134509502e-06
-71.43696394725384,4.295878451878997e-06
-71.25772985698381,4.343628489869636e-06
-71.08013320173983,4.381478580622185e-06
-70.90412824650302,4.409366063067914e-06
-70.7296713291473,4.427500963178846e-06
-70.55672073134137,4.436379911976329e-06
-70.38523655960435,4.436790455621799e-06
-70.21518063555617,4.429805050087346e-06
-70.04651639450873,4.416764425136958e-06
-69.87920879163549,4.3992504222934185e-06
-69.7132242150396,4.37904884170582e-06
-69.54853040510996,4.35810325505148e-06
-69.38509637961832,4.338461137382875e-06
-69.22289236406615,4.322214022467288e-06
-69.06188972683796,4.311433677494013e-06
-68.90206091876227,4.3081065101502285e-06
-68.74337941671942,4.314068553046943e-06
-68.5858196709698,4.3309434098504615e-06
-68.4293570559072,4.360085490664016e-06
-68.27396782396883,4.4025307117382094e-06
-68.11962906245793,4.458956591149716e-06
-67.9663186530576,4.529653346371835e-06
-67.8140152338336,4.614507204053851e-06
-67.66269816354124,4.7129966824139264e-06
-67.51234748806844,4.824202120571686e-06
-67.36294390886036,4.94682822683005e-06
-67.21446875318475,5.079238920223212e-06
-67.06690394610837,5.219503267463812e-06
-66.9202319840658,5.365450890737771e-06
-66.77443590991125,5.514734858812911e-06
-66.62949928935345,5.6648997902442225e-06
-66.48540618868022,5.813452705353508e-06
-66.34214115368837,5.9579340715231875e-06
-66.19968918973962,6.0959864982758885e-06
-66.05803574287006,6.225418654211506e-06
-65.91716668188604,6.344262192229334e-06
-65.77706828138395,6.450819773339269e-06
-65.6377272056365,6.543702659593464e-06
-65.49913049329244,6.621856786709362e-06
-65.36126554283915,6.684576707624214e-06
-65.22412009878309,6.731507298536486e-06
-65.0876822385048,6.762633617103928e-06
-64.95194035974859,6.77825977664515e-06
-64.81688316871022,6.778978129785898e-06
-64.68249966868754,6.765630421381997e-06
-64.5487791492625,6.739262857988325e-06
-64.4157111759837,6.701077237468127e-06
-64.28328558052225,6.652380379542452e-06
-64.15149245127412,6.5945340926819646e-06
-64.02032212438473,6.528907805949965e-06
-63.88976517517275,6.456835792069221e-06
-63.75981240993156,6.379580620340763e-06
-63.630454858088555,6.2983041192482905e-06
-63.501683764702946,6.214046716065778e-06
-63.37349058328467,6.127715574455007e-06
-63.24586696891765,6.0400814923522854e-06
-63.118804771672075,5.951784073420728e-06
-62.99229603029031,5.863344267541131e-06
-62.866332966133506,5.7751830093085e-06
-62.74090797737537,5.687644385952053e-06
-62.616013633430946,5.601021551898751e-06
-62.49164266960896,5.515583486798282e-06
-62.367787981976925,5.431600673199409e-06
-62.2444426224285,5.349367850420231e-06
-62.12159979394388,5.269222178838362e-06
-61.999252846033514,5.191555415474171e-06
-61.87739527035707,5.116819044630024e-06
-61.756020696509225,5.0455217099748656e-06
-61.63512288796456,4.978218737284625e-06
-61.51469573817442,4.915493998388268e-06
-61.39473326680869,4.8579348239184144e-06
-61.275229616136194,4.806101102356428e-06
-61.15617904753717,4.760490083743385e-06
-61.03757593814228,4.721498718514079e-06
-60.91941477759251,4.689385588432278e-06
-60.801690164914675,4.66423461464129e-06
-60.684396805507426,4.645922748973773e-06
-60.56752950823321,4.63409376542298e-06
-60.45108318261152,4.628140070781176e-06
-60.33505283610929,4.627194153786831e-06
-60.219433571524206,4.630130902500033e-06
-60.104220584457096,4.635581556294634e-06
-59.98940916086991,4.6419595418151806e-06
-59.87499467472562,4.647497894373249e-06
-59.76097258570651,4.6502974122908335e-06
-59.64733843700814,4.648384157130101e-06
-59.534087853205754,4.639774422662825e-06
-59.42121653818987,4.622544873354815e-06
-59.30872027316898,4.594905219938772e-06
-59.19659491473636,4.555270572551355e-06
-59.084836392998334,4.502330503670407e-06
-58.97344070976207,4.43511187134757e-06
-58.86240393678012,4.3530326001065925e-06
-58.751722214049956,4.255943888789957e-06
-58.64139174816628,4.144158702401014e-06
-58.531408810723825,4.0184648941511595e-06
-58.42176973676931,3.880121875340165e-06
-58.312470923300324,3.7308403813360974e-06
-58.20350882780943,3.5727455458257005e-06
-58.09487996687213,3.4083241649222897e-06
-57.98658091477663,3.240357679291743e-06
-57.87860830219438,3.071842998480614e-06
-57.770958814889624,2.9059038112594233e-06
-57.663629192466495,2.745695446199119e-06
-57.55661622715268,2.5943066490856865e-06
-57.44991676261811,2.4546618142376475e-06
-57.34352769282732,2.329427236939855e-06
-57.237445960924745,2.2209248415835405e-06
-57.13166855815133,2.1310565883081793e-06
-57.026192522791696,2.0612423795125684e-06
-56.92101493915078,2.012373791623788e-06
-56.816132936558745,1.9847853669792113e-06
-56.71154368840345,1.9782445396454534e-06
-56.607244411189534,1.991960564553806e-06
-56.503232363622914,2.024612100421749e-06
-56.399504845720315,2.074392393112483e-06
-56.29605919794279,2.139070346252195e-06
-56.192892800352176,2.2160651770551847e-06
-56.09000307179042,2.302531861299657e-06
-55.987387469080225,2.395454192044779e-06
-55.885043486246964,2.491742026824269e-06
-55.78296865376096,2.5883291869572396e-06
-55.681160537799265,2.6822685035914106e-06
-55.57961673952677,2.7708206753738604e-06
-55.47833489439563,2.8515339035490302e-06
-55.37731267146262,2.9223116876278463e-06
-55.276547772724015,2.9814666795230167e-06
-55.176037932467004,3.027759083190108e-06
-55.075780916637626,3.060418724399145e-06
-54.97577452222446,3.0791505735563328e-06
-54.87601657665749,3.084124155233269e-06
-54.77650493722212,3.075947893686591e-06
-54.67723749048727,3.0556299985398105e-06
-54.5782121517477,3.02452796637204e-06
-54.47942686447983,2.984289143657879e-06
-54.38087959981064,2.9367850505793584e-06
-54.282568355999494,2.8840422953055392e-06
-54.18449115793227,2.828172911717348e-06
-54.08664605662754,2.771306833298129e-06
-53.98903112875451,2.7155289806063026e-06
-53.891644476162206,2.662823103071896e-06
-53.79448422541982,2.6150240958877543e-06
-53.69754852736772,2.573780031092648e-06
-53.60083555667886,2.5405246226418572e-06
-53.504343511430285,2.5164603137486415e-06
-53.40807061268459,2.5025516566166603e-06
-53.31201510408083,2.499528174382202e-06
-53.216175251434755,2.5078954749703843e-06
-53.12054934234811,2.5279530457525752e-06
-53.02513568582671,2.559816911397223e-06
-52.92993261190705,2.603445195393882e-06
-52.83493847129136,2.6586645934489125e-06
-52.740151634990475,2.7251958439326862e-06
-52.645570493974915,2.8026764610700695e-06
-52.55119345883336,2.89067926981572e-06
-52.45701895943875,2.9887256320315144e-06
-52.36304544462159,3.0962926626080665e-06
-52.26927138185027,3.212814179630036e-06
-52.17569525691843,3.3376755908868545e-06
-52.08231557363882,3.4702033656541628e-06
-51.9891308535438,3.609650151940041e-06
-51.8961396355923,3.755176953217673e-06
-51.80334047588273,3.905834055729826e-06
-51.71073194737209,4.0605425821312656e-06
-51.61831263960105,4.2180786283875e-06
-51.526081158424454,4.377061912360138e-06
-51.43403612574782,4.535950723628474e-06
-51.342176179268826,4.693044719506799e-06
-51.25049997222457,4.846496771855405e-06
-51.15900617314364,4.994334647919679e-06
-51.067693465603426,5.134492825010394e-06
-50.97656054799229,5.264854215629189e-06
-50.88560613327656,5.383301041228317e-06
-50.7948289487722,5.487773564943394e-06
-50.70422773592103,5.576334902121856e-06
-50.613801250071404,5.647239696862958e-06
-50.5235482602633,5.699004105315511e-06
-50.43346754901757,5.730474280979688e-06
-50.34355791212937,5.740890428261502e-06
-50.253818158465634,5.729943487549033e-06
-50.16424710976652,5.69782164212609e-06
-50.07484360045067,5.6452440925611695e-06
-49.985606477424184,5.57347992030675e-06
-49.89653459989347,5.484350346130323e-06
-49.80762683918137,5.380213262715953e-06
-49.71888207854712,5.263929562126835e-06
-49.63029921300947,5.1388114622994474e-06
-49.54187714917329,5.008553734613449e-06
-49.45361480505946,4.8771494180645615e-06
-49.36551110993778,4.748792246067477e-06
-49.277565004163215,4.62776858225921e-06
-49.18977543901511,4.518342137284529e-06
-49.10214137653926,4.424635098515527e-06
-49.01466178939312,4.3505095326539835e-06
