angle_minus_positive_target_deg,angle_deg,incoherent_intensity_proxy
-126.0715007133692,-89.99999914622636,3.7494811139264867e-07
-123.50830184710375,-87.43680027996089,4.985181150263597e-07
-122.44628735386658,-86.37478578672372,5.589856484413254e-07
-121.6311685144496,-85.55966694730674,6.089483737937187e-07
-120.94381854807654,-84.87231698093369,6.534925935947386e-07
-120.33809887510552,-84.26659730796267,6.947602885348194e-07
-119.79034886739007,-83.7188473002472,7.340343423505449e-07
-119.28651421744229,-83.21501265029943,7.72255034474928e-07
-118.81743853383358,-82.74593696669073,8.101969717992421e-07
-118.37676229443312,-82.30526072729027,8.485376294140933e-07
-117.95985555294521,-81.88835398580235,8.87883237810761e-07
-117.56322336175404,-81.49172179461118,9.287758670535535e-07
-117.18415071695787,-81.11264914981503,9.71692029248391e-07
-116.82047869497981,-80.74897712783695,1.0170379403546075e-06
-116.47045699151118,-80.39895542436832,1.0651443010319675e-06
-116.13264322201547,-80.06114165487263,1.116262305478599e-06
-115.80583204433029,-79.73433047718744,1.1705619166983604e-06
-115.4890039709486,-79.41750240380574,1.2281329949579477e-06
-115.18128757194049,-79.10978600479763,1.2889895226250847e-06
-114.88193102092924,-78.8104294537864,1.3530768859281185e-06
-114.59028030755954,-78.51877874041668,1.4202819338532705e-06
-114.3057623014625,-78.23426073431965,1.4904453311677472e-06
-114.02787140931105,-77.95636984216819,1.563375557349524e-06
-113.75615893502751,-77.68465736788467,1.6388637794070115e-06
-113.4902245025321,-77.41872293538925,1.7166987479861238e-06
-113.22970907245826,-77.15820750531542,1.7966808357954352e-06
-112.97428920509972,-76.90278763795686,1.878634356700379e-06
-112.7236723080999,-76.65217074095705,1.9624173723389724e-06
-112.47759266986361,-76.40609110272075,2.0479283080962857e-06
-112.23580812552635,-76.1643065583835,2.135108856814037e-06
-111.99809723640064,-75.92659566925778,2.2239428396598294e-06
-111.76425688943476,-75.6927553222919,2.314450910223684e-06
-111.53410024268621,-75.46259867554336,2.4066812197253638e-06
-111.30745495773996,-75.2359533905971,2.5006963967312644e-06
-111.08416167156201,-75.01266010441917,2.5965574219915527e-06
-110.86407266930519,-74.79257110216234,2.694305185955972e-06
-110.64705072668485,-74.57554915954199,2.793940691873203e-06
-110.43296809617593,-74.36146652903307,2.8954050009816144e-06
-110.22170561577914,-74.15020404863628,2.9985600997422293e-06
-110.01315192271832,-73.94165035557546,3.103171896113451e-06
-109.80720275735428,-73.73570119021143,3.2088965188428242e-06
-109.60376034497935,-73.5322587778365,3.315270999778746e-06
-109.40273284509996,-73.33123127795712,3.4217092663457234e-06
-109.20403385941745,-73.13253229227459,3.527504164563359e-06
-109.00758199103666,-72.9360804238938,3.631835980077583e-06
-108.81330044853146,-72.74179888138862,3.7337876358533347e-06
-108.62111668941137,-72.5496151222685,3.832366432765528e-06
-108.43096209830091,-72.35946053115805,3.926531877182296e-06
-108.24277169578883,-72.17127012864599,4.015228822567663e-06
-108.05648387444896,-71.9849823073061,4.097424855214947e-06
-107.87204015899638,-71.80053859185354,4.172150592105838e-06
-107.68938498793617,-71.6178834207933,4.23854134509502e-06
-107.5084655143967,-71.43696394725384,4.295878451878997e-06
-107.32923142412668,-71.25772985698381,4.343628489869636e-06
-107.15163476888267,-71.08013320173983,4.381478580622185e-06
-106.97562981364587,-70.90412824650302,4.409366063067914e-06
-106.80117289629015,-70.7296713291473,4.427500963178846e-06
-106.62822229848422,-70.55672073134137,4.436379911976329e-06
-106.45673812674721,-70.38523655960435,4.436790455621799e-06
-106.28668220269901,-70.21518063555617,4.429805050087346e-06
-106.11801796165159,-70.04651639450873,4.416764425136958e-06
-105.95071035877834,-69.87920879163549,4.3992504222934185e-06
-105.78472578218245,-69.7132242150396,4.37904884170582e-06
-105.6200319722528,-69.54853040510996,4.35810325505148e-06
-105.45659794676118,-69.38509637961832,4.338461137382875e-06
-105.29439393120902,-69.22289236406615,4.322214022467288e-06
-105.13339129398082,-69.06188972683796,4.311433677494013e-06
-104.97356248590512,-68.90206091876227,4.3081065101502285e-06
-104.81488098386228,-68.74337941671942,4.314068553046943e-06
-104.65732123811264,-68.5858196709698,4.3309434098504615e-06
-104.50085862305005,-68.4293570559072,4.360085490664016e-06
-104.34546939111169,-68.27396782396883,4.4025307117382094e-06
-104.19113062960079,-68.11962906245793,4.458956591149716e-06
-104.03782022020044,-67.9663186530576,4.529653346371835e-06
-103.88551680097646,-67.8140152338336,4.614507204053851e-06
-103.73419973068408,-67.66269816354124,4.7129966824139264e-06
-103.58384905521129,-67.51234748806844,4.824202120571686e-06
-103.43444547600322,-67.36294390886036,4.94682822683005e-06
-103.2859703203276,-67.21446875318475,5.079238920223212e-06
-103.13840551325123,-67.06690394610837,5.219503267463812e-06
-102.99173355120865,-66.9202319840658,5.365450890737771e-06
-102.8459374770541,-66.77443590991125,5.514734858812911e-06
-102.70100085649631,-66.62949928935345,5.6648997902442225e-06
-102.55690775582306,-66.48540618868022,5.813452705353508e-06
-102.41364272083123,-66.34214115368837,5.9579340715231875e-06
-102.27119075688248,-66.19968918973962,6.0959864982758885e-06
-102.12953731001292,-66.05803574287006,6.225418654211506e-06
-101.9886682490289,-65.91716668188604,6.344262192229334e-06
-101.84856984852681,-65.77706828138395,6.450819773339269e-06
-101.70922877277934,-65.6377272056365,6.543702659593464e-06
-101.57063206043529,-65.49913049329244,6.621856786709362e-06
-101.432767109982,-65.36126554283915,6.684576707624214e-06
-101.29562166592595,-65.22412009878309,6.731507298536486e-06
-101.15918380564764,-65.0876822385048,6.762633617103928e-06
-101.02344192689145,-64.95194035974859,6.77825977664515e-06
-100.88838473585307,-64.81688316871022,6.778978129785898e-06
-100.7540012358304,-64.68249966868754,6.765630421381997e-06
-100.62028071640535,-64.5487791492625,6.739262857988325e-06
-100.48721274312655,-64.4157111759837,6.701077237468127e-06
-100.35478714766509,-64.28328558052225,6.652380379542452e-06
-100.22299401841698,-64.15149245127412,6.5945340926819646e-06
