case_id,candidate_id,dipole_case,dipole_orientation,theta_requested_deg,phi_requested_deg,theta_readback_deg,phi_readback_deg,source_axis_verified,source_y_nm,source_centered_in_cavity,source_on_material_interface,source_distance_to_bottom_interface_nm,source_distance_to_top_interface_nm,monitor_y_um,monitor_y_to_top_pml_um,monitor_y_above_top_structure_um,monitor_inside_pml,monitor_above_top_dbr,monitor_in_homogeneous_air,no_center_y_case,no_solve_was_run
R2_4C_R2_4B_OPT_06361_453_center_x,R2_4B_OPT_06361,center_x,simulation_x,90.0,0.0,90.0,0.0,True,168.0,True,False,168.0,168.0,2.039,0.44999999999999973,0.3500000000000001,False,True,True,True,True
R2_4C_R2_4B_OPT_06361_453_center_z_outofplane,R2_4B_OPT_06361,center_z_outofplane,simulation_z_outofplane,0.0,0.0,0.0,0.0,True,168.0,True,False,168.0,168.0,2.039,0.44999999999999973,0.3500000000000001,False,True,True,True,True
R2_4C_R2_4B_OPT_06176_453_center_x,R2_4B_OPT_06176,center_x,simulation_x,90.0,0.0,90.0,0.0,True,121.0,True,False,121.0,121.0,2.151,0.4500000000000002,0.34999999999999987,False,True,True,True,True
R2_4C_R2_4B_OPT_06176_453_center_z_outofplane,R2_4B_OPT_06176,center_z_outofplane,simulation_z_outofplane,0.0,0.0,0.0,0.0,True,121.0,True,False,121.0,121.0,2.151,0.4500000000000002,0.34999999999999987,False,True,True,True,True
R2_4C_R2_4B_OPT_06024_453_center_x,R2_4B_OPT_06024,center_x,simulation_x,90.0,0.0,90.0,0.0,True,163.5,True,False,163.5,163.5,1.569,0.4500000000000002,0.34999999999999987,False,True,True,True,True
R2_4C_R2_4B_OPT_06024_453_center_z_outofplane,R2_4B_OPT_06024,center_z_outofplane,simulation_z_outofplane,0.0,0.0,0.0,0.0,True,163.5,True,False,163.5,163.5,1.569,0.4500000000000002,0.34999999999999987,False,True,True,True,True
R2_4C_R2_4B_OPT_02167_453_center_x,R2_4B_OPT_02167,center_x,simulation_x,90.0,0.0,90.0,0.0,True,166.5,True,False,166.5,166.5,1.565,0.4500000000000002,0.34999999999999987,False,True,True,True,True
R2_4C_R2_4B_OPT_02167_453_center_z_outofplane,R2_4B_OPT_02167,center_z_outofplane,simulation_z_outofplane,0.0,0.0,0.0,0.0,True,166.5,True,False,166.5,166.5,1.565,0.4500000000000002,0.34999999999999987,False,True,True,True,True
R2_4C_R2_4B_OPT_06129_453_center_x,R2_4B_OPT_06129,center_x,simulation_x,90.0,0.0,90.0,0.0,True,128.5,True,False,128.5,128.5,1.6149999999999998,0.4500000000000002,0.34999999999999987,False,True,True,True,True
R2_4C_R2_4B_OPT_06129_453_center_z_outofplane,R2_4B_OPT_06129,center_z_outofplane,simulation_z_outofplane,0.0,0.0,0.0,0.0,True,128.5,True,False,128.5,128.5,1.6149999999999998,0.4500000000000002,0.34999999999999987,False,True,True,True,True
