angle_deg,intensity_proxy
-89.99999914622636,7.581146198145775e-08
-87.43680027996089,1.0551376383029646e-07
-86.37478578672372,1.1904299409755924e-07
-85.55966694730674,1.2933247715370884e-07
-84.87231698093369,1.3759490234243962e-07
-84.26659730796267,1.4431805484580588e-07
-83.7188473002472,1.4978591298082324e-07
-83.21501265029943,1.5421002384991398e-07
-82.74593696669073,1.5777603968901774e-07
-82.30526072729027,1.60662804686695e-07
-81.88835398580235,1.6305025435825557e-07
-81.49172179461118,1.6512196497821997e-07
-81.11264914981503,1.6706483274696293e-07
-80.74897712783695,1.6906709327742217e-07
-80.39895542436832,1.7131535285021321e-07
-80.06114165487263,1.7399105127183594e-07
-79.73433047718744,1.7726664806947678e-07
-79.41750240380574,1.8130175202195956e-07
-79.10978600479763,1.8623936899375305e-07
-78.8104294537864,1.9220241085482363e-07
-78.51877874041668,1.9929058225549963e-07
-78.23426073431965,2.075777389649043e-07
-77.95636984216819,2.1710978991023936e-07
-77.68465736788467,2.2790319442808798e-07
-77.41872293538925,2.3994408649932514e-07
-77.15820750531542,2.5318803907398397e-07
-76.90278763795686,2.6756046429536466e-07
-76.65217074095705,2.8295762981773854e-07
-76.40609110272075,2.9924825775867864e-07
-76.1643065583835,3.162756613462183e-07
-75.92659566925778,3.338603651349888e-07
-75.6927553222919,3.5180314779899156e-07
-75.46259867554336,3.6988844188853014e-07
-75.2359533905971,3.8788802240115606e-07
-75.01266010441917,4.055649153191047e-07
-74.79257110216234,4.22677458105969e-07
-74.57554915954199,4.389834461905853e-07
-74.36146652903307,4.54244302336117e-07
-74.15020404863628,4.6822920914271096e-07
-73.94165035557546,4.8071914843599e-07
-73.73570119021143,4.915107946724578e-07
-73.5322587778365,5.004202125322574e-07
-73.33123127795712,5.072863114330086e-07
-73.13253229227459,5.119740117336865e-07
-72.9360804238938,5.143770789401857e-07
-72.74179888138862,5.144205833937009e-07
-72.5496151222685,5.120629439142841e-07
-72.35946053115805,5.072975149414055e-07
-72.17127012864599,5.001536781617181e-07
-71.9849823073061,4.906974017647578e-07
-71.80053859185354,4.790312336427454e-07
-71.6178834207933,4.652936993490075e-07
-71.43696394725384,4.4965808170006944e-07
-71.25772985698381,4.3233056672802005e-07
-71.08013320173983,4.1354775035150256e-07
-70.90412824650302,3.9357351162070064e-07
-70.7296713291473,3.7269527157520456e-07
-70.55672073134137,3.5121967138754427e-07
-70.38523655960435,3.294677191884707e-07
-70.21518063555617,3.07769471316187e-07
-70.04651639450873,2.8645833014338607e-07
-69.87920879163549,2.6586505648637e-07
-69.7132242150396,2.463116092187491e-07
-69.54853040510996,2.2810493741276826e-07
-69.38509637961832,2.1153086044560734e-07
-69.22289236406615,1.968481784171889e-07
-69.06188972683796,1.8428315839285576e-07
-68.90206091876227,1.7402454098272386e-07
-68.74337941671942,1.6621920631092355e-07
-68.5858196709698,1.60968628381742e-07
-68.4293570559072,1.5832623225808637e-07
-68.27396782396883,1.582957495531171e-07
-68.11962906245793,1.608306449006774e-07
-67.9663186530576,1.6583465988830493e-07
-67.8140152338336,1.731634921378258e-07
-67.66269816354124,1.8262759666472113e-07
-67.51234748806844,1.939960653030268e-07
-67.36294390886036,2.0700150887914236e-07
-67.21446875318475,2.213458370156187e-07
-67.06690394610837,2.3670680299183074e-07
-66.9202319840658,2.5274515697487064e-07
-66.77443590991125,2.691122310584664e-07
-66.62949928935345,2.8545776467531523e-07
-66.48540618868022,3.014377696793145e-07
-66.34214115368837,3.167222311379283e-07
-66.19968918973962,3.310024428307499e-07
-66.05803574287006,3.439977855971111e-07
-65.91716668188604,3.5546177177024904e-07
-65.77706828138395,3.651871995203293e-07
-65.6377272056365,3.7301028634724265e-07
-65.49913049329244,3.788136803858465e-07
-65.36126554283915,3.825282806376329e-07
-65.22412009878309,3.8413383164391187e-07
-65.0876822385048,3.8365829332235447e-07
-64.95194035974859,3.8117602153582404e-07
-64.81688316871022,3.768048283081033e-07
-64.68249966868754,3.7070202136994103e-07
-64.5487791492625,3.6305954994184513e-07
-64.4157111759837,3.540984065095824e-07
-64.28328558052225,3.440624521673392e-07
-64.15149245127412,3.3321184542670833e-07
-64.02032212438473,3.218162609572327e-07
-63.88976517517275,3.101480854863028e-07
-63.75981240993156,2.9847577319902413e-07
-63.630454858088555,2.87057532792334e-07
-63.501683764702946,2.76135503376099e-07
-63.37349058328467,2.6593055734863983e-07
-63.24586696891765,2.566378459922041e-07
-63.118804771672075,2.4842317870280567e-07
-62.99229603029031,2.4142030039888717e-07
-62.866332966133506,2.3572910465977976e-07
-62.74090797737537,2.3141479341230994e-07
-62.616013633430946,2.285079683318676e-07
-62.49164266960896,2.270056152795336e-07
-62.367787981976925,2.2687292166972823e-07
-62.2444426224285,2.280458481305803e-07
-62.12159979394388,2.3043436051650628e-07
-61.999252846033514,2.339262164489516e-07
-61.87739527035707,2.3839119214601915e-07
-61.756020696509225,2.436856302745018e-07
-61.63512288796456,2.496571877254999e-07
-61.51469573817442,2.5614966329242984e-07
-61.39473326680869,2.63007788865338e-07
-61.275229616136194,2.700818735538952e-07
-61.15617904753717,2.772321977033738e-07
-61.03757593814228,2.843330626725768e-07
-60.91941477759251,2.912764121302477e-07
-60.801690164914675,2.979749511763221e-07
-60.684396805507426,3.0436470054810884e-07
-60.56752950823321,3.1040693434079993e-07
-60.45108318261152,3.160894609402855e-07
-60.33505283610929,3.21427218185664e-07
-60.219433571524206,3.2646216515937236e-07
-60.104220584457096,3.3126246449924816e-07
-59.98940916086991,3.359209608204486e-07
-59.87499467472562,3.4055297281349864e-07
-59.76097258570651,3.4529342891999466e-07
-59.64733843700814,3.5029338921515845e-07
-59.534087853205754,3.5571600922597085e-07
-59.42121653818987,3.617320147923207e-07
-59.30872027316898,3.685147705598872e-07
-59.19659491473636,3.7623503801086456e-07
-59.084836392998334,3.8505553173596117e-07
-58.97344070976207,3.9512539448929333e-07
-58.86240393678012,4.0657472193868895e-07
-58.751722214049956,4.195092763699895e-07
-58.64139174816628,4.340055343439922e-07
