angle_deg,intensity_proxy
-89.99999914622636,3.080961377335824e-09
-87.43680027996089,4.914943508829304e-09
-86.37478578672372,6.079347695057831e-09
-85.55966694730674,7.14147460593122e-09
-84.87231698093369,8.130478975920696e-09
-84.26659730796267,9.048346894660502e-09
-83.7188473002472,9.892616138669348e-09
-83.21501265029943,1.066222924515215e-08
-82.74593696669073,1.1359779283953506e-08
-82.30526072729027,1.1992536346528927e-08
-81.88835398580235,1.2572899345067934e-08
-81.49172179461118,1.3118492635463505e-08
-81.11264914981503,1.3651997344088486e-08
-80.74897712783695,1.4200762762262235e-08
-80.39895542436832,1.4796227593620247e-08
-80.06114165487263,1.547317622786947e-08
-79.73433047718744,1.6268854974663943e-08
-79.41750240380574,1.722197461350446e-08
-79.10978600479763,1.8371627472036593e-08
-78.8104294537864,1.975614893218848e-08
-78.51877874041668,2.1411954466771404e-08
-78.23426073431965,2.3372383862683895e-08
-77.95636984216819,2.566658411052053e-08
-77.68465736788467,2.8318461509075398e-08
-77.41872293538925,3.13457318607466e-08
-77.15820750531542,3.475909526322529e-08
-76.90278763795686,3.856155899968689e-08
-76.65217074095705,4.2747928476857146e-08
-76.40609110272075,4.7304482153393543e-08
-76.1643065583835,5.22088420441327e-08
-75.92659566925778,5.743004678778609e-08
-75.6927553222919,6.29288295367519e-08
-75.46259867554336,6.865809817613334e-08
-75.2359533905971,7.456361070863395e-08
-75.01266010441917,8.058483414985756e-08
-74.79257110216234,8.66559710535022e-08
-74.57554915954199,9.270713390732143e-08
-74.36146652903307,9.866564417769049e-08
-74.15020404863628,1.0445742979191671e-07
-73.94165035557546,1.100084923815053e-07
-73.73570119021143,1.1524641370502514e-07
-73.5322587778365,1.2010186935521092e-07
-73.33123127795712,1.2451011715209887e-07
-73.13253229227459,1.2841242754488935e-07
-72.9360804238938,1.3175742389498325e-07
-72.74179888138862,1.3450230168931377e-07
-72.5496151222685,1.3661389752784034e-07
-72.35946053115805,1.3806958112603986e-07
-72.17127012864599,1.388579465492535e-07
-71.9849823073061,1.3897928241977016e-07
-71.80053859185354,1.38445804869831e-07
-71.6178834207933,1.3728164150522606e-07
-71.43696394725384,1.355225595353469e-07
-71.25772985698381,1.332154364460597e-07
-71.08013320173983,1.3041747705958877e-07
-70.90412824650302,1.2719518644714402e-07
-70.7296713291473,1.236231138302536e-07
-70.55672073134137,1.1978238821010042e-07
-70.38523655960435,1.1575907187585703e-07
-70.21518063555617,1.1164236303132266e-07
