angle_deg,intensity_proxy
-89.99999914622636,9.212300395709485e-09
-87.43680027996089,1.2819242773512588e-08
-86.37478578672372,1.5163137307631463e-08
-85.55966694730674,1.7413131854054212e-08
-84.87231698093369,1.964101489873569e-08
-84.26659730796267,2.1849935061903278e-08
-83.7188473002472,2.402129446988218e-08
-83.21501265029943,2.6127136358152992e-08
-82.74593696669073,2.8135274375617056e-08
-82.30526072729027,3.0012147196132366e-08
-81.88835398580235,3.172475505633102e-08
-81.49172179461118,3.324213120658037e-08
-81.11264914981503,3.453651606439326e-08
-80.74897712783695,3.55842979611164e-08
-80.39895542436832,3.63667438217389e-08
-80.06114165487263,3.687052778857405e-08
-79.73433047718744,3.708806153462818e-08
-79.41750240380574,3.701763089627267e-08
-79.10978600479763,3.66633467284202e-08
-78.8104294537864,3.6034922115975956e-08
-78.51877874041668,3.514729244051813e-08
-78.23426073431965,3.402009879036832e-08
-77.95636984216819,3.267705848554678e-08
-77.68465736788467,3.114524885737089e-08
-77.41872293538925,2.945433175784534e-08
-77.15820750531542,2.763574653435745e-08
-76.90278763795686,2.5721898413404364e-08
-76.65217074095705,2.3745367472169993e-08
-76.40609110272075,2.173816076479867e-08
-76.1643065583835,1.973102687451583e-08
-75.92659566925778,1.7752848373220188e-08
-75.6927553222919,1.5830123592026892e-08
-75.46259867554336,1.398654494846631e-08
-75.2359533905971,1.2242677040173795e-08
-75.01266010441917,1.0615733984537702e-08
-74.79257110216234,9.119452215378885e-09
-74.57554915954199,7.764052263181825e-09
-74.36146652903307,6.556281026539197e-09
-74.15020404863628,5.49952472809374e-09
-73.94165035557546,4.593982133449556e-09
-73.73570119021143,3.8368876495545695e-09
-73.5322587778365,3.2227745255520875e-09
-73.33123127795712,2.743769438349939e-09
-73.13253229227459,2.3899111180970194e-09
-72.9360804238938,2.149487202251471e-09
-72.74179888138862,2.009385043777999e-09
-72.5496151222685,1.9554535881566172e-09
-72.35946053115805,1.972874540174673e-09
-72.17127012864599,2.046541754513204e-09
-71.9849823073061,2.1614480256403983e-09
-71.80053859185354,2.3030781817848155e-09
-71.6178834207933,2.4578066048828273e-09
-71.43696394725384,2.6132960450936746e-09
-71.25772985698381,2.7588929563521216e-09
-71.08013320173983,2.8860126657838916e-09
-70.90412824650302,2.988505651201896e-09
-70.7296713291473,3.0629942047554457e-09
-70.55672073134137,3.1091669855121138e-09
-70.38523655960435,3.1300175878024757e-09
-70.21518063555617,3.132012442864706e-09
-70.04651639450873,3.1251732737915355e-09
-69.87920879163549,3.1230600507255195e-09
-69.7132242150396,3.142642016260796e-09
-69.54853040510996,3.2040468938114253e-09
-69.38509637961832,3.3301818257913582e-09
-69.22289236406615,3.5462238314667592e-09
-69.06188972683796,3.878982491375231e-09
-68.90206091876227,4.356142972994079e-09
-68.74337941671942,5.005403186292228e-09
-68.5858196709698,5.8535245415558786e-09
-68.4293570559072,6.9253211989703e-09
-68.27396782396883,8.242617566537234e-09
-68.11962906245793,9.823207844009535e-09
-67.9663186530576,1.1679854371370307e-08
-67.8140152338336,1.3819363202402847e-08
-67.66269816354124,1.6241775516911662e-08
-67.51234748806844,1.8939712098185423e-08
-67.36294390886036,2.189790509186738e-08
-67.21446875318475,2.5092946657822067e-08
-67.06690394610837,2.8493278031868204e-08
-66.9202319840658,3.20594351064477e-08
