candidate_id,score,normal_window_response_0_5,normal_window_response_0_10,offaxis_20_60_response,offaxis_30_40_response,corrected_normal_offaxis_ratio,offaxis_peak_30_40_to_normal_ratio,second_to_first_peak_ratio,corrected_proxy_peak_abs_angle_deg,corrected_proxy_angular_FWHM_deg,spectral_peak_nm_normal_window,spectral_fwhm_nm_normal_window,failure_mode,pass_level
R2_4D2_OPT_13003,-1.822481,2.01e-08,6.26e-08,9.3e-09,2.78e-08,6.755659,0.444643,0.096138,7.0,7.277,459.5,2.788,spectral_peak_outside_450_456;30_40_resonance_risk;normal5_below_population_threshold;normal10_below_population_threshold;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_13010,-2.190919,0.0002798986,0.000853483,0.0001155135,0.0003419484,7.388602,0.400651,0.091294,7.5,8.388,447.25,3.493,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_13013,-5.177213,0.0077876014,0.0199636889,0.0024536107,0.0063688473,8.136453,0.319022,0.085786,7.0,10.025,447.75,3.969,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12232,-9.785043,0.0571267378,0.1278187217,0.0145541759,0.031840605,8.782271,0.249108,0.081795,6.0,10.657,448.5,3.846,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_03742,-10.869715,0.0170892233,0.0451575802,0.0060001644,0.0165637446,7.526057,0.366799,0.093219,6.5,8.132,448.0,4.359,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_13268,-11.049663,0.0623490228,0.1356936587,0.0167531003,0.0329111345,8.099615,0.24254,0.077881,6.0,11.49,448.0,4.444,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12392,-11.317,0.0016354732,0.0055823349,0.0013369138,0.0022253295,4.175538,0.398638,0.085768,9.0,10.444,458.75,3.827,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12270,-11.494682,0.0340978416,0.0869853331,0.0104887775,0.0271239138,8.293181,0.311822,0.087202,6.5,9.695,448.75,3.732,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_08672,-11.609037,2.55556e-05,0.0001702566,4.84517e-05,0.0001277439,3.513947,0.750302,0.100162,10.5,7.133,447.0,3.603,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12492,-12.973209,0.0110207721,0.0382411309,0.0061915017,0.0100069768,6.17639,0.261681,0.09873,7.0,6.516,447.75,5.217,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
