candidate_id,score,failure_mode,pass_level,corrected_proxy_peak_abs_angle_deg,corrected_proxy_angular_FWHM_deg,corrected_normal_offaxis_ratio,offaxis_20_60_response,offaxis_30_40_response,spectral_fwhm_nm_normal_window
R2_4D2_OPT_13003,-1.822481,spectral_peak_outside_450_456;30_40_resonance_risk;normal5_below_population_threshold;normal10_below_population_threshold;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,7.0,7.277,6.755659,9.3e-09,2.78e-08,2.788
R2_4D2_OPT_13010,-2.190919,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,7.5,8.388,7.388602,0.0001155135,0.0003419484,3.493
R2_4D2_OPT_13013,-5.177213,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,7.0,10.025,8.136453,0.0024536107,0.0063688473,3.969
R2_4D2_OPT_12232,-9.785043,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,10.657,8.782271,0.0145541759,0.031840605,3.846
R2_4D2_OPT_03742,-10.869715,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.5,8.132,7.526057,0.0060001644,0.0165637446,4.359
R2_4D2_OPT_13268,-11.049663,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,11.49,8.099615,0.0167531003,0.0329111345,4.444
R2_4D2_OPT_12392,-11.317,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,9.0,10.444,4.175538,0.0013369138,0.0022253295,3.827
R2_4D2_OPT_12270,-11.494682,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.5,9.695,8.293181,0.0104887775,0.0271239138,3.732
R2_4D2_OPT_08672,-11.609037,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,10.5,7.133,3.513947,4.84517e-05,0.0001277439,3.603
R2_4D2_OPT_12492,-12.973209,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,7.0,6.516,6.17639,0.0061915017,0.0100069768,5.217
R2_4D2_OPT_08802,-13.1969,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;normal5_below_population_threshold;normal10_below_population_threshold;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,12.0,6.92,1.514688,2.091e-07,3.865e-07,2.76
R2_4D2_OPT_12341,-14.050643,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,11.479,8.118308,0.0222806634,0.0473731616,4.905
R2_4D2_OPT_12352,-14.755441,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.5,10.803,7.879081,0.0219815492,0.0441520042,4.645
R2_4D2_OPT_12887,-15.106419,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.5,10.868,7.787948,0.0173450712,0.0411734625,4.5
R2_4D2_OPT_12371,-15.946866,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,9.0,10.047,4.015853,0.0031247658,0.00538749,3.513
