candidate_id,failed_rule_count,failure_mode,corrected_proxy_peak_abs_angle_deg,corrected_proxy_angular_FWHM_deg,normal_window_response_0_10,offaxis_20_60_response,offaxis_30_40_response,corrected_normal_offaxis_ratio,spectral_peak_nm_normal_window,spectral_fwhm_nm_normal_window,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,score
R2_4D2_OPT_04463,3,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,6.0,9.492,1.1422029155,0.1315920714,0.1426200037,8.679876,450.25,7.855,7,5,233.0,76.0,31.0,-19.291036
R2_4D2_OPT_11775,3,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,6.5,7.002,0.4532916408,0.0682545702,0.0881577422,6.641191,450.5,6.9,9,4,337.0,40.0,38.0,-21.474728
R2_4D2_OPT_12488,3,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,6.0,7.014,0.7574579119,0.1101000066,0.1848960457,6.879726,451.5,5.453,9,4,253.0,78.0,59.0,-24.944722
R2_4D2_OPT_12312,3,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,6.0,9.84,2.4382072869,0.2808707395,0.4466043136,8.680887,452.0,7.591,7,4,323.0,70.0,82.0,-27.531887
R2_4D2_OPT_12277,3,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,7.0,7.486,0.9567701006,0.1383338014,0.1989688885,6.916387,451.5,6.697,9,4,328.0,52.0,73.0,-27.645491
R2_4D2_OPT_09487,3,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,7.0,7.266,0.7347828604,0.1116610861,0.1740951269,6.580474,454.25,5.718,10,4,254.0,80.0,56.0,-27.723518
R2_4D2_OPT_12500,3,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,6.5,8.862,0.9460573092,0.1176435517,0.2661638312,8.041727,450.0,4.836,10,6,253.0,78.0,34.0,-28.10633
R2_4D2_OPT_09406,3,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,6.0,8.776,1.4700934494,0.1756059971,0.3870804498,8.371545,450.5,5.124,10,7,253.0,76.0,26.0,-28.256491
R2_4D2_OPT_12308,3,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,6.0,9.922,2.440520867,0.2777455488,0.5103457613,8.786895,451.0,7.373,7,4,326.0,60.0,76.0,-28.929165
R2_4D2_OPT_03038,3,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,6.5,9.121,1.3775427671,0.1636957302,0.3748647143,8.415264,456.0,7.319,10,7,340.0,53.0,61.0,-29.873768
R2_4D2_OPT_08978,3,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,6.5,9.649,1.5900291232,0.191971177,0.4360389491,8.282645,450.25,5.754,8,8,248.0,74.0,69.0,-30.737522
R2_4D2_OPT_03579,3,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,6.5,10.615,2.3246114889,0.2840891191,0.6889057897,8.182684,455.5,4.781,10,7,271.0,11.0,18.0,-31.889505
